f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,nbc.nn_nb.mean_ratio,ic.m0,ic.eps.s,ela_level.lda_mda_10,ela_level.lda_qda_10,ela_distr.kurtosis,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_25,ela_level.mmce_qda_25
4,1,0.3241326659614734,-0.18797343053577892,0.0972145681070471,0.04418541166731422,0.035132673134094135,-0.01241171908273295,-0.055166950422945484,0.0038590956097245893,0.000534265030079762,0.02863659310389087,0.010334507028633791,-0.01195596634613907,-0.04249569510824016,0.0029139050906042316,0.014586946065078528
4,3,0.3545576825481164,-0.19493505566597455,0.09848964667436867,0.04438563536456895,-0.0006440644041224056,-0.012175009362781389,-0.05072170551976834,0.003404011283557717,-0.0019690607752159053,0.0022355851568733563,0.002682413751753345,-0.017775220540334754,-0.035188038864095494,-0.00944110467202916,0.012766482071395089
4,4,0.3467013530741932,-0.19420158802341358,0.09747727617626609,0.046180009625750196,-0.0012388858801576385,-0.010359115435483677,-0.05022088527491673,0.007165358160770906,-0.0006230344609060599,0.016948338771509332,0.006287535219872718,-0.01514518971860793,-0.050210002916927246,-0.002269790113162303,0.010305714869183627
4,5,0.32692789936061395,-0.18649285555817868,0.10170652177287584,0.04295601316021281,0.035611604115438907,-0.008931328727824267,-0.053039335958938734,0.0048894135717121,-3.5407508814437315e-05,0.03330252468850438,0.010049546979136365,-0.012322294077682802,-0.04742203685896445,0.05586785794547829,0.014867069903489539
5,1,-0.38327937007005186,-0.2608299488588529,-0.24881702838299727,-0.09410779357288267,-0.08716748202114734,-0.01933660746232266,-0.0017648327168450098,-0.019506907091943304,-0.018503786689727627,-0.026074785963616794,-0.04115971532325759,-0.06778774635352904,-0.008341378791280898,-0.0024045011653604574,-0.022920820127326727
5,3,-0.38099250245889194,-0.26031064615170907,-0.2483987593915339,-0.09311098881243003,-0.08594181527541558,-0.0199727371607159,-0.001236423852448425,-0.01691159978605792,-0.018077982910586408,-0.02552557246677696,-0.03402777804358108,-0.06449340075747516,-0.005507465540579816,-0.0022678369425213622,-0.020293730232537423
5,4,-0.3820518015084187,-0.26085513257713844,-0.2468486473392944,-0.09351385929514307,-0.08603730251941383,-0.021538423885053035,-0.0008599252984052099,-0.01802517006731408,-0.018793980484902564,-0.02292984580205727,-0.03915849483788251,-0.06698769964087625,-0.005717150826188335,-0.0025076628847041137,-0.020659872183591266
5,5,-0.37674341792621596,-0.2601010771195373,-0.24786238826711174,-0.09325434614101655,-0.08378307541573253,-0.0194122042248916,0.0005863961265594941,-0.015621398123643791,-0.01819444647176196,-0.01609246874827851,-0.035027767309972875,-0.06481149736808023,-0.004269467734866233,-0.0018227688214212012,-0.017839795149175736
6,1,0.39712301749133944,-0.22067148422686106,0.08183408673074154,0.04818320891405657,-0.013417763932970343,-0.010918024615201059,-0.05582602244185438,-0.02906096234261939,0.006264781198733271,-0.03441325474826965,-0.006373021943967172,-0.010139652083846396,-0.07817570490640922,-0.025079069262291278,-0.029843491287047687
6,3,0.39387685205138345,-0.22135391973342408,0.07493497772614359,0.04651620281372772,-0.012858496341478736,-0.013209737930299144,-0.05854249782559061,-0.03259953064214774,0.004149193276679833,-0.03513652483495002,-0.01159906770649958,-0.013519788081589193,-0.06773599840252112,-0.029570468905607782,-0.033774229111075325
6,4,0.3987269514206861,-0.2186889955174853,0.09326067464517872,0.0488921486405596,-0.0611563844308307,-0.010315186756046701,-0.053196226346300446,-0.02289585821090057,0.0070641672159392445,-0.033591212578187424,-0.012978690783827273,-0.0397874003020174,-0.06833008475602172,-0.0261848007268214,-0.02520840916170401
6,5,0.3735199743597813,-0.22425205707548523,0.08379508482375794,0.04296192477177606,-0.004208530676590603,-0.013016864553004187,-0.062106420432945245,-0.03988027749315823,-0.004610159502266587,-0.027845809392180797,-0.014892929246520433,-0.017938165306215073,-0.084783817045156,-0.021524279222655502,-0.018200236533903544
7,1,0.3434737268935622,-0.22380023592146864,-0.024713358789330068,0.046510929972467155,-0.07172833715075992,-0.01368946890983082,-0.0526831783060032,-0.022324457263884424,-0.018517010716762122,-0.03515783007934784,-0.027498817459762275,-0.013654669546211176,-0.0614106097204315,-0.025407127275430215,-0.03191348593925693
7,3,0.36187469323484067,-0.21948691647335936,0.09465481843189745,0.04844052085256454,-0.07245038687867043,-0.028636457447961873,-0.06000891127636889,-0.036261134702362925,-0.020162912164312617,0.008506273491711885,-0.021063922598745954,-0.0062716735736522014,-0.07352158460391468,0.0054340110426353855,-0.025664882167912118
7,4,0.31517320787977626,-0.2250089133513109,0.060328103946266635,0.021197672603341048,-0.08866658219050674,-0.03938721885410691,-0.07532127220855908,-0.055747568497744336,-0.02743164702105082,-0.05451769679382475,-0.034228196825845526,-0.018402502525583685,-0.05400136747727144,-0.01937284336218518,-0.051895325311719344
7,5,0.32396364641448,-0.2245246837727505,0.06049639437377611,0.02139032322811967,-0.07984404907280475,-0.03606689066673545,-0.07549712247357314,-0.05108174596298407,-0.028697759743781973,-0.04640314524782037,-0.03393780437949335,-0.015362972244796439,-0.0759235633444793,-0.020008307455348703,-0.04565469368719492
8,1,0.41227391569178545,-0.18537737759742307,0.11244461587411635,0.04981978284290676,-0.004804441509531046,-0.010668220247840312,0.028793804228372757,-0.0037517779923904072,-0.005597726261821569,-0.006505320636456101,-0.0038483479209379784,0.0008053636687666979,0.02238657067861237,-0.011337989551905141,0.01364998973044351
8,3,0.4411648073601133,-0.19151624987878993,0.09437746330602768,0.053556408914892495,-0.010123831987568716,-0.01003692716844045,-0.009923676465433998,-0.004017739574734216,0.0027866066424144715,-0.018533466446858167,-0.016295656698390917,-0.02850021598390393,0.014138066378528064,-0.01671738975222867,0.006600296182970638
8,4,0.41120736843212913,-0.1852566826626966,0.11200782423682878,0.050722319668512324,-0.004984292780163894,-0.0110999020671646,0.02668719450566037,-0.0010388596601976887,-0.006083929001360268,-0.006643103853062324,-0.0033337217052691773,-0.002251505434118329,0.02063707861982522,-0.011979275493930592,0.012188975700215345
8,5,0.414307223341451,-0.1867431033078818,0.11008403710315338,0.047039755630477666,-0.005746987937604358,-0.010362173542661238,0.026119400450244232,-0.0011902255212658513,-0.006121864793053929,-0.012852522704775337,-0.003896774402899662,-0.014509405204065715,0.019593870991617284,-0.015899029224308473,0.007632730445484369
9,1,0.4284735402313645,-0.1551042071749321,0.22840614542657053,0.05883879533209578,0.0514473064953732,-0.006396113081351666,0.12105881060205796,-0.002086409647162861,0.003704177649845431,0.036916783793562,0.016844719009895488,0.02440437367414214,0.1436035785897168,0.06402367431090063,0.04604097308810215
9,3,0.4253803749106269,-0.1536872707202465,0.23009387710151413,0.059089248253495694,0.05253666748577279,-0.006006686440985214,0.12238886254240208,-0.0018588752701716692,0.003541065797831513,0.0373193677459628,0.01738385519442293,0.026156057005335548,0.145402617945362,0.0635601054990631,0.04636116492906187
9,4,0.4210446157763927,-0.15644613451374864,0.21142227520957016,0.05669920182463592,0.049955631380879585,-0.011700231992565462,0.11588036912168727,-0.0035663917125273227,-0.0023125204135365602,0.035650875492121835,0.015751459230499427,0.024292660004042163,0.13594944202985695,0.061726164395566115,0.045163886742299
