f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_distr.number_of_peaks,ela_level.mmce_mda_10,pca.expl_var.cov_init,ela_level.lda_mda_50,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_10,ela_level.lda_qda_50,ela_meta.lin_simple.intercept,nbc.nn_nb.cor,disp.diff_mean_25,disp.diff_median_25,disp.ratio_mean_10,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,ela_level.lda_mda_10
13,4,-0.06290344391781631,-0.06971425061424498,-0.025929667031036746,0.1072511488150421,-0.03756667378085829,0.049357950245526735,-0.027942359437846356,0.0,0.037062959135170576,0.004339380673396509,-0.0935564990701107,0.023650175716252247,-0.03721167354425928,-0.006386775123216781,-0.0015825693680524278,0.017302010587687322,0.011705507524206404,-0.005672812575039876,0.03285602344714325,0.08164143736747737,-0.010496420777676888,-0.016066977055758325,-0.016687007028019785,0.046679948876831245,0.06191771927079001,0.06476603832526084,0.036598633636690414,0.03887821163552943,0.05409609878806393,0.012460257451202161
14,4,-0.12505393326815167,-0.10195045964589478,-0.021733212459889184,0.12301940647135026,-0.04865800638422363,0.044549608143692854,-0.06970789704516012,-0.04336315642014871,0.035302306941009415,0.00899572244468233,-0.03798194721655379,0.01082888878743321,-0.0552994097562004,-0.0024112321366121237,-0.044523192835374314,0.022179385616898528,0.0,-0.008414007087053477,-0.006221118261418995,-0.07349492344865721,-0.027854052859709322,0.0072168145337238865,-0.019392945606838907,-0.013407307381883782,-0.03119487165204443,-0.029254935953270333,-0.019099074410761196,-0.006787450726399802,-0.031265569691236506,0.0178668143525208
15,4,-0.07536477245313883,-0.07728062879046917,-0.026231009106435083,0.12288386720668346,-0.05270776576863488,0.0431606123946747,-0.030057935307459177,-0.024104910283198402,0.011501189515665089,0.0024958324432634293,-0.05232475955707351,0.0,-0.038658991742580306,0.0,-0.012043175285575414,0.010336794573496483,0.009675717451731458,0.0,0.06543657911828726,0.018739717175349682,0.0,-0.013484112791066746,-0.013805987914188578,0.027424637129528195,0.09633286644705624,0.08004990951802113,0.0442998522481961,0.06576784532265842,0.08357395052666777,0.007848520411558702
16,4,-0.07779639196379282,-0.08150980658906395,-0.020620103005539625,0.04261585434747517,-0.03862614335562445,0.029508641819920578,-0.07370542232707683,-0.008881064025196395,-0.008571299649325792,0.004905279848762351,0.0,0.01703002923387581,-0.071297381972036,-0.03668643986041778,-0.036680634699592846,0.014120622817652917,0.04805126119077524,-0.0077482604737375005,-0.030061621141293737,0.013743156972740755,-0.012968138988496358,-0.016283158873549364,-0.015389275524357676,-0.0023471316596972436,-0.02307094698825568,-0.029197768426775572,0.0036964893652133846,0.01563558386574293,-0.01761220840983524,0.034767704191845106
17,4,-0.15917125168350804,-0.10422434907689498,-0.023308135680998043,0.10093842850897827,-0.03237700720374659,0.027242664130271432,-0.04088051658217018,-0.0451602735186975,-0.008184138490865245,0.010397986612937782,-0.05274367084679871,0.0134116144959337,-0.045284860160619556,-0.021005036063770965,-0.04523829144588376,0.020432622006984924,0.0,0.0,-0.04430872785099982,-0.004763387382849205,-0.0030082297210746733,-0.0029020928736134266,-0.009785911349320164,-0.053196932969708316,-0.018285413462756306,-0.038024336401052516,-0.032273125961237215,-0.02291272123618271,-0.027291576801812323,0.0416239888759522
18,4,-0.12829454828548748,-0.10593444626109966,-0.02921460327013392,0.1088654199116181,-0.030004437388743393,0.05011751852751334,-0.06930757316239738,-0.04703057975835284,-0.018383986699275323,0.0071562034691863285,-0.014267703022541378,0.003197490204255138,-0.0416516390275708,-0.024885419131858766,-0.03566968162388301,0.00664385732900169,-0.0024313880646709696,-0.004771935233697344,-0.04532808071234912,-0.02955573612818585,0.018795435723465426,-0.0068917633670365075,-0.015932322243196073,-0.048939807547160874,-0.02921056624199031,-0.032785211566698225,-0.029330176821685483,-0.022569935443233935,-0.03183614249837752,0.029169076201084332
19,4,-0.1734778185227897,-0.15871076457262162,-0.019672601176461302,0.1006759827171162,-0.03472177348998129,0.028684658320935474,-0.05933990618679402,-0.10025200353838021,0.08159116655229265,0.007659592855286418,0.09353404466801396,0.03670965394815412,-0.08155704756783161,-0.023160274580473594,-0.032169554105885345,0.025811717800380524,0.02752631195382957,0.0034238080174219254,-0.06497468644717846,-0.05994668780914203,-0.06848458814106895,-0.003961451380138703,0.004823011469926586,-0.0405383050886422,0.0053820142304356056,-0.009044738825618737,0.0035475548620036434,-0.07450871064205272,0.007127055618518369,-0.07979305077416776
20,4,0.01732517387010779,0.0,-0.013719102644141334,-0.4579238651660076,-0.03408053921178855,0.05588090111484184,-0.03941863829107972,-0.039089602279840374,-0.01068275149172343,0.0,0.029927509947385245,-0.07829394124283395,-0.09672848059688433,-0.017154779676042953,-0.051799680195792175,-0.056721593324019715,0.01935800134570287,-0.011918399460182694,-0.015812766504211928,-0.04024872038238425,-0.048245652830098185,0.0,-0.023344748954083228,0.0,-0.007871629542378689,0.0,-0.013330937877135463,-0.004779262079210422,-0.00375936873268623,0.010929155684843095
21,4,-0.12319800618832194,-0.10156093817271905,-0.011380480327840836,0.05535777408086673,-0.020035832283022248,0.0468368744579262,-0.055309206350660056,-0.01709018694484593,-0.003192133615160908,0.0023478133779485932,0.05161098322468635,0.009162015951080071,-0.05018110987001395,-0.026681896541332434,-0.03523563429408483,0.03166330800635658,-0.0498054191860266,-0.01923600937727865,-0.02408583042880802,0.01463021365631717,-0.02053421252754911,-0.0019324461228754086,-0.002473844595481084,-0.03292221749968832,-0.03762564914586569,-0.02713534319339511,-0.018070951061611384,-0.021645140627464143,-0.03197405545711868,0.03809468569052499
22,4,-0.14841740448509566,-0.14035096601310437,-0.022101804163618732,0.05040441181404254,-0.04062068751604064,0.04651752442379373,-0.05867787077343528,-0.011819140187039223,0.017034707066177823,0.004417087250342067,0.03610203819570956,0.01553880439979155,-0.047393617552354605,-0.02891844902526086,-0.03520882496824418,0.007643139033282287,-0.022536533403025694,0.009157949953056466,-0.02055712537865151,-0.07218589772520484,-0.0007951527536466108,-0.0050270707695390104,-0.013938166679056063,-0.013176022847902091,-0.027751249592107674,-0.039000543128722864,-0.03830509873328625,-0.016479632555925383,-0.02980399245634452,0.057284243464020945
23,4,-0.09759174053886843,-0.08987167135426366,-0.0029897238208969057,0.031860585721683266,-0.026499378498758108,0.05142311015580414,-0.05939836389033859,-0.023190214040023083,-0.043074797046769864,-0.011538922553807174,-0.006015029153838114,0.0061316379086642225,-0.05405249693324776,-0.04548598254214986,-0.037107440525203095,0.01814411153497747,-0.20615059819738057,0.0,-0.033957988817653106,-0.015249945350533811,-0.010456810209934608,-0.017291621965634718,-0.012416477897214728,-0.01611788658952018,-0.0896419304555387,-0.08797322188948131,-0.06808877098751465,-0.01826382262437054,-0.07214104779367703,0.026994499466357347
24,4,-0.0901373585812624,-0.09514041318605274,-0.01679144969487595,0.11165891324661878,-0.028219812463453037,0.04295221020869533,-0.03724438358054388,0.005619574591482823,0.10683124919338158,0.012774855535804847,0.04385575495601318,0.025307232759701676,-0.021514963181695657,-0.020425877769502054,-0.0200187519504825,0.03275559696577757,0.01039064952709004,-0.0036406260008152724,0.031205563824576288,0.10783815092197349,-0.0038879276500373705,0.003846064546266015,-0.009252955552635223,0.018078750817292488,0.03237123672635764,0.02879201187494229,0.00599505542829229,0.07278803743114909,0.02836175986519618,0.05048252523855096
