f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,ela_level.mmce_mda_10,ic.h.max,pca.expl_var.cov_init,ela_meta.lin_simple.intercept,ela_level.qda_mda_10,ela_level.qda_mda_50,ela_level.lda_qda_25,disp.diff_mean_25,ela_meta.quad_simple.adj_r2,nbc.nn_nb.sd_ratio,disp.diff_median_25,ela_meta.lin_simple.coef.max,disp.ratio_median_25,ela_level.lda_mda_50,disp.ratio_mean_25,nbc.nb_fitness.cor,nbc.nn_nb.mean_ratio,ela_level.lda_mda_25
12,5,0.22379331536056268,0.23432067567463521,1.1280068982524476,0.805815334779,0.0,0.0393269377322536,0.021628651377382013,0.016258668281496247,0.45781300992833884,-0.028337403041036158,0.0,0.33168015045803756,0.0,0.11384240542137025,0.011916329883649102,0.20528216865626847,0.0,0.014046610580900953,0.0097184765935312,0.0,0.0771338953148617,0.019879267192825623,0.04535406242478768,0.22516346376227148,-0.046848379731927015,0.07779726965993561,0.0,0.07048521422107235,0.0,0.0069759113693086405
13,5,-0.050959074585483544,-0.060166590068040704,-0.049764867946872515,-0.026242585073543184,0.003361839198460767,0.03397870934637956,0.19506250268068495,-0.004295774652137652,-0.009166591336298324,0.0,-0.07630960129504805,-0.0021542439871631847,-0.0026483877888756335,0.04792464170560762,0.009461414982258554,-0.01225705685042014,0.002210539422147356,-0.002406773575919119,-0.009442341659530756,0.0565720872367487,0.05631977169823124,0.015310861802385833,0.04374602062246136,-0.004851756612667221,0.056116108857654695,0.02833945157607054,0.05876260380045109,-0.01983046950408314,0.025313194370450848,-0.022623643943358362
14,5,-0.11008357238827982,-0.0775386119145588,-0.07258992688864097,-0.04241000949957985,-0.023837037166078878,0.03190972788125446,-0.1307446909178127,-0.04469459518789687,-0.06541416232052155,0.014930923856490752,-0.05780118163451897,-0.03636068735042386,-0.01056796668883997,-0.26271929158869867,0.0,-0.010662388953212254,-0.025080879546008683,-0.06476974076851127,-0.017937317485101856,-0.061922140056298036,-0.018960271579128274,-0.006015346353592577,-0.055445266725631104,-0.0013531595077033165,-0.04493937646187274,0.010041751713237068,-0.0479077099776023,-0.10873410405737116,-0.0064871584815129335,-0.03029828940292756
15,5,-0.05343304901344295,-0.058205032638148496,-0.05570262631206402,-0.03728965913925736,0.039207332739561035,0.02232530661336174,0.14548185579549316,0.008086544153075581,-0.035460288755755326,0.010433892942777107,-0.014335457933975726,-0.009878663892578576,0.003938002602276253,0.008538020632126775,0.016936717017889902,-0.00976174714570005,0.048747017476675064,0.031957673072738085,0.0,0.06891701975848605,0.04235053407241263,0.04241081241282377,0.06481170349775134,-0.012970574065031493,0.0788615309796975,0.004227386520356674,0.07581182441668483,-0.024027861852494337,0.03920800351354925,-0.02300193496334213
16,5,-0.06219602535832572,-0.04084350017143676,-0.04957771613091036,-0.03155037386721396,-0.02401743560818323,0.020964024341436432,0.025171450064830847,0.001959511751415538,-0.027315924142163855,0.00720233695338289,0.005340881194512925,-0.02248870457269142,0.003946971749818368,0.013717500050955761,0.06323465305369788,-0.005961532071958986,-0.025319182672290302,-0.021459628206025566,-0.01576633164584329,-0.019367842208879382,-0.028491150239743412,-0.013559392928007036,-0.02453216322026386,-0.0013183182550075,-0.01894705015464762,0.00634932364365251,-0.016617549696793604,0.037998033416692,-0.028184006756006713,-0.028782461770536227
17,5,-0.10683035820494713,-0.08995784391874856,-0.05812131348651284,-0.04128092961637947,-0.021937656465896405,0.02866041685863696,0.054338137049832425,-0.016857862604736318,-0.04063837182240368,0.01212654780359504,0.011368726356752179,-0.025407473221413623,0.00896919454003095,-0.007044286082803386,0.012030051703002032,-0.004777057995640488,-0.041594592581065626,-0.012429782879696955,-0.023014674533439305,-0.0105010605878334,-0.014351490876277628,-0.04517175788879879,-0.0034026748625685665,-0.0075408062748272275,-0.009417737217170041,0.01244727274401014,-0.01897033884336391,-0.047411272988417436,-0.014208106860405523,-0.03634127060768233
18,5,-0.10159727707595828,-0.06752063703772182,-0.05855739318067399,-0.026235065056327056,-0.04098341888710988,0.025563175215224943,0.07138814660087636,-0.009392789492147391,-0.032124582690154946,0.006597190210975157,0.035821178377274665,-0.02672912518296633,-0.011795663623102415,-0.02233422607926111,0.007631340945374876,-0.005516138279058502,-0.03331280002566489,-0.012099873836149855,-0.026781483884195434,-0.019594953872817483,-0.026525089321699613,-0.040760142310811126,-0.023144403026928995,-0.006650984753854755,-0.019149826426237276,0.022278208824801637,-0.010380630745385033,-0.034994663994403846,-0.02943616587529585,-0.04093027888177059
19,5,-0.21874869061562818,-0.15452141152042825,-0.047452717645033504,-0.025879096949752933,-0.05492028716054742,0.030821493644124842,0.0871353587868742,-0.0028452195904321576,-0.047043882161902695,0.0189387329677701,-0.012284684525899592,-0.009608116033396286,0.003884488404623798,-0.019787016781619537,0.018392157509200147,-0.014820267686426858,-0.06771697867506166,-0.004573698375613,-0.020941809118729726,0.006966923871437214,-0.019342228573220543,0.0,0.0,0.0,0.007440455299728255,0.009959897208135282,0.008265706253164973,-0.06808758636848095,0.010804382208958269,-0.019471244417480493
20,5,0.0,-0.001061512288762334,-0.06518772056121858,-0.03439423288693233,-0.05271506355357336,0.022169567669562018,-0.3706526727396913,-0.02448138211999673,-0.025494537239398096,-0.07926273788542748,-0.012762752230638996,-0.03160358754115916,-0.04144488569336663,-0.016571209609706872,0.01701431710253898,-0.010807843592579358,-0.054315321428752616,-0.017686877035596793,-0.0313741080180408,-0.0014753080608339575,0.0,0.0,-0.015521079490784184,-0.0069912395951038375,-0.006827847542799803,0.027145613609199093,-0.006719061351987854,-0.01397061642041686,0.011182824150678228,-0.028802260846228167
21,5,-0.10232768531406061,-0.06478446263504975,-0.05365176578564215,-0.03611986031524894,-0.02186221429759924,0.01969223592195879,0.04379195186400778,-0.01047080107391929,0.0057323273580621725,0.014118061071847793,-0.016882479750887275,-0.009190992893175154,0.006977044303414226,0.008360319366091662,-0.06596412114071074,-0.00616696464396882,-0.03746441104203069,-0.008292455926465853,-0.022506926567555152,-0.03324780131630828,-0.06469402261743212,-0.040294321172126224,-0.018046587744772746,-0.0033076154504733946,-0.03056232976214035,0.010526671788474884,-0.016268655897733575,0.0955182744587636,-0.03126537261070195,-0.014552319353295151
22,5,-0.1076991077630432,-0.09498403730902594,-0.053000331066070216,-0.034869411233015846,-0.001329530685904301,0.030554086982199385,0.033341350175861456,-0.02035439793125049,0.0020032525999795214,0.017015368150710086,-0.008589953267619244,-0.0167922991312896,0.007259983083754251,-0.09394998907420432,-0.044883110534505444,-0.012843221417703471,-0.015140870592475097,-0.0019319159862341007,-0.017320112351894068,-0.021953486497615193,-0.05295227909058725,-0.003243505024693949,-0.01611749573007859,-0.007475831173240188,-0.030157838320639535,0.0065915429839906725,-0.0071051560422414894,0.03870142142923921,-0.009329854312861707,-0.032777417233720296
23,5,-0.06296931431675024,-0.06652802611242592,-0.048694801600886795,-0.03511633362353883,-0.015553422642809678,0.020284132431197976,0.027693926835409943,0.0018578924368173877,-0.017632818640523185,0.0,0.009106001654914042,-0.014434830288062028,0.00816318916911074,0.003717746445716319,-0.23099696595728647,-0.012265747513655278,-0.032071654038117736,-0.03180794399887499,-0.017140842632832942,-0.06166028594470907,-0.03231387309107864,-0.035996308874057026,-0.07198244204963922,-0.007922369298019705,-0.08056347470255698,0.0077079887020814475,-0.06739037565076611,0.03613418860627188,-0.11600474246909237,-0.013317227566501555
24,5,-0.08073934144141867,-0.08010641145302697,-0.04064650523502561,-0.020768097236557093,-0.0027707929166506107,0.03269681976090577,0.11568317717318216,0.002996693919310789,0.02384063115265328,0.026979269109615123,-0.020583854001793744,-0.006810546230793246,0.017253419076527943,0.10972817656521683,0.02697633907616609,-0.0014221873672299878,0.011112241985038074,0.08199450976251305,-0.01348778844334736,0.027141938362460483,0.04931767177716828,0.007807218621030287,0.03010455234219722,-0.005544338929214965,0.01866826209989092,0.009805060754171424,0.021557377571524095,0.16827169401679898,0.012906261231850513,-0.021926115179593975
