f_id,i_id,ic.eps.ratio,ic.eps.max,ic.eps.s,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,pca.expl_var_PC1.cor_x,ela_level.lda_qda_10,ela_level.mmce_lda_10,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_meta.lin_simple.intercept,ela_level.lda_qda_50,ela_level.mmce_mda_10,ela_level.lda_mda_50,ela_level.lda_mda_25,ela_level.lda_qda_25,ela_meta.lin_simple.coef.max,pca.expl_var.cov_init,ic.h.max,ela_level.qda_mda_10,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,nbc.nn_nb.cor,ela_level.mmce_lda_25,pca.expl_var_PC1.cor_init,disp.ratio_median_25
3,4,-0.020495988229907044,-0.05580368325207337,-0.021045195698354377,0.009271829374101315,-0.04241042372666626,0.00851279594014312,-0.016644137416236493,-0.01977719398035481,0.07403717929807324,-0.010813291065882094,-0.015603433510298609,0.12167207538300867,-0.0031909085109361815,-0.018599603018141377,-0.025122303293805673,0.04511952222865234,0.006552332437738978,-0.024059373536311136,-0.008899028480650897,-0.013361395531654774,-0.007943810363102918,-0.048831301008949377,-0.011894435151883168,0.04866281046251235,0.11982354567074512,0.060704869142622644,0.007365269607468319,-0.013283450730290601,0.014411663309057923,0.057866882936691566
3,5,-0.026257200441675232,-0.043652989965448856,-0.03185135272256015,0.15792820076847033,-0.016591767910022148,0.01886355682395216,0.0,-0.007704317869549782,0.015775413907976543,-0.005878588450792116,0.006809681636209819,-0.001591587155641394,-0.014740160623083476,-0.020783284166478386,-0.026554045201733226,0.0,0.007827319296847546,-0.008766569708859528,-0.003500344141238898,-0.007576560880274585,0.010929100267762726,0.026175736067507893,0.0173478151939285,0.03461087270373711,0.05357084581675796,0.04847535984977891,0.056523348576000276,0.009573187067572805,0.017232052905144443,0.04668235618705713
4,2,0.0,-0.05096064176516807,0.005893012338963721,0.016620361609599704,-0.030273519375811908,0.029745123383753125,0.019760154779918562,-0.02690773673288266,0.02733247282672796,-0.014010485223260497,0.02275648454850382,0.11335612995477981,0.04162353996868054,-0.019232465320076483,-0.020138077787247716,0.02071112888550819,0.010823997883767839,-0.012261021055453541,0.0,-0.012238595998812135,0.0051154744811042485,0.01869699667631325,0.0,0.018739238135928038,0.056021379584734604,0.007478158953284075,0.01186386650003235,-0.008777503508763398,0.020984010424740407,0.0014551589092439698
4,3,-0.004530701301764611,-0.04780460701018456,-0.0056819952391144735,-0.02657799617354341,-0.023394284906926327,0.024151906088343902,0.0025871828303149352,-0.0037859719465655473,0.028214627099129475,-0.009942593240882813,0.013337648911184039,0.11236779684234616,-0.008295544819576006,-0.010452107726485999,-0.02347194303229176,0.017788427576054103,0.012583318932453139,-0.016535754265954078,0.002704712897086306,-0.01633982655751824,0.014754074117483168,0.0008195057673373723,0.013351026173852962,0.03547325488035388,0.0482834457624893,0.021078630652135555,0.015926013420571025,0.002186937716729731,0.006640054650737505,0.02078658118752172
4,4,-0.0026756627932260496,-0.05448866120198621,-0.004668102316850539,0.0035345384636438493,-0.02746654373686188,0.02789897737523825,-0.02528107618776526,0.0,0.033747887457325085,-0.015509937031492768,0.010817073457359772,0.06822910220484814,0.034198882897569616,-0.008903110745052678,-0.03120553594703261,0.03250802309403081,0.008995503388180073,-0.023540908232959776,-0.010460719640072363,-0.01277069978938808,0.018608069132316232,0.017037199597467134,0.01340627503491823,0.011075348492827972,0.04712319854667538,0.028632422644866276,0.016040469044370786,0.017293176326375267,0.0021458812392974314,0.020842079742997566
4,5,-0.006965044062764325,-0.04592446283860377,-0.006670537604949414,0.025593172421423338,-0.022900892025403644,0.030127019681170986,0.004448131756148416,0.015412274833164916,0.027663290233493898,-0.011646939705419884,0.001724439188894089,0.08393575265855953,0.0035157476616286543,-0.005422316942332625,-0.02583910049644733,0.018934640604000547,0.012531151745276428,-0.015688000406066036,-0.0023044273797001025,-0.009590239186296978,0.016946269279063342,-0.014650382868173328,0.021550162236448317,0.008961532881691187,0.049187918389534596,0.023033661838647676,0.014429946817370226,0.014477752579800829,0.02197985553090065,0.013386649640341558
5,2,-0.09403331286815164,-0.05534199024045505,-0.09520847157002377,-0.054887083722700125,-0.01881224024194772,0.011707786586736768,0.0,-0.02831981977887721,-0.28156020846706786,-0.03322114111751262,-0.02187901090836164,-0.009078637949046287,-0.02276214457857617,-0.014696345915054643,-0.020281078863094937,-0.20784753638537756,0.0,-0.07820831980900389,-0.08224199578429903,-0.01879230456872716,0.0,-0.009675026934587994,0.0,0.025871372156301642,0.022865039061526926,-0.015748746480694464,-0.012442470284938278,-0.10519442860226413,-0.024736578051391178,-0.028646600829046243
5,3,-0.10059796803594612,-0.036065787861004894,-0.0906935163775836,-0.0499721885581641,-0.03926452029130734,0.013416105203034268,-0.01926751032574403,-0.015144456637289583,-0.31743876662649706,-0.015556454013532672,-0.01748593755237937,-0.01618343878585282,-0.028698659114858138,-0.0033225050747198726,-0.01213193014144498,-0.18968129613523543,0.0,-0.062442449158571556,-0.07441979932857656,-0.004061437049311611,0.0,-0.009952992012616901,-0.0024079845124346244,0.0,-0.004498309048620475,-0.02930556321209643,0.0,-0.11904893972694464,-0.016041767273135554,-0.01290322449580028
5,4,-0.10242511862194875,-0.04572500796710954,-0.07669133381275517,-0.036696684186434125,-0.020195212659990303,0.015666045423338493,-0.010469695364392906,-0.002646597545589713,-0.31949234413734384,0.0,-0.035135434910023466,-0.011854221275874988,-0.03195470227305386,-0.03120858905926771,-0.03135063167836505,-0.1797458221812509,0.013467072656138057,-0.06885221988734935,-0.06980880862768363,-0.01404491551486875,-0.0022945385605449564,0.01004389938264938,-0.009353102537229874,-0.005240507730126187,0.0,-0.048149374515632726,0.0,-0.09845909372322414,0.0,-0.04906715286505037
5,5,-0.10733375682425739,-0.054281944238407154,-0.10647276612853951,-0.04649030946578381,-0.02110778301260463,0.004834891885742154,0.01887708245202968,-0.013747109714586259,-0.29311918863060493,-0.02095642698177791,-0.029147943461314663,-0.00464070991681842,-0.03411965780045534,-0.005313585713421332,-0.02432554777309448,-0.22004773238775133,0.007053519743771275,-0.07973513290373035,-0.05350534038704868,-0.020037535234233017,0.0,0.01206083092053889,0.005433313178484889,0.0,0.017464150597504946,-0.03717293066352023,0.02328065352115849,-0.09499836881857915,-0.02303712273285674,-0.035298301546868194
