f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cor_init,ela_distr.kurtosis,ic.eps.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_distr.skewness,ela_level.lda_qda_10,ela_distr.number_of_peaks,ela_level.lda_qda_50,ela_level.lda_mda_25,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_50,nbc.nn_nb.cor,ela_level.mmce_mda_10,ela_level.lda_mda_50,pca.expl_var.cov_init,disp.ratio_mean_25,ela_level.lda_mda_10,disp.ratio_median_25,disp.diff_mean_25,ela_level.lda_qda_25,ela_level.qda_mda_25,ela_meta.lin_simple.intercept,ela_level.qda_mda_10,ela_level.mmce_lda_25
11,2,0.15012947557419615,0.1486194112040845,0.032504257658115154,0.0,-0.05283935063632794,0.024278535007168645,0.05021627845307364,0.0,0.04450459173287907,0.0,0.5568881183232228,0.21391932418129211,0.0,0.01451906214301285,0.025522550621096762,0.0,-0.2332351852708938,0.0,0.03723722384247419,-0.5863219277215019,0.03072202882849051,0.0,0.034198171539508104,0.01629564266194647,0.0064298628326627805,0.07500077971555086,0.031230425761695324,0.0,0.05364038823278827,0.027428301062271232
12,2,0.37303102936939303,0.3523153643580761,0.1342969754682981,0.14419241494139845,2.2042289401734934,0.016944453339756027,0.019831005136991653,0.2668254882933847,0.0,0.03479222779388236,0.0,0.0,0.0,0.004020443392185102,0.008568476030061944,0.11482936649533171,0.0,0.011854383477140074,0.03536342028335704,0.03346060352642466,0.02308633285038697,0.01350651448940332,0.0,0.0,0.0,0.002671423513283644,0.0,0.08344041776470146,0.0,0.0
13,2,-0.08417665224179349,-0.08520358053017779,-0.15579400979314403,-0.007507630898636486,-0.09465398901957839,-0.05832433931443759,0.0053082973473913275,0.006775486975229561,-0.0377334893911781,-0.006832416033574623,-0.022368688421348593,0.0,-0.01417472426684313,-0.011854359713656754,0.027033240359302907,0.10683187110141339,0.0,0.03410434560208092,-0.024735997346740396,0.020250362843653752,0.0,0.018805162419828936,-0.024039035391205388,0.025137434603419745,0.02915187767458194,0.005385454808367718,0.004917063890031548,-0.005542785059430733,0.0,-0.0264495277105693
14,2,-0.12498793757651316,-0.10215369012825026,0.0,-0.019373732004056454,-0.130332217736994,-0.06577983363629869,0.014899428368716716,-0.045687281382206235,-0.10082222090654291,-0.010278014230277632,-0.0391041470527983,0.0,-0.04612866818063566,-0.06799296165631674,-0.009739298647518768,-0.14437910502221718,0.09065306584251476,-0.024005866344202764,-0.09230610942777617,0.020243895889938024,0.0,-0.06562207488932059,-0.0640257438614692,-0.06557572888323965,-0.05239804589465091,-0.049151013130922405,-0.03374746040174348,-0.012757191667227219,-0.04930909803340844,-0.0638247020442253
15,2,-0.07279130398478839,-0.0532327453404082,0.08115321114950785,0.0,-0.16461392393385865,-0.024999140916134754,0.013718210512638496,-0.06374625249893223,-0.048201939805796346,-0.016058625425426715,-0.028307629099032117,-0.009580161377515606,-0.10750540397679481,0.003749999946628446,0.040509604740421395,-0.06384258961851899,-0.016248622552719888,0.022626529269747425,0.0038590119009868917,0.02473118330659521,0.0016374965357485172,0.03307209165606004,-0.006459562668120755,0.033456102363865814,0.03407160907077525,-0.0024082433933787506,-0.006601501216091071,-0.0059895806659326645,-0.016114366114933554,-0.01777165823288862
16,2,-0.08281421733327349,-0.08292197140334354,0.03162311366826227,-0.01367180168013965,-0.07985973576054681,-0.0068164448415127254,0.007849132749841198,-0.00663083786059207,-0.04715318858901918,-0.010684753300096383,-0.03704202861571093,-0.014457446506800975,0.010881125532027969,0.010582897571203481,-0.025996205932605626,0.012409083714351926,-0.022721884430642325,-0.027829322804294343,0.0169584364882982,0.022069319822429767,0.04766320659373263,0.006471763344025633,0.011412428513783934,0.004461203326535351,0.003252410277499951,-0.019211708043493703,0.01090146820537305,0.0021513068064184238,-0.028618428522796918,0.015512248603251622
17,2,-0.15026173611581078,-0.1158070490604094,0.04648057193773031,-0.005925862710527807,-0.10510857963543918,-0.049143718894636534,0.007028292271024417,-0.04460226175570953,-0.03726857701477182,-0.0202062578617494,-0.028450405279357716,-0.018615875093450418,0.02007455433221611,0.030125608560103767,-0.07140757293512262,-0.03710588738607995,-0.02244829793059533,-0.072944471660503,0.025605328764940094,0.01852147587095121,-0.011510653006837401,-0.0017846417844249451,-0.027078152676046408,0.003647358514852983,0.0,-0.011141430060649271,-0.0007783850452756647,-0.008776224500742336,-0.040756922267366824,0.015805122428500185
18,2,-0.12379059824460636,-0.07746966222526136,0.04322686404449794,-0.015056538526128482,-0.1061296182126934,-0.053422076288997256,0.0,-0.03346901930107804,-0.043029853204949675,-0.01131469467734647,-0.042412471314593525,-0.026302798678010775,-0.009099329192196859,0.0215393028506643,-0.07586799303252595,-0.022649753673068207,-0.013696445412941294,-0.07299954119260421,0.00996248851199727,0.020378124936103137,-0.016752724488321658,-0.01080113995181925,-0.009921338578176286,-0.019639314240396888,-0.016057421979778996,-0.013864527212149202,0.0050667460863271785,-0.0012202208774648726,-0.01824635945486014,0.01920526353519203
19,2,-0.20771910904372454,-0.1591552437714357,0.13682816667141248,-0.003214889361702278,-0.08752555416034397,-0.014525959238861769,0.004161546393295357,-0.04087605956053414,-0.04553862795802588,-0.020432744288297777,-0.017237336935526648,-0.01579572539101154,-0.023717884677601664,0.022418859286572723,0.023739559656771936,-0.031741669246842186,-0.008161544623662254,0.013517078972927227,0.02785724775166215,0.03196949851068448,0.019287024588857726,0.0,-0.044564249930961364,-0.008751369342037962,0.0,-0.006360796475700092,-0.03636556920994438,-0.005726428443622977,-0.06178592190747473,-0.015789847323113837
20,2,0.0,0.0,-0.23495399041083948,-0.012234877925142718,-0.10096761775821317,-0.04371475323651902,0.009759825177757975,-0.0072607162070987274,-0.07739181375532278,-0.026548073640277114,-0.032273466676082996,-0.014361973233427971,0.0,-0.08815533172895418,0.0,-0.03667090519505811,-0.03015029971648231,0.0,-0.0756219440380736,0.016786936114247808,0.0,-0.003285014858308455,-0.010162800100157243,0.0,-0.0014153352404649433,-0.012265830596290161,-0.006791959934952407,-0.003568864195951982,-0.04460715479917593,-0.011094021933918174
