f_id,i_id,ic.eps.s,ic.eps.ratio,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_qda_10,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,nbc.nb_fitness.cor,ela_distr.kurtosis,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_level.qda_mda_10,ela_distr.skewness,ela_level.mmce_lda_10,ela_level.mmce_qda_50,ela_distr.number_of_peaks,ela_level.lda_mda_10,ela_level.mmce_mda_25,ela_level.lda_mda_25,ela_level.mmce_mda_10,pca.expl_var_PC1.cor_x,ic.eps.max,ela_meta.lin_simple.adj_r2,ela_level.lda_qda_50,disp.diff_mean_25,disp.ratio_median_25,disp.ratio_mean_25,ela_level.mmce_qda_10
11,1,0.24990998906996315,0.24586097634891813,0.05957528536488943,-0.07488652888656566,-0.5038324753713616,0.07932781799405897,-0.008221940302453712,0.008260614681454115,0.023628555899979697,-0.01222840192553154,0.009456797079621104,0.03436211437040154,0.01975270312070032,0.08783612171596833,0.016118976560289378,0.05418561818304579,0.05856367647695876,-0.030941069291411605,0.09729289579754141,0.05480067380369147,0.3188797517334878,0.07133933876926535,0.06042253314322066,0.01500315567703403,0.027806730872348973,0.38949870194813196,0.04391744366463435,0.02675296539888372,0.03418533259607204,0.018053120220308472
12,1,0.09834496242808921,0.08190933410740708,0.007974670061018763,0.022944253928384617,0.00800673137453009,-0.03480040260256817,0.02020488728627362,0.05124445052727475,0.019625842191918097,-0.06909044554301669,0.26129618368955393,0.025754985058662444,0.01233498901750446,-0.004345496127123427,0.1584415775325269,0.02847016258412849,0.011506996411640547,-0.14785108133759364,0.008125354693499731,0.0074526592096240685,-0.003786027187328289,0.025810758402045497,0.009909355508363193,-0.12445160419312182,0.013285240171429402,-0.010309907240336091,0.0038995324927943165,0.0,0.008737414823826228,0.0016689951729485508
13,1,-0.07544573515739456,-0.05528121646253609,-0.054857637067052545,0.07562232366495686,0.029003296594115907,-0.039627435817380874,-0.10202088548680738,-0.18019165261595887,0.016722084989482744,-0.047680625379609154,-0.036541046085838746,0.03467848302604226,-0.01314741851239476,-0.028835675030017383,-0.06698285468745435,0.017464543426351287,0.03172566629737539,0.061323480238764105,0.02385513963358471,-0.006462493168394257,-0.014832357926248985,0.026879871633609942,0.021135727750089373,0.004611362073682679,-0.045911959601413865,-0.021002168505839358,-0.01948136915194959,-0.017513477175585768,-0.01814114008072154,-0.03782774475564743
14,1,-0.1238275334733615,-0.13418062807437126,-0.020531661415365887,0.06633928658987781,-0.007514372725871465,-0.04395543271171892,-0.03528641181062914,-0.18377668098636912,0.01490314426466699,-0.0948505316200825,-0.02386829979787075,0.030474543041760227,-0.009010250806164688,-0.030484973568804807,-0.003705548464537689,-0.0053118306042462815,0.017536445373783738,0.003084279746664642,0.014962427253389254,-0.00348145236408115,-0.00515021818711997,-0.0031596682753141647,-0.00152497989001793,0.004609263516088813,-0.023216875597364794,-0.023125882107021767,-0.03672461106784186,-0.040103881935551644,-0.03910537376970924,-0.03885857954415706
15,1,-0.03913588770032083,-0.04248677361308148,-0.05508695721183991,0.028241456772306647,0.03522448312441344,-0.07558516622337498,0.09607743083311354,-0.03155617945292175,0.018910303141779473,-0.10357714998052134,-0.00796464099246745,0.04730290732543692,-0.002092618217903066,-0.02410829098598497,0.004631370882729382,0.021511256123064013,0.004167559643071604,0.02737790784382611,-0.009382038458967564,-0.0021038411412213145,-0.013976458139575392,0.015600385544457024,0.002392893982053907,0.006053316261283796,-0.0014590688399633983,-0.024567482626866033,0.029491268807926914,0.026436867225449096,0.027489629589934242,-0.0018502934037028795
16,1,-0.06211083568536917,-0.06070095332692091,0.09200487141858035,-0.07479819204782273,-0.028151106456233935,-0.03362628854545828,-0.019912420944924,0.14856159370236144,0.010103675740472995,0.16039370707459438,-0.009895858926674501,0.014811620313163472,-0.010391501585023721,-0.012779507196396644,-0.010699735249282076,0.015043549207081092,-0.05189933854721618,0.003645755478249288,0.015508920013246455,-0.009842375442644748,-0.031466195541592884,0.009394472124640632,0.0029327532140544788,0.004388717541960553,0.023658520847744002,-0.029514875694755062,0.01470622341872374,0.02080195434777414,0.018100811500408796,0.023116327822419416
17,1,-0.0961831261576101,-0.12348870351147162,0.048174137001040895,0.04270020626867005,-0.07415687864006609,-0.08986905580374366,0.0068243802673609855,-0.05786285945186481,0.014567323870645243,-0.116236685090369,0.035237425266168576,0.031485399398135216,-0.010700496275501237,-0.04006775641686533,0.0581379947519583,-0.03569841413250613,0.008939262691352146,-0.008386056747785031,-0.01757157198907855,0.004432439733965343,-0.007516874432347498,-0.018903255299466848,0.01163486960284793,0.006456443416508972,-0.01496632353688615,-0.025736831125090898,-0.0679968534006064,-0.06523289490417661,-0.06627842410685947,-0.033159889201471615
18,1,-0.04144099042060331,-0.06781895576418545,0.05815104419549266,0.04369176726145091,-0.07418423352092107,-0.09944057620057867,0.002266414149980578,-0.0600469415970743,0.01560424384507253,-0.10903176182679158,0.04372055099771799,0.0379634069306074,-0.002577001255186645,-0.04336078539687713,0.08131793371731275,-0.045026462882695795,0.006811500048152064,0.003135583841778755,-0.02134971880879205,0.00909683444918613,-0.0091245685551124,-0.025832569104249414,0.006067880701635997,0.005752285190463946,-0.012290572494060459,-0.028153362550407346,-0.07135418742570093,-0.06906654519596267,-0.07048155017887309,-0.028896042636705532
19,1,-0.07669517128397244,-0.07423036948571463,-0.0366483507239197,-0.19624703018537173,0.1843145983444494,-0.041509083503474514,0.058635624350413494,0.12237872114852184,0.00792437041891815,-0.013044609301222823,-0.011692095762198568,0.008534719174720207,-0.015446654705026971,-0.029821471125107996,-0.03247021502014963,0.013705693723869247,-0.04617697688483896,-0.0023154740905833443,-0.06294437697561762,-0.07576781256815754,-0.04244960392482379,-0.009895566863997507,0.007925626720356752,0.008545120617403826,0.02095548206992931,0.012496306652671,0.053671416678225274,0.048197442126654166,0.04708030456725315,-0.004772126665904597
20,1,0.08186323994000577,0.08418036148260771,-0.05115579774865153,0.032676615045226565,-0.0006746876501415588,-0.05808451021547906,-0.15995807463626227,-0.09693663159448407,0.017337872780239016,-0.06532697614656918,-0.03466993418940656,0.03599091483620026,0.02372136884329068,-0.030814552543965146,-0.03472836392287315,-0.05238277921367446,0.018854831444593656,0.001056687859132266,-0.02643209756746634,-0.014106971476299746,-0.004984202545866512,-0.05451490186552044,-0.007727833239390636,0.006703603653580359,-0.06408709666376367,-0.027910205385491466,-0.039683928552659675,-0.03734982544585724,-0.03880505482161237,-0.01689840574170609
