f_id,i_id,ic.eps.ratio,ic.eps.s,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_mda_10,ela_meta.lin_w_interact.adj_r2,ela_distr.number_of_peaks,ela_level.lda_qda_10,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_meta.quad_simple.cond,pca.expl_var_PC1.cov_init,ela_level.qda_mda_25,pca.expl_var_PC1.cor_init,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_level.mmce_qda_50,ela_level.qda_mda_10,ela_meta.lin_simple.coef.max_by_min,ic.h.max,ela_level.lda_mda_25,ela_distr.kurtosis,nbc.nn_nb.sd_ratio,pca.expl_var_PC1.cor_x,ela_meta.quad_simple.adj_r2,pca.expl_var.cov_init,ela_level.mmce_mda_25,ela_distr.skewness,disp.diff_mean_25,disp.ratio_mean_25
11,5,0.2431182783118927,0.23110830049606035,-0.09172512771255154,-0.4925227831978358,0.12627878678925164,-0.006854626023157007,-0.05137925023108458,0.09578691822476526,0.010319931364506485,0.021062715074918303,0.04000349048706009,0.03192699757262607,0.060990418901074595,-0.08641190926805775,0.03846641411603757,0.047431401222952196,0.05896470667922071,0.13930202317451912,0.016558353684118732,0.018350701195750774,0.47899433644699874,0.01017331269083721,0.028760818971705904,0.14070028131772994,-0.011272832971473523,0.01402132719532767,0.10871187332636578,0.016603598012331355,0.009639240025584472,0.0
12,5,0.0,0.019192379894650113,0.024260022985203994,-0.016555177850584482,-0.038027845590483486,0.020416065562394524,-0.18688888063022813,-0.011118327516015325,-0.040624827578927644,0.020781791270444744,0.015341129271075254,0.007873982078033262,0.004540563396686237,-0.039067819984112705,0.012634547090630298,0.003794204983835467,0.0,-0.009926953208012707,0.0028236531943737417,-0.06410100792332687,-0.019968700147156057,0.14652734608603882,0.011393926125074456,-0.013515016991299568,-0.021512581178259417,-0.0016255416615539586,0.016123535403711073,0.02721004314731766,-0.014914891800837576,-0.009763347087876545
13,5,-0.0163372169262831,-0.03724684676071642,0.03424102904464024,0.1400950556159306,-0.029166452774629918,-0.06400475312966304,0.04441980633904112,-0.05222863383366343,-0.02899932075203853,0.11610027244626189,0.023890862251713378,0.04051476103586686,-0.160934557038957,0.045416285534450915,-0.03520148788108819,-0.009838766376229286,0.018575507531818518,0.003545293816991129,-0.000610834526106413,0.0014312810011512696,-0.02958605129312051,-0.027109949706022936,-0.043026913473066655,-0.00453130202554982,0.023484761259318917,0.010693260617797486,-0.0009100926477967272,-0.04062930823945849,0.04802500965704158,0.04990353796253423
14,5,-0.09247276546404776,-0.08477498791400728,0.12869695263060604,-0.08383817164431517,-0.17744811444048697,-0.1595009110035757,-0.009273713171258469,-0.03759418735657705,-0.056485753642722236,-0.08693306140460896,0.02276717220692298,0.024208341282867862,-0.009684589609140204,0.08189488698608727,0.08160347617805544,0.041117920231737104,0.014860394390883047,0.018592870274172918,-0.001101514682469995,-0.0024018719863960203,-0.02531664500325606,-0.024593234886981924,0.01898840917348535,0.02414644940260613,0.03512245614895487,-0.0032276532756470577,0.014512599574569185,-0.0025897424496068022,-0.07351479778403067,-0.07474787634335878
15,5,-0.018607149335356274,-0.01382063279210563,0.01703843827444773,0.07490534431565354,-0.007347733059178754,0.0,0.023721495340072313,-0.023451238477753655,-0.04756978851751781,0.11184348353016821,0.028946581750377745,0.04548134857042316,-0.07996749617173592,0.009570008346183129,-0.02584224074360897,-0.003098093248967093,-0.0015093989420158216,0.0097064675103819,0.006394722475910081,0.0,-0.044655534000227606,0.0222010356189217,0.013151075728205716,0.005691153633116633,0.036556293084343064,0.009261367391433573,0.0002492694227194947,0.03385297178837551,0.0685083683193406,0.06992087092356769
16,5,-0.050527314845477955,-0.050795004805515354,-0.06524285759785792,-0.07335363291157733,0.074107730945974,0.1400844658063576,0.016649516508233375,0.01284390274669922,0.15636109760152184,0.012405492378263216,0.01688123419767376,-0.005007831605821106,0.11290641589289781,-0.03559983973549849,0.0035994745544172535,0.011120666324339501,0.0063771066855875524,-0.027822643756775206,0.0,0.04241066545215663,-0.05100525656475359,-0.0013138467758269656,0.041818408226146075,0.013595130853627818,-0.011844342178629147,0.027664507528254473,-0.012361476550659403,0.009394986575479436,-0.024839051427931788,-0.013939654154877301
17,5,-0.1267121470521,-0.10010638738929234,-0.05257580160795117,-0.04910313310088893,0.07167706906073923,0.003184438903802267,0.010785624169834085,-0.01573816687502977,-0.15996467649652546,0.04597487919870852,0.018273082364181126,-0.035033483038810154,0.043264640969112755,-0.03531817214835864,-0.008123154584126435,-0.010678127652154146,-0.07074432868798469,-0.09802428825129972,-0.009704149822270969,0.0029211712853947636,-0.08556919507143335,0.06434947033610888,-0.04899783335011154,0.02364555283137415,-0.04813369066794915,0.0037863315988713175,-0.07023824328785061,-0.02464496576419517,-0.038234711204942096,-0.036488304983162134
18,5,-0.08903801803205091,-0.060319532923491403,-0.05388016962317632,-0.0325744451125938,0.08526974872214108,0.0017679968106039112,0.01565908445783204,-0.020515802701045277,-0.14225210629996266,0.054121228920548464,0.016292326006097257,0.02624696205543184,0.019320418757552332,-0.020744586282201688,-3.7942610605745664e-05,-0.0051168247346087825,-0.06259898051465079,-0.09776440361568325,-0.007134858312677128,0.0005209691732595001,-0.07799272369893362,0.06417666910146236,-0.013145927041146394,0.10001895797305571,-0.030951373535820642,0.005975938695237271,-0.07915514775496285,-0.004135761058551624,-0.05024958769300439,-0.048538322776485066
19,5,-0.04934539433838271,-0.05580340471589297,-0.18807193022025576,0.23086513151592464,0.05411734737489597,0.1175870934550083,0.01854489391818549,0.021802205368936175,-0.002586249559768175,0.05640273057471139,0.018031163127492512,-0.0007187004592276169,-0.041734546965356535,-0.12768833530776968,-0.002487868896017008,-0.013455495939423363,-0.027780656376105245,-0.04337223484592269,-0.007207262245177981,0.008255370165831541,-0.0801548305291715,-0.008585000999642128,0.010213933064300441,-0.015992958959164007,0.02556184996301667,0.008452104065961308,-0.06875526365900944,-0.009503900437604268,0.07672256433309327,0.07619704424871601
20,5,0.0567624295803589,0.06855321705564679,0.10816257174890713,-0.02890235622837664,-0.04669700659184067,-0.08504898262273233,0.029946989407061392,-0.034039810672325116,-0.03187964073561561,-0.17990943783274288,0.024742919419454112,0.03549346782521526,-0.04502875783387539,0.06461335766647819,-0.13316621727592243,-0.061321139318835205,0.017867022806930394,0.02286445024396186,0.009191104869816918,-0.019090582692592867,-0.030347393608052997,-0.025407288507011988,-0.053133442763109134,0.004887166462612252,-0.04602153322948238,0.005504646483728781,0.02145546385017455,-0.018938471064752688,-0.01372985982679345,-0.010284188811376715
21,5,-0.06512785499236662,-0.06277050430428747,-0.08086140349914053,0.0,0.0644932443672043,0.12027789437921987,0.0,0.019073691621147706,0.2172187375308186,0.007524683338322027,0.008709228385642892,-0.17460541454102319,0.07237753385426857,-0.04456677947022536,0.0,0.0,-0.05130333622580079,-0.024738007229620468,-0.010036025313784142,-0.0059951755504560195,-0.05530597376496976,-0.009218555037798726,0.012694433465020666,-0.005041727628567305,-0.015220725190418435,-0.06703525286523207,-0.013690237950574224,0.07325318853706873,-0.039057388539724444,-0.045043438368597144
22,5,-0.08938669064270162,-0.08238149104829627,-0.06285418315142352,0.013543271066373926,0.07715650093432919,0.10408810472780536,-0.013547070326618546,0.024468866117753896,0.1632552590887021,0.010066167412413389,0.007932523095377217,-0.13690993131796197,0.03606535229036578,-0.05630097054786886,0.004054515028367692,0.004547017136671903,-0.028237923803785786,-0.026014010392696296,-0.003466965968982487,0.002354649106493134,-0.0525223221293523,-0.001184000280259237,0.011937193579608648,-0.0046467870945605325,-0.024618299339962152,-0.005099014612789131,-0.003817502897905417,0.1061400745988977,-0.0408693255050289,-0.04059953440717068
23,5,-0.056968938181835654,-0.06736011719822127,-0.05826521807222022,-0.05897334086927977,0.057380944880971715,0.11791399919825044,0.0034922662618798034,0.0010647277851996428,0.14196160938506078,0.0035476682746624078,0.012171200644639404,-0.15044617206869848,0.07337892196941437,-0.022107105001163363,-0.00716582514280481,0.005596403656948468,-0.015892132434623604,-0.023329413191915914,-0.011956143210417353,0.0,-0.040832021984608176,-0.002828761901468399,0.025697430960626433,0.007648219033449782,-0.010795157995104152,-0.09018438245386795,-0.010026510930661578,0.010318186520112807,-0.006773496604760662,-0.013034972513619403
24,5,-0.011974455060065614,-0.030139562196068614,-0.061905882150183944,0.3393595790436357,0.05907255915215015,0.111678821277718,0.0399398721720014,0.028222102306357133,0.08468880921424976,0.08667836929864431,0.028893188662448832,0.04158840306669048,0.04170217433079443,-0.026587011705903996,0.005316535418605106,0.002395867361806747,0.0037430550500598403,-0.02601735334903954,-0.0023081855593310996,0.04054561108946586,-0.05934687517128873,-0.01128239631142458,0.009771672674608045,0.010561382222508853,0.04347487301564695,0.019528674545913838,-0.018352456644027293,0.002853205299056416,0.07605638792647185,0.07051711251086079
