f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_10,ela_level.mmce_lda_25,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_meta.quad_simple.adj_r2,ic.h.max,ela_level.lda_mda_25,ela_distr.kurtosis,pca.expl_var.cor_init,ela_level.lda_qda_25,ela_level.mmce_mda_10,ela_meta.lin_simple.adj_r2,ela_level.lda_qda_10,ela_distr.number_of_peaks,ic.eps.max,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_50,ela_level.qda_mda_25,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_level.mmce_lda_50,ela_level.lda_mda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_50,disp.diff_median_25
11,4,0.2993547819562263,0.2599455734464647,-0.05944372588452013,0.10166618574059105,-0.015112656798290325,-0.017782724915687664,0.02959941458431259,-0.005950883289767617,0.00717526063359919,0.018869353018532986,-0.12858312840913366,0.22826057141384137,-0.013118133181744873,0.05658972148963454,0.19910867625182388,-0.022236524098867394,0.010336829743282039,0.15460209890695947,-0.07746076182520589,-0.0031572301519481316,0.011578503599319556,0.006826590891780809,-0.2766812640979468,-0.01700340725382743,-0.015310541720206794,0.057629827422017166,0.02661674032463346,-0.11000153192511697,0.03665630593429442,-0.09531352928302717
12,4,0.3623723501268561,0.44344275850652237,0.057336304383758696,0.064652939388818,0.05078050730838268,0.0,0.027188023418790452,0.011652383077239037,0.026249374709126583,0.11120957068463033,0.09595865398432712,0.005728484893433805,0.4970485470559136,0.052172162343107065,0.02970503484638165,0.04986176585856805,0.05532636666334523,-0.03211823372459177,0.01261781088361702,0.4464388043365697,0.04605788408882483,0.0357357416208437,0.06147594717614435,0.06351040159631283,0.38624392092760673,0.02040417986015175,0.048544239088869956,-0.10407939554464307,0.016482244638778898,0.0012179694751650594
13,4,-0.05462273488406494,-0.07976148491811318,0.04062480519002895,-0.16858953085272763,0.02049248567218097,0.028224468580909795,0.06866334919069,-0.005896501577866253,0.011531502934314403,-0.0009264535435441063,0.20214341046554798,0.03345923284460833,-0.038937215760788124,0.08349155731961116,0.1052761183876731,0.04403837069795437,0.011564183944009127,-0.035953831573647746,0.1081512076151376,-0.02319424436281993,-0.009546618030910115,0.10919717662610881,-0.04563265443272317,-0.06319955021243286,-0.01542904989445612,0.0,-0.015257854452324388,-0.08042095113452025,0.011455707543900712,0.1229968630503411
14,4,-0.2322338218919877,-0.18477765301793314,-0.14893850954702714,0.00646237342970446,-0.03715024692389984,-0.00622777419624293,0.047592644017187435,0.03331774753961314,0.002885399420533785,0.05572583838101808,-0.24238761971311606,0.023839213747215426,-0.016223593704519867,0.038740289086780955,0.07466750426305202,0.002210636085395401,0.003830005606638709,-0.05591970798497092,0.0,-0.032672884989890294,-0.04273489300187616,-0.002162261075616012,-0.11585573786763625,-0.022329070066595125,-0.041170824906214154,0.008986712834957278,-0.0526636509131837,-0.0467519673306076,0.004565354709273772,-0.0636402471927503
15,4,-0.09531026404958393,-0.07868177850346858,-0.09469225985394644,-0.06787634863027778,-0.03289536708663865,-0.03987777632452036,0.06772324943788374,0.007304517241420783,0.009306746186763193,-0.005017967399421286,0.015980816116352492,-0.005862912532228093,-0.03430314710158086,0.07502075909169462,0.02983291322484699,0.013063748894257377,0.006764411161263528,-0.0544060591182976,0.07291503647684502,-0.027011785769415264,-0.02985202979035151,-0.012699347994670401,-0.05318196352397736,-0.03595106173612961,-0.041398533711976104,0.03990249285624356,-0.027184072335446452,-0.07698540306103543,0.00994913678085435,0.09179102310281989
16,4,-0.10306628975431925,-0.11370999682991158,0.14986669752250645,0.013870039818138932,-0.010249867749716035,0.05091412017186961,0.005002848225514292,-0.02928302128275434,0.004252074869024389,0.01884450354039227,0.08093179467922088,-0.046073301828249924,-0.0185071466474917,-0.028164072739001636,-0.06255775330290393,-0.03145937415488424,-0.01602748129492078,-0.06180673824110667,0.021182347902273843,-0.014891679540692287,0.02681899783724144,-0.04809077483128993,0.1141060257095849,0.09658336599360226,-0.015695732823148525,-0.08128243281889237,0.0022626641499064737,-0.016845666977498064,-0.055382148989871205,-0.28365845134941825
17,4,-0.2761757299721713,-0.20357122077560708,-0.15482802407183782,0.10389799431489383,0.033290476076434955,-0.016039713394116695,0.004355295312323759,-0.03543558297353411,0.01103665107188273,0.04775493559049912,0.00961066597301058,-0.040399492065985254,0.011329256712535152,0.014496370591985663,-0.06753790931052744,0.023123968947521556,0.0028727957433671847,-0.04749106552670468,0.028281918036480613,-0.03231680068248638,-0.002596468569314503,-0.03793049003752913,0.08804211395377165,0.031211591094697233,-0.05264224107825838,0.010677765076764767,0.02677501225930773,0.0,0.004126739865186468,-0.04872426651015227
18,4,-0.18895814148566772,-0.12428743631594336,-0.15870022590183278,0.08717316068617906,0.023265462580132873,-0.010081115652234074,0.06736502563088462,-0.056004494250097236,0.006634654829387243,0.06289194349523289,0.00025763189780789175,-0.04879238142109815,0.02346217142601073,0.017758889476933687,-0.06949755917452854,0.019483137254786703,0.011310374446592636,-0.06606994764885454,0.016132517501471932,-0.03141317892864301,-0.003945736987053666,-0.05044072872617242,0.06829785739575688,0.03476626041067188,-0.04432740460265924,0.01037144669016321,0.034343234844929516,-0.028193791789080686,0.01239901323011286,-0.06392600198758003
19,4,-0.2212174563706928,-0.2075935343105476,-0.004977006067012069,-0.016652628723327956,-0.03216051825854693,0.1198085310175186,0.014894780568824206,-0.04643685412670573,0.003943620332490738,0.048209956799340814,0.029688919254881485,-0.08094616711279251,-0.019011919298516866,0.0707607014105664,-0.048050273724795534,-0.048815114476880916,-0.009223614175658423,-0.07676792968439627,0.013044162850163521,-0.017156065755219774,0.0013629854003295305,0.07736975185786818,-0.04356460066949208,0.04843487089588777,-0.04927609624487478,-0.13600512815981886,-0.011469030265435776,0.045065042390831145,-0.0759643391270774,0.19477649625246618
20,4,0.21006638679580092,0.17047377453372237,-0.05878269004442016,-0.2609584137078571,-0.25311209676580393,-0.009954095025940635,0.066707245991737,0.02210455375813153,0.003628179318348135,-0.14336447146889642,-0.005316353511265082,0.02978304955499983,-0.03906532094034776,-0.2388076769238004,0.045071741431501444,-0.17110693490704687,-0.0627969442675489,-0.04801362255577257,0.017901601507406717,-0.02745970057580993,-0.03979803876375637,-0.03495763969563248,-0.05391287161777003,-0.07806695217563875,-0.03467076645977263,0.01462644159711124,0.0065061527354301485,0.04477015587709887,0.0034477287140883828,0.058879729645449186
