f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_level.lda_mda_10,ela_level.mmce_lda_50,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_25,ela_meta.quad_simple.cond,ela_distr.kurtosis,ela_level.lda_qda_10,ela_level.qda_mda_25,ela_level.mmce_mda_50,ela_level.mmce_mda_10,ic.eps.max,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ic.h.max,ela_level.mmce_qda_25,disp.diff_median_25,ela_distr.skewness,disp.diff_mean_25,disp.ratio_mean_25,disp.ratio_median_25,ela_meta.lin_simple.adj_r2,ela_level.lda_mda_25,ela_level.qda_mda_50,ela_level.lda_qda_50,ela_level.mmce_qda_50
3,4,-0.04874706981546453,-0.04368211970494969,-0.0442366304069845,0.06523306310450958,0.0545156790798682,0.12013197932823447,0.06134038477577531,0.058761277837207714,-0.10060822489926424,0.028949369666655837,-0.04099144741939701,-0.06826167071792058,0.04434748697404091,0.03757065442303749,0.02470366389053924,-0.03569917635007405,0.11046951382349836,0.01877514909543508,-0.04242912611695607,-0.0246043779339966,0.0,-0.045096463211067236,-0.0011569024898184371,-0.0014016490986817898,0.0,-0.052202654373969204,-0.010649269051522636,-0.1562728762009809,-0.015531657979826669,0.026465920802113657
3,5,-0.044434483152987134,-0.06652694792439087,0.018770635253677198,0.08550956179370184,0.10167343073587332,-0.009444326691557203,0.0008980995259276758,0.0607517768834227,0.09877411246003881,0.021714556858716955,-0.040060641445601536,-0.019235425180958873,-0.016016655351827502,0.010621353131317846,-0.012552200746057923,-0.029568354900590815,-0.0127038491149718,-0.00391390045431457,0.04349142565788999,0.0425798503158312,0.032128430249065115,-0.052684094498179346,0.018020287392804757,0.01897649069768259,0.03286369451400119,0.004240071662566583,-0.02215808183795874,0.017625328764446058,-0.01895082387425559,-0.011458029887636778
4,2,0.052127104286106896,0.04993816686666769,-0.05353490526110938,0.14261324931044522,0.03215409357098606,0.038463199833685485,0.056809795341020264,0.051483120445315445,-0.07551337796270025,0.008102911494391601,-0.041803348889633135,-0.04729560745299663,0.09294081674089505,0.0435408506882948,0.030326640086594026,-0.036544666110340185,0.291268368846495,0.026419169479045018,-0.023252600476394075,-0.017301207397211943,0.006696283488145549,-0.044312534650021024,0.01137470360685175,0.010022955458810268,0.005463481552644589,-0.0493581824304202,-0.005973499141367106,-0.18634927940842666,-0.01818121091754782,0.02920855331826977
4,3,-0.017366516120939757,-0.01908151468941425,-0.04041779878204567,0.03224857050376083,0.06380132323977336,-0.039673975156914176,0.022982138764885002,0.06176462463286986,0.027851262265297647,0.029921261152470457,-0.03657730223931138,-0.02604887103760746,0.04373186323236289,0.01419476178960799,-0.020579902063645905,-0.029794057912576347,0.30620492527271753,-0.020348564076750952,-0.016319725036418875,0.06809150138849422,-0.003408027130988034,-0.03967479482375711,-0.008683252688143697,-0.010063257871053818,-0.005069314649799123,-0.06121442562641931,-0.02885048730814989,-0.09004841821488706,-0.020419561926333082,-0.00712356742023923
4,4,0.022801699522557846,0.02460151028291807,-0.056205338949867296,0.08787344987638881,0.06697603969608255,-0.10939997288944708,0.03259219835688018,0.055358252990000745,0.11479252061481685,0.010914231608542435,-0.04065295702139702,-0.008720776776142997,0.00398478133883752,0.026496821566668424,-0.04653377166286117,-0.03485862936878942,0.16327892510879355,-0.04175774094624583,0.03633049639975266,0.07176254544202265,0.0,-0.04329243928691615,-0.0020871787853417867,0.0,-0.0013573495748436248,-0.04870073583207947,-0.015247296532899024,-0.12502322661469764,-0.023599749787299423,0.007596471737565558
4,5,0.021475890768468814,0.03708400066537354,-0.062428600338093165,-0.03578535705826408,0.08694838899475335,-0.15386768410506377,0.030315773188900996,0.05248374528876143,0.23418563048886273,0.018732535079043156,-0.03510945071129101,0.049011699246743534,-0.04262057726866529,0.03063281251289854,-0.026318929537061664,-0.02829452827309417,0.24185943265636778,-0.007573919488366804,-0.08091509980295228,0.10894464893524147,0.025698984468778524,-0.029281878328404592,0.027048574979914752,0.02596844883661728,0.023484003128881686,-0.008208168094725105,-0.025107353670599686,-0.10863933348078914,-0.02192158429754079,0.005952326585096035
5,2,-0.15593600168141497,-0.17834624607206362,-0.03326205139729099,0.03681100964672224,-0.13420107777593016,0.05505213552594512,0.17076834900458887,0.0022863869307329088,-0.24470775783703091,0.010512563296541932,-0.04583665729594277,-0.018918774087743118,0.03739602822329513,0.0370097905314537,-0.2046484415717943,-0.030404109918994227,-0.0391384233384805,-0.24906754654946517,0.020406674672068803,-0.13452022828469912,-0.0013479435350896019,-0.060138732641325854,0.013305170765398722,0.012283741694598671,-0.003125432903232195,0.009092650885401343,-0.07631595218170917,-0.0780762687370562,0.03192283762138981,0.052240533249680254
5,3,-0.16351510964914223,-0.17852687129524758,-0.03404906735651725,0.024131503056811443,-0.133064025301313,0.07452423911684791,0.17160385620272256,0.005702797715301355,-0.23514582231031,0.015364837584779134,-0.028412726677688682,-0.027577018092978633,0.0694315323155178,0.03284442645755392,-0.2092674795776689,-0.03381045061453258,-0.0293196482144632,-0.2655099239833164,0.022790663870884353,-0.1338679843858881,0.007244710322269476,-0.0593747529021621,0.018273197546474274,0.015591923413896258,-0.008037097735740129,0.008166600349212128,-0.07244997080446636,-0.0774271211083647,0.019368427375310526,0.05142074106895733
5,4,-0.16318707522794462,-0.1821259549241846,-0.03933598989981535,0.034560722432908975,-0.13252449561732788,0.01745910811850926,0.17505081263029354,-0.014013202496056587,-0.23658567296054445,0.005824674687266218,-0.02737148870965267,-0.007071601873107403,0.057575268080970576,0.047564202073455575,-0.19691779837098267,-0.022072501691774882,-0.03562600731657106,-0.24372979919118087,0.01436497524470004,-0.13136478151927355,0.0,-0.05727442441114422,0.017825641430318173,0.017651865356452356,0.0,-0.0040590996664638945,-0.07310081792590128,-0.10782949167527534,0.03477658273087725,0.04254645772771415
5,5,-0.16601900501465938,-0.17731111814077388,-0.030428363738600916,0.02933042007129627,-0.1445640786009642,-0.013824628148736862,0.16552933596596647,0.00024309407092548696,-0.23312157852699644,0.0035649502257010246,-0.033722881122664194,-0.017344920352451165,0.05975345848043656,0.04143078795750876,-0.19575708716564721,-0.021008957976561993,-0.030306273956518526,-0.23718751963857876,0.015395777854799508,-0.13125306043785845,0.0014719873084780843,-0.0521690591169548,0.01707632427455763,0.01675508417376803,0.00554675878263966,0.00739490531073328,-0.0816427030328638,-0.0945797177564004,0.03404872519448787,0.043840828447425206
