f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_distr.kurtosis,pca.expl_var.cor_init,nbc.nn_nb.sd_ratio,ela_level.qda_mda_25,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_10,pca.expl_var_PC1.cor_init,ela_level.mmce_lda_10,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_qda_50,ela_level.lda_mda_10,ic.eps.max,ela_level.mmce_mda_10,ela_level.lda_mda_25,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_50,ela_meta.lin_simple.adj_r2,ela_distr.skewness,disp.diff_median_25,disp.ratio_median_25,pca.expl_var_PC1.cor_x
3,3,-0.005383060010890298,-0.016468862418886156,-0.03791203681937151,-0.04618751885724516,0.026822383429946896,0.03627610689633172,-0.062102119626182825,-0.046801697529402005,-0.11256988986443228,0.048689242492706855,0.02424818780457151,0.044766241953699173,-0.12367083262334515,-0.0638953986297046,-0.014521149672587802,0.03965580262235946,0.09730461539529893,0.21282888898530883,0.020011338548886363,-0.04541205065588062,-0.03667252995315433,0.028753632397924854,0.025323340400726466,0.07808779015261705,0.03166888515890305,-0.025364808471990845,-0.02790378387674626,0.024904421432797308,0.02331950513276025,-0.055839692582283135
3,4,-0.047990465821372244,-0.038866585302491846,-0.06673411427425743,0.03032633521456672,0.02802635076427272,0.03210327760677789,-0.0822411769584051,-0.04937719757897374,-0.11664230947431856,-0.0676210732812963,0.047726980985334996,0.055913275067766,-0.046979045498034805,-0.02107524111631602,-0.07141432458976042,0.027095858753501553,0.012056133138373643,0.10294953986873225,0.024629163768945805,-0.038082154548644526,-0.041294704420220124,0.0272858647828131,-0.004297634276422699,0.0491939503156944,0.03999206980923817,-0.020215615859787955,-0.035782839056534566,0.024525106120279666,0.02765696419976728,0.024629430216401738
4,1,0.01254512843426997,0.02191275521272376,-0.0676850453527974,0.1125650046835413,0.026608415742899516,-0.010973201454900244,-0.0012382854086702144,-0.03786262390614348,0.0969809251526551,-0.04880802102839854,0.010123224093071564,0.07036347202983476,0.14705742452321494,0.0573738157990164,-0.026132023496965223,0.02120242961058852,-0.04064513866258665,0.08931562091990028,-0.02575978429567627,0.04400476308524806,-0.03160623736382823,-0.0466805580472425,-0.03547926132767684,0.018429710251650716,-0.017204398094423146,0.03417429900784036,-0.03265488570437117,0.020826135283536273,0.017328671786284416,-0.0021079139152778703
4,2,0.047948075110767235,0.04573678341799864,-0.07800292611462456,0.0158941770019638,0.0185960698171867,0.032325720100247146,-0.04919273774547242,-0.043963281739112736,-0.08465204750053021,-0.04322422420155683,0.0900799710511023,0.05705079742071048,-0.03172878683239337,-0.012247794756604466,-0.08294289604036167,0.025968096225005538,0.029305510107840577,0.28355386255703896,0.03142432751373195,-0.03041606426705734,-0.03420448063431021,0.0372607898281086,-0.0031344042359359447,0.03915650958759584,0.05732011124967212,-0.026531981201247168,-0.031470110026617704,0.016497913436843453,0.016011306040131068,-0.006361613762128238
4,3,-0.027069379329704532,-0.02237242293651076,-0.05931851121682852,0.036805884485710705,0.033000567247372686,0.015966151709086204,-0.02290033778623246,-0.042538643091721284,-0.0755425473373473,-0.03556601372161583,0.058217973853847846,0.06211188905426461,0.04375604039723102,0.03962454851809971,-0.06510595668940697,0.03328586071020227,-0.0439883816062874,0.3158937825203676,-0.015104983419278663,-0.009301195780933968,-0.03681286166034435,-0.017275405082769986,-0.03958181500177883,0.03354301045626684,0.0,-0.017476401046234123,-0.03158618772237011,0.020569414447238782,0.020076093092326094,-0.010133772921269102
4,4,0.02280390133015245,0.021650866343469674,-0.10071797767967122,0.04155578301771695,0.017132930518405767,0.022544788358166645,-0.0602070677381458,-0.04399497511599646,-0.04553621107872217,-0.013612119375720412,0.008106953858623589,0.05774639817849183,0.11457156444709254,0.03941162233659462,-0.05898023445339894,0.024727669190765314,-0.07584061203769278,0.17891674410838637,0.006913174192020616,0.013783723104971085,-0.036935710514473044,-0.05076882855953363,-0.006397749925241843,0.024236043076932334,0.02801402417230306,-0.02055780876303994,-0.032894944793478244,0.019233564075126122,0.01771880524177432,0.026984386124022403
5,1,-0.16290151663454988,-0.17350594241777806,-0.0498849628638256,-0.14198530294744904,0.008320356597697254,0.08061736013128118,-0.060657500212375814,-0.040652426336702074,-0.1031227889900147,0.05728128343652761,0.0107591911092485,0.007910346890059983,-0.18057297751010315,-0.07476944262016905,0.02581607176446865,0.02656161236873511,-0.08569540365320327,-0.04052860079164522,0.043504815758048876,-0.04271575059893984,-0.03270612383910898,-0.13377780789319405,-0.12188329572021439,0.0482911477650394,0.043058473469809844,-0.017538940331090047,-0.023701162151007038,-0.042975122804203014,-0.04707510372571522,-0.04484288224854649
5,2,-0.1602394178234524,-0.16672152855559286,-0.056467108004329525,-0.15038209473310082,0.009988714416950262,0.06965596545511543,-0.06631276861857704,-0.03492118904248287,-0.10493071542477483,0.07677203531684151,0.030856274063803757,-0.004553324000500125,-0.1824051807729733,-0.07337848311012429,0.0,0.03444100985064591,-0.08595347927291375,-0.039413307124533614,0.04756013579594953,-0.04234205463409757,-0.03467775675001017,-0.14436783276012133,-0.11997729340009955,0.04521007274403971,0.03923686366998902,-0.011631705759275746,-0.0339638647542132,-0.040498101939331344,-0.044660372219329614,-0.046047071428363395
5,3,-0.16221339815556712,-0.16761773784498707,-0.051612203698178094,-0.145127748750014,0.00518937382979312,0.06607638721411513,-0.04967206286213499,-0.03212395537154744,-0.11060908842665573,0.05259771211292996,0.04528435109877238,-0.0046090157980196444,-0.19700245727976745,-0.07117850330550235,-0.006467365476821363,0.027859865904569903,-0.08055736360330679,-0.037133528736630006,0.04014690003942656,-0.04150593877749065,-0.028311929652813594,-0.14421671680285442,-0.12136586095129198,0.04637917153996818,0.045495420605556225,-0.009696096090497153,-0.019264768688857736,-0.05095187552011082,-0.047148095880580165,-0.03432923008343147
5,4,-0.15404290131942533,-0.15945049595974714,-0.05122490089794651,-0.13756727946792957,0.007342039134182743,0.07557935477042066,-0.08130990274956229,-0.0356131711812534,-0.10193534189828357,0.0704769131093933,0.03232391466643314,0.007039046392082193,-0.2041178929721953,-0.07178717751680108,0.01697468743268704,0.03762481287246011,-0.08868856448066986,-0.03847826418769007,0.045187341179871665,-0.03148896151720826,-0.029283726879655858,-0.13048622410253763,-0.12236074757335169,0.05070164097621577,0.04509713818648198,-0.008148760766429342,-0.013490812212650916,-0.05917064003838313,-0.05400625108401269,0.02599503787440094
