f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ic.eps.s,disp.ratio_mean_25,ela_level.mmce_mda_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_25,ela_level.lda_qda_25,ic.eps.ratio,ela_meta.lin_simple.coef.max,ic.h.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_10
3,4,-0.10916431974515836,0.029807522040237993,0.03359261779455392,0.0823458190899857,-0.1131160995092853,-0.008212961193828867,0.031159741077109827,-0.004548073608894695,-0.05101974279227859,0.01851407848787303,-0.022283006854858095,0.03638496467887158,-0.006327551575637257,0.05839357581707432,-0.028457333128409888
3,5,-0.09542452356143814,0.03709466925309043,0.05456828375260451,0.07013671175865256,0.03200549134635924,0.05154895230909185,0.03784788468356691,0.011233018112487095,-0.05681310313297744,0.06347032072721265,-0.02274320972553337,-0.010033373078996167,-0.054486417561695054,0.03661432263593285,-0.0017130646237090374
4,1,-0.06800972723041569,0.034517964753313646,0.045711492801890956,0.05402093794980805,0.04763649842857994,-0.05700553264767255,-0.0031248027833066403,0.01306498674651498,-0.04163690309836929,0.014715350384022411,-0.020334581213009906,-0.012464076231280078,0.0067485491701441275,0.025446735768862343,-0.01765281249345301
4,3,-0.10332396519921998,0.03756754302000884,0.043448842513533016,0.05414781669787184,0.024789337677029538,0.07085702992191623,-0.0037358912394864505,0.016361555704802397,-0.05581212918353565,0.01758325627532814,-0.019202351394783643,0.06474098765689695,-0.012133136211172266,0.03723070845892399,-0.00010638895397795979
4,4,-0.05698467262827399,0.036539745067744156,0.04584386617622611,0.05467236829774225,0.03923936181129157,0.004373338495245356,-0.0031307402414770006,0.028349913039417318,-0.04298285558609704,0.022351812344654054,-0.020334581213009906,-0.021826695351656995,-0.010801438696633674,0.029367963725635028,-0.00348146957570645
4,5,-0.06108570790266296,0.034517964753313646,0.04246883086746744,0.05542537307126507,0.03315761786071674,-0.0550134883268676,-0.003095175074700275,0.003537229387180864,-0.04157236832184512,0.026934017316398974,-0.01935668284848041,-0.021345797543407725,0.006856120699789366,0.023683241444112168,0.0010962128877318369
5,1,-0.14541031186540246,-0.03070043028149201,-0.03201819753983297,-0.07487588582215839,-0.11288802653773664,-0.09965192839144373,0.004652542489850478,-0.013580564667805722,-0.05103586291479737,-0.0015138511327972659,-0.1521189263750792,-0.003977208315329925,-0.07427206358395973,-0.008817037619514486,-0.050820726881376455
5,3,-0.14541031186540246,-0.03070043028149201,-0.03201819753983297,-0.07487588582215839,-0.11288802653773664,-0.09965192839144373,0.004652542489850478,-0.013580564667805722,-0.05103586291479737,-0.0015138511327972659,-0.1521189263750792,-0.003977208315329925,-0.07427206358395973,-0.008817037619514486,-0.050820726881376455
5,4,-0.14542567694679753,-0.03070043028149201,-0.03201819753983297,-0.07487588582215839,-0.11294241683848373,-0.09965192839144373,0.00460122612006215,-0.013580564667805722,-0.05103586291479737,-0.0015138511327972659,-0.1521189263750792,-0.003977208315329925,-0.0743202132197021,-0.008777121224056985,-0.050959092002113494
5,5,-0.1450246158536545,-0.03070043028149201,-0.03211684671668939,-0.0746344367878944,-0.11304106601534014,-0.09965192839144373,0.004700262828530747,-0.013908060157105299,-0.05103586291479737,-0.0015138511327972659,-0.1521189263750792,-0.0040039572313545005,-0.0743202132197021,-0.00896712530089557,-0.050959092002113494
