f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_level.lda_qda_10,ela_level.mmce_qda_50,disp.diff_median_25,disp.diff_mean_05,ic.eps.max,disp.ratio_median_02,ela_level.lda_mda_10,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_25,ic.eps.s,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_init
3,3,0.03670375151323641,-0.08172478933461631,-0.014947122956262188,-0.029702288243555884,0.05883753639089004,0.04708872807585818,0.02464629235260957,-0.031199647876827847,-0.012821955574496823,0.007745729165076781,-0.03972511429102406,0.01142061659632993,0.031107501696131017,-0.021471695283436728,-0.1102240226552877
3,4,0.045188318223335626,-0.050164900116603545,-0.06896926532133721,-0.03271351511332147,0.047973839427098625,0.07193894057476313,0.04302052078806046,0.011401540044715129,-0.03676807983962411,-0.007572372381312095,-0.052460995588891994,0.005952641005219589,0.032170808638253466,-0.012328931548285007,0.034241889774608375
4,1,0.04514236632426323,-0.04676115330740284,-0.03417337202616324,-0.0029771498248457656,0.02819338793956293,0.06349146981319718,0.03506889223914478,0.006880945995176732,0.018708308414259703,0.00412712296252474,-0.05448036548460508,0.003421708164450207,0.020870365439999757,0.018594398769281286,0.06190430634298414
4,2,0.044619013944144845,-0.047488695430740115,-0.03920534827348168,-0.025563931595919607,0.04229912888825799,0.08320985591029348,0.0221539044889738,0.01167889045273204,-0.0134576745336933,0.00010417990352896728,-0.0540397509694988,0.020711348178145815,0.03931684228501906,-0.008923373158808489,0.039738014408914085
4,3,0.045751043394150405,-0.04780610382083918,-0.0424401661269424,0.005196049504941134,0.03676958856077111,0.068045379934713,0.03725901430751482,0.026127307558309117,-0.0306107011781475,-0.00178612987953086,-0.0527098408281081,0.00840781256294517,0.028958156942238848,0.018848120452757692,0.05863279611825518
4,4,0.054569175239532475,-0.05906557389126891,-0.04449700069900302,-0.006863407119580522,0.03719909809377042,0.07911489298860744,0.02550832686685945,0.040260789160061934,0.014869601344000258,-0.002278586562474808,-0.056147611775164016,0.010221522891498245,0.020208146893274066,0.02159063403347683,0.05757767799169514
5,1,-0.0725552520971757,-0.11449707907608701,-0.06163205258471904,0.021902006502916026,-0.02612386262964526,-0.1182332557853073,-0.06092051886231606,-0.02657058794382271,-0.030553137351768952,0.015455783459975135,-0.0024902866568635587,0.007614983865518544,-0.09133531385132554,-0.026370418910551495,-0.20891485234817145
5,2,-0.07216228872479453,-0.11460790712127027,-0.06397309116771135,0.022215658072755995,-0.026041282640275703,-0.11881244576874402,-0.05745967371525047,-0.025000468902686895,-0.027332442716940533,0.015183552581598838,-0.0028682075154254634,0.007520992752697685,-0.09713949684597509,-0.026370289407742945,-0.2086104676310645
5,3,-0.0721580859487708,-0.11472774519674907,-0.06509294653251833,0.02103168064265681,-0.02610230707141099,-0.11799741223034295,-0.05767974053974874,-0.026051509220547206,-0.030274633542785496,0.01508962233669044,-0.0028678981744831348,0.0071126636719994404,-0.09047753118488006,-0.026490592963335707,-0.20862715713161414
5,4,-0.0726014239720594,-0.10873303499319305,-0.06156141956779539,0.023112485696915798,-0.025768231399083855,-0.1126054594337153,-0.060654283159757065,-0.02522587609818789,-0.04185919234392247,0.01522183276883365,-0.0026536915731645945,0.0076488142623577495,-0.09397312807170471,-0.026506077451732463,-0.21000466248699734
