f_id,i_id,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,disp.ratio_mean_05,disp.diff_mean_25,ela_level.lda_qda_10,ela_level.mmce_lda_10,disp.diff_median_25,disp.diff_mean_02,ic.eps.ratio,ela_level.lda_mda_25,disp.diff_median_10,disp.ratio_median_02,ela_level.lda_qda_50,disp.ratio_mean_02
4,3,0.048160123954369964,-0.0028126399596503354,0.0012392048928859857,0.02016905157233976,0.04609113257432678,-0.006003333035039497,0.008809243823155281,0.01698924742354278,0.01796075791869199,-0.015788012991584974,-0.016130962433779837,0.03521763329894516,0.06094532991280345,-0.043556655039697516,-0.015366328443160632
4,5,0.06692165992194084,0.013962729279627013,0.0032544185883810082,0.03088781276239718,0.04087257253844737,0.006477573589428717,0.012103523796365213,0.012022184246485348,0.017716477957506013,-0.020869071481633365,-0.01502426716517392,0.04268990330922758,-0.015259124483156545,-0.02182502990183401,-0.004771826376852321
5,1,-0.07178804260876698,-0.13078915427750812,-0.02359683412937284,-0.017864278717606173,-0.03304010279597255,-0.01215709834521359,-0.05199246307022445,0.0660878263583331,-0.08778751578029399,-0.017957155534239468,-0.02403319001688383,-0.021681900162776248,-0.06280505217362627,-0.08643294135079801,-0.010253824701146406
5,2,-0.07988615897045837,-0.12815162997581783,-0.01830851256502966,-0.01783106361060745,-0.034197754719057394,-0.10876620438145163,-0.05199456340140166,0.006740172155534777,-0.08852944532253527,-0.01801571380027158,-0.024111247088082717,-0.022344888674391706,-0.06186996539704336,-0.08405839282702886,-0.07406606752540607
5,3,-0.0798304838504138,-0.1303295406052276,-0.018323096822398657,-0.017845505582301777,-0.033579556883848116,-0.10877195956884815,-0.05198469465611128,0.006746546075611872,-0.08824039385805206,-0.01801571380027158,-0.02403700865484492,-0.022234139687200498,-0.06048299787348909,-0.08406150162497857,-0.07425051600176501
5,5,-0.07979109475102693,-0.13027806161010713,-0.023579459774615338,-0.017827760655888304,-0.03351505563379906,-0.10347933795610423,-0.05192346996762209,0.006840499355428934,-0.08823429961674793,-0.01801571380027158,-0.023943003195654032,-0.02213897738354974,-0.060405892236950275,-0.083942858933616,-0.07418400034900961
6,1,0.0017294795055482542,0.011161699498183412,-0.02132469177338064,-0.021177534436090224,-0.05034112965546091,-0.05041455328345983,-0.023397661020529488,-0.026569709011336776,-0.1353066627328604,-0.009936130011733196,-0.04252553251295681,-0.026326880418364444,-0.08141296250207634,-0.038433698047078656,-0.0774183738511125
6,2,0.001235216005216218,0.010295553319648949,-0.02850109781171626,-0.05203835976500921,0.04527063492805721,-0.051819164451423275,-0.034188596627005345,-0.02520800896214085,-0.13254158897589444,-0.010458233919910482,-0.008407445911646855,-0.014540433749342826,-0.08718479948191402,-0.03804090392614635,-0.08914887060644926
6,3,-0.00034432870741433585,0.022707563233914686,0.018284122049455988,-0.02034095838896511,-0.048819031827531396,-0.07691588032783223,-0.022052612211517632,-0.014264005897815417,-0.11897593360630336,-0.0038224115273276893,-0.01793351108837679,-0.027714532803271748,-0.07337004497830686,-0.029614203795536854,-0.06008884527869575
6,5,-0.004900725943443535,0.004406569357488781,-0.026768091949864604,-0.03301054917692766,-0.05022610425630027,-0.023357395939572072,-0.04313141908908344,-0.018942960606457702,-0.13721235111446609,-0.011311443615774703,-0.01705579450930437,-0.02966032058551906,-0.07279590123124063,-0.03308497439153177,-0.05460514268309632
