f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,pca.expl_var.cor_init,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_distr.skewness,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_distr.number_of_peaks
3,3,-0.04259121700686702,-0.039121353122976654,-0.05160614763593585,-0.2988072975259452,-0.04317862603894207,0.02031875889214796,-0.031158479761645097,-0.02074663514410463,-0.008224448181675031,0.08950873762624162,0.005805264128918353,-0.1129677195695698,-0.042286671486639116,-0.02718362767302157,-0.06101079344368665
3,5,-0.05356891286871668,-0.05864932821795983,-0.051596706455259905,0.2942379880565238,-0.027827589835590166,0.027408441912378234,-0.04960449530829683,0.01371874304376286,0.0566182439786479,-0.0022875299086755757,0.04272033709186984,0.02382517111992244,0.04584572974685064,0.019193942691239696,0.00678327283771879
4,1,0.017232144981052952,0.024923087383733167,-0.051848248968355326,0.1454613364140729,-0.030932271239020523,0.03278774376636985,-0.05813749917162206,0.012574264901489107,0.045528169234785254,0.042135117204214395,0.0826298590842649,0.04722224321908172,-0.018612872729221616,-0.005662706135336926,0.0022445165065950734
4,2,0.03302155331965015,0.0390389053453639,-0.05302823738968321,-0.14540684482384567,-0.040990504794361574,0.0410361327092644,-0.024262623312845774,-0.016138291301163135,-0.009723464373906948,0.20427818114484111,0.11998337515403548,0.045749706838338886,-0.042663118139094174,-0.02526866797809615,0.10249177073267926
4,3,-0.0408742578668482,-0.03209851865096103,-0.05753829145854261,-0.3285011020541082,-0.04195789224150176,0.026718087988925998,-0.05720143663155314,-0.004560994256668838,0.03876007249485666,0.2626493664056651,-0.046337692986002404,-0.029844219943592903,-0.04932882085744808,-0.01861485269228383,-0.021701732093326043
4,5,-0.0028922212370876554,0.010136051760229026,-0.055498224458075646,0.08436567494528593,-0.03356498621218533,0.03747884479126737,-0.06043739581563609,0.0,-0.004348542389417426,0.16893135447998553,-0.004931405734318481,0.07480675754600834,0.022985689740506104,-0.004637064384024475,0.0
5,1,-0.12968535413497229,-0.1262986294066608,-0.055407050497699784,-0.19867645272671952,-0.03934407687078756,0.006263381653038191,-0.13329719139382834,-0.030156414197271775,-0.01115942098229128,-0.01667150425058106,-0.025899621443295495,-0.3687734694673017,-0.032820772751213534,-0.11323990676865126,-0.051110914535870355
5,2,-0.132413437686711,-0.13068443959404175,-0.05091108244245879,-0.2067260990324713,-0.04443959023167465,0.011729254204356665,-0.12332963864771718,-0.03984393710743939,-0.007497327280736155,-0.01826295001925904,-0.016575654720093924,-0.3474271661317041,-0.01649981729714045,-0.11839316577020198,-0.0407131189737755
5,3,-0.14067734926624298,-0.13458257584251043,-0.048971649255544536,-0.19794525108272532,-0.03476529622259683,0.021205910783144155,-0.12213413288951902,-0.03224933594074364,-0.01235777497005397,-0.025963843314563473,-0.028192424814519557,-0.3482324888805335,-0.029268325185053068,-0.11216484156264561,-0.05293068764945752
5,5,-0.12619818323180665,-0.1314926955112855,-0.04918909790322168,-0.20681879726511476,-0.047425914641037625,0.01079923663970761,-0.12558505302507306,-0.036676480370804176,0.0,-0.0238112812666611,-0.01994402010340579,-0.3504487807386798,-0.015550198022836081,-0.1210786408088228,-0.038568264482027104
6,1,0.2599776000319105,0.16847003437543345,-0.059240598577882414,-0.1864121649455016,-0.04060979813982273,0.02611829825074887,-0.048493476063607266,-0.028631419280743357,0.0,-0.004142529239209073,0.014303546454178417,0.07417428468912407,-0.07054779662962504,-0.04504982409798891,-0.09552378986646773
6,2,0.22567856191365493,0.165562600381618,-0.06497525502060211,-0.1969359837015827,-0.044371458498669775,0.03081498465628244,-0.05717869907063805,-0.019263192546011505,0.01009288503506659,-0.005282277034558601,0.03560061559195403,0.057931487873954905,-0.0724674446611733,-0.03024862156892202,-0.05011781253566258
6,3,0.26416410796593814,0.17391794647261322,-0.06318940388925325,-0.18579338509494991,-0.041477222157148656,0.030459901802299138,-0.056203542920332895,-0.020343934224392617,0.018786346673503138,0.0,0.005296601746602066,0.07445367264826502,-0.07658784783260517,-0.03877761889504667,-0.12031325533494433
6,5,0.13061579816720226,0.08802970926636969,-0.05810148740316267,0.08806876693866636,-0.04077836557227358,0.023008922699404494,-0.07706572346349555,-0.012315195047989128,-0.007834057818678589,0.0,0.023300698105113773,-0.02160679366411567,-0.044557862275375296,-0.023665546917210702,-0.0852874280084835
7,1,-0.052205288955273044,-0.0700876154052722,-0.0555278256643367,-0.11691059843660467,-0.03195992409766876,0.0244514887285585,-0.021780238673425018,-0.028351439324236977,0.01420658430978601,-0.006744665475242939,-0.03343864353356188,-0.07433054738491979,0.15564631661929668,0.020406705522568208,-0.030939694514501292
7,2,-0.03297816882059654,-0.04129791609267913,-0.053548499405170064,-0.1970610611671847,-0.03758670670074288,0.020444695739108357,-0.023362937325888317,-0.025865603851189856,0.021251977791659826,-0.021263820337060785,0.027677326606479813,-0.08624506119029818,0.03858294769930659,0.11861569464473434,-0.014296962686535464
7,3,-0.06617778680512026,-0.07122382692627682,-0.04649375057670817,0.14755990930208407,-0.03774617495204525,0.030123984867235595,-0.04868838758795406,-0.01023799351692243,0.18475423864886892,0.005573346166985148,0.07211742780075892,-0.02555781654224458,-0.04776487698474349,0.014250076530990856,0.04316197489227505
7,5,-0.030703409235023654,-0.038768424674910734,-0.05717276312545283,-0.18914626174786764,-0.03598816304784705,0.02121755717206164,-0.028316035407229434,-0.024858880963789576,0.026193606006394643,-0.015794034265550122,-0.019982579947677492,-0.09788739635596427,0.11973788839391657,0.06612821099975764,-0.0022247000856516763
8,1,0.22735871563869647,0.16706072959847523,-0.05886686252733214,0.11982444061022063,-0.03280331854541127,0.029404867059457107,-0.07420266044899451,0.0,0.05598889952744518,0.01713036568902543,0.007021662969812464,0.09666747947149629,0.024335733180990138,0.007942792567131818,0.02700187256843556
8,2,0.33783300240980424,0.17828227464097648,-0.061047670261937026,-0.2913789851064339,-0.03565889780295249,0.028912324276103213,-0.062944874123568,-0.011496993363946217,0.04670485129114116,0.005137166054683243,0.010685615080620464,0.22431063489303193,-0.06126825342006996,-0.0071253152671734155,0.010072528384120594
8,3,0.3454873725934521,0.20126954763433802,-0.05368272851259431,-0.23765763844029367,-0.02781698619924372,0.028336123636946486,-0.06520134152162521,-0.00884208729179492,0.040643505841636174,0.01445880808465258,0.0,0.21270614275775246,-0.06005355234260473,-0.024676102265303118,0.02756553385013949
8,5,0.3163618889374728,0.19431159500289455,-0.05278426426774377,-0.24625881393079288,-0.02934325432364049,0.027025132367610574,-0.06187321056644132,-0.0069969029544002526,0.05569130667696853,0.013693888032388774,0.019584334933724856,0.19878007962793282,-0.05852123400816006,-0.013640966709600327,0.036507019007243735
9,1,0.2538078598078529,0.19292734339786377,-0.054206149269557025,0.19368389450702073,-0.03172242019720417,0.03509945942988929,-0.07333968054219786,-0.00472052107738502,0.2972174273546162,0.029391828834114897,0.05263245422558538,0.053537814375679726,0.004925703875952592,-0.01884076951258623,0.009089713536149402
9,2,0.32327505285875224,0.22277343716247133,-0.053822009965506235,0.21292458238103817,-0.024452062422624543,0.03232386197145959,-0.05863696358354731,-0.01609203503231571,0.29021590814690856,0.02812502475195905,0.06868237285878165,0.04121016461055316,0.015412678605895125,-0.008475661708177484,-0.004359133746026922
9,3,0.2980336459093974,0.21507663921036224,-0.05840692419309157,0.2149333523109095,-0.03403925205656955,0.03093914945747378,-0.056787093475823,-0.01703066099438244,0.3043264378436489,0.03419293736563417,0.08707540430922678,0.04542890885599993,0.018031886083558324,-0.006003341243909555,-0.006665872492813918
9,5,0.36083104295560525,0.24409900548977714,-0.053257344551076446,0.1869044423443056,-0.03166147261081054,0.03309015373093305,-0.07122872440145622,-0.03399213908567167,0.28013240669771966,0.020364667413773685,-0.0328882847658174,0.038134957806145175,0.006160509106075018,-0.005480886117985695,-0.006051811895379289
10,1,0.6779940162860632,0.5877264173639025,-0.026273992359337806,-0.13303885511521818,-0.02906979559312406,0.04205266755664683,0.048183664725804265,-0.02075884962610819,0.043107863221187204,0.0544872022209939,0.035924131535842285,0.03128278892266034,1.3925617689858054,0.08007154265122518,0.09435564213020697
10,2,0.46569973101791384,0.43076972706692684,-0.034369557372315285,-0.15785784619588905,-0.0189610462061498,0.04312941231734513,0.09841195354485932,0.0,0.03761946158985707,0.06693527477685568,0.2543397109618941,0.06376676363492484,1.3427864207421858,0.18043330839226623,0.10590289863587499
10,3,0.47627855441989286,0.4403590235248511,0.0,0.2491219298850722,-0.033374547858417314,0.03491309530730535,0.8904841952281419,0.004492065537146539,0.11266929853344121,0.04951534816547842,0.10182854241497097,0.05710858133898067,0.06469599683586646,0.5995182186714265,0.0
10,5,0.5527332499471671,0.47767497212093835,0.0,0.23796334503165384,-0.032692225306002465,0.05445551461573528,1.0305460012448446,0.0,0.09623522119998218,0.054358611438690474,0.0,0.0,0.021006713592334414,0.5553288981188125,0.0
11,1,0.2567277701377918,0.21659732906020568,-0.030352638216991246,0.05048862065323417,0.0,0.044366952615511074,0.7733364831655217,0.0,-1.1536959606921904,0.058293241300817644,0.11951550078286129,0.04259374589773121,0.019070176971377854,0.24011212814552702,0.0
11,2,0.27908533983709755,0.24332118586217738,-0.025906820723492013,0.049176656255487505,-0.01675671256972991,0.036067363594971535,0.9291422867876475,0.012328511037594844,-1.2397250641491147,0.036058386550588406,0.030638265462864134,0.049407714758767984,0.018169449155978845,0.2360467879605585,0.0
11,3,0.45787851640381705,0.3956052537686874,0.0,0.1481738710549716,-0.028578725454623477,0.03460216679957151,0.5145834858090658,0.0,0.08302774470322605,0.03185244387100794,-0.05892672404095711,0.0050086382760548,0.03069586419765402,0.18317173732965308,0.046948612265241385
11,5,0.25246787991511477,0.22072293409770968,-0.021377675325440215,0.06717249384563329,0.0,0.04185522238986472,0.7083325254142905,0.0,-1.1121211285077062,0.013922771206177686,0.09994700952225094,0.051972266273973555,0.05242061701593781,0.270206521542214,-0.01827605699908441
12,1,0.3979494372333847,0.5019258566384357,0.7223794543254363,0.048179826613882426,0.9607182265838492,0.05487329156275078,0.0,0.6131534025917897,0.024763064654510725,0.05785536881191855,0.027119183990374385,0.019077331009695664,0.0,0.0049205507874345855,0.37070170053761586
12,2,0.42619414025971647,0.432575353911806,2.033348825268536,0.08875062766732844,0.2556957911106006,0.04235277023555084,-0.029361462365991464,0.31299177184780413,-0.012226320459717055,0.013867063850226735,0.03368960200140969,0.026244411919206678,-0.04033596649881921,0.0,0.07400437590527975
12,3,0.3589466332132605,0.430871909386386,0.8455562014697477,0.02977096123055123,0.9448807349219215,0.0550177181876248,0.0,0.553950742758508,0.0,0.03974293423359665,0.0,0.0,-0.06577565770848226,0.030068104218072822,0.4757588349068915
12,5,0.23018985319328067,0.3367328794633997,1.1410950715738957,0.05143525103611912,1.0638321805958837,0.03964095294945591,-0.02371205594014203,0.4472547162394229,0.05775235527299083,0.05385058971606349,0.0,0.014769894739103284,-0.05473197671232155,0.03632646166025455,0.30435294303067284
13,1,-0.01202934714941084,-0.05274047320821165,-0.05902244215181246,-0.178903607190174,-0.046213699796429336,0.022340099435603444,-0.03808626515087757,0.0396963224066042,0.04022183261853737,-0.008597682554622316,0.11985926510489109,0.31262476388393434,0.18717445073608946,0.01964613307362112,0.09958815258956488
13,2,-0.016068090979803024,-0.03639921233981419,-0.057508338345225216,-0.1379487081487228,-0.0229387029140366,0.018631158679666998,-0.04882798032182212,0.03211586576190398,0.04885738416406138,0.0,0.10480967041651881,0.22594594292293083,0.21009729618367873,0.024734366190320933,0.10005685137765002
13,3,-0.04539955602189796,-0.06416658823857202,-0.05278937283323332,0.17635464623131936,-0.0321452630944772,0.027825436781365398,-0.054531324080218865,0.024621905620713105,0.136347552745454,0.0,0.07090460129938811,0.03749732540029119,0.02565011685552182,0.0,0.036647827218761586
