f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,ela_level.mmce_mda_10,ic.h.max,pca.expl_var.cov_init
5,1,-0.14608627070967573,-0.13946660928710308,-0.0440758868166824,-0.041895380015308015,-0.02210940624763691,0.025460037493598153,-0.16507822626888968,-0.029845033989716163,-0.028599390373696076,-0.3147158756477755,-0.1423163450432824,-0.04314330357753038,-0.19580373923047067,-0.017360498743371977,0.0
5,2,-0.15264371067580784,-0.142252494328588,-0.03880275616867346,-0.040589160798323864,-0.006703064553784888,0.014121839569307237,-0.1631230909189222,-0.027027537760353604,-0.02514047721113699,-0.3362605940242297,-0.1270193121173543,-0.038614204331083535,-0.18034085312518788,-0.007868267784014726,-0.005724912548846106
5,3,-0.14955918791509704,-0.1422922251522042,-0.05111662139522932,-0.0417325781616843,-0.025071212381608587,0.022019836716789087,-0.15478980130184172,-0.03273267998113161,-0.020082305713775228,-0.3485415333731684,-0.10635455859727538,-0.0410851918927474,-0.18858960551114845,-0.004180958221871589,0.006120026104994292
5,4,-0.1131966406088819,-0.11686657013631474,-0.0557654387884432,-0.028412443536777854,0.029522765819770702,0.031398752684501874,-0.1171863103255052,-0.026769873692336077,-0.017200381763865624,-0.6432207690287536,0.09195623399569852,-0.024006901783360846,-0.3175438237494377,0.02617675758519855,0.014613250525157051
6,1,0.2112972580541721,0.14333252145670095,-0.06033542506628417,-0.04821864177275466,-0.07127525380115193,0.04657354986187988,-0.16900496000245982,-0.01624680293192114,-0.007777546410263708,0.014342361488971264,-0.019735396594848624,-0.07332105001768624,-0.0024513030577814066,0.009810931150347688,0.02864359392019273
6,2,0.1995915750643778,0.15273852611637342,-0.05246576819041254,-0.03854396506245423,-0.08058572363180165,0.036728076270597154,-0.2129667889635601,-0.015032858553117992,-0.02113336233761761,0.030495955097979012,-0.009921271842884584,0.0,0.0032798733771557155,0.010809919105123213,0.035524838558588186
6,3,0.20300880315925732,0.140803298011122,-0.0584373064335673,-0.04385876973430959,-0.0776850622473008,0.03633784628389567,-0.17784945006523492,-0.011958203384829388,-0.008361712920540672,0.016700153060858078,-0.014549450577538012,-0.07463451675072924,0.0063506182987159085,0.017524448118042938,0.03224314145927093
6,4,0.20399103294974508,0.1531657217597634,-0.06067530417584833,-0.040268652511416675,-0.06712883904138581,0.0436003018308624,-0.15537614337031894,-0.014093446925728684,-0.023701479594147618,-0.0050258903204159835,-0.017908540286582404,-0.010297961217740775,-0.018966578038572324,0.0,0.028338654744026453
7,1,-0.042912973236249305,-0.059621502679517324,-0.05607196129227332,-0.03183558053599883,0.09962692552492243,0.038548861200003476,-0.15142276377814706,-0.01810476215888747,-0.022036442344212107,-0.010742212676569898,0.09025403608105739,-0.02303303200660893,-0.014702623837925699,0.010524876077300002,0.0210584646701385
7,2,-0.011027209633297341,-0.014150244511588764,-0.04880523805036038,-0.039007492819316855,0.08332332493228364,0.03983724345622275,-0.21204784323307238,-0.02607892033661531,-0.026987032228866822,-0.03222844282400886,0.14839798875939855,-0.030658070783307206,-0.02653419503662588,-0.004166430162764273,0.029661871478951052
