f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ic.eps.s,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.nn_nb.mean_ratio,nbc.nb_fitness.cor,ela_level.lda_mda_25,ela_meta.lin_simple.coef.max_by_min,disp.diff_median_25,pca.expl_var_PC1.cor_init,disp.ratio_mean_02,ela_distr.kurtosis,disp.diff_mean_02,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_10,disp.ratio_mean_10,disp.diff_median_05,disp.diff_mean_05,disp.ratio_median_02,nbc.dist_ratio.coeff_var,ela_level.qda_mda_25
3,3,0.01377910681411975,-0.08478158554883522,0.11349234475739384,-0.02717380640440313,0.04294436257572066,-0.02470085489398091,0.021141812761788087,0.04900606595447353,0.02041584792565721,0.013971545788909747,-0.01978712406405277,-0.004106514402633969,-0.013107092400909943,-0.007129874324801259,-0.012710075061515795,-0.0018745801908813535,0.002203244573572787,-0.002489169118710357,-0.008179233541088536,-0.0019908323865080323,-0.0003241620146529046,-0.012965254694671859,-0.017583424757098343,0.011090984862265967,0.004429264022973296,0.0037921331901546265,0.0009455358482744894,-0.006790993312436067,-0.011122163927515584,0.0024986775342108907
3,4,-0.0018235765167029696,-0.10707480648341187,0.11335394735626739,-0.03275145437239842,0.04237157603899681,-0.02189989752144713,0.014926712229175992,0.04363528576788787,0.0207633724099952,0.013959901553662734,-0.014589291023639008,-0.0037502994675916667,-0.011867372877628945,-0.011295766918251614,0.002479954417884892,-0.003915915290433099,0.002318066386798012,-0.00534294329226899,-0.006894640630380087,-0.009312947457667971,0.0012071349598386898,-0.00047467739956364666,-0.013131499954844082,0.013170553542572657,0.005898295894740207,0.0015909740869710885,0.0002877952113488592,0.004440108218256177,-0.00689985886087082,0.001310125620139143
4,1,0.00035694691841357937,-0.10086433305552825,0.11367565535051868,-0.034434998844233795,0.04016418239143194,-0.02175102706166418,0.023030916692986146,0.0400726770282224,0.022072061843321545,0.012202895159458025,-0.007931820370665673,-0.005850849795039139,-0.008411558483462131,-0.010406375042431283,0.00962650607954634,-0.0018483025765349951,0.0021497524262335268,-0.004128852095260022,-0.008546698615262303,-0.010594884600223805,0.0005712928791782009,0.001109997254456645,-0.015713191045882688,0.023119725636180224,-0.003197405001597142,0.0018628560882475037,0.0004160554607771368,-0.0009283464448334988,-0.012223057134356157,0.004551914565779429
4,2,0.008513960285484389,-0.09181579507675501,0.11492246805064231,-0.03120463616796527,0.042276260219281166,-0.02484680509639388,0.021872857829086795,0.05021605332596129,0.023518513857055848,0.01782708931627518,-0.014836708977683166,-0.0022555088065779084,-0.008168595218023968,-0.016216372952118998,-0.0015374231086511566,-0.0018698079613432765,0.0019532156684029605,-0.0049024784615780805,-0.006975381978269026,-0.00553792461046136,0.0006624964821397702,-0.0007604720246910559,-0.01054802237395144,0.03378710916943164,0.005435775561354911,0.002275863076278826,0.0007543925312118373,0.0027609194580291057,-0.009302430881710556,-0.0007728736536374389
4,3,0.0036769268328470206,-0.10209160448414593,0.11537099895226703,-0.0312148288597111,0.040909195867602485,-0.021493210854728197,0.016445856643678772,0.04498262923308935,0.021600349230109644,0.01320053182100879,-0.015687576487318916,-0.003782641535316503,-0.00918465830113813,-0.012398306897875085,0.008344180746752342,-0.001915669969077927,0.002003693376259682,-0.005173964061026367,0.00021627244521562846,-0.009368730989638118,0.0037071146782470562,0.0006141599701650555,-0.012867707520381085,0.027278996675686572,0.0010395370204370892,0.0017661340355715346,0.00029670728363160735,0.009676402888818334,-0.01170919845430073,0.0012994963437951495
4,4,0.012316804686415302,-0.09187119436097294,0.11550011867393398,-0.030846703925690954,0.0404095790080813,-0.022484110434341474,0.022456930606244943,0.03975061924645282,0.014735904059724416,0.012619407494531474,-0.013105815153813226,-0.0018157833558180099,-0.007334550896319955,-0.013257511173467752,0.006588440541618865,-0.0018758816945589336,0.0020423836948978576,-0.004978090287446822,-0.0010400290961570739,-0.0075916905981169,0.004568806145227547,0.0017310860181127183,0.05713744620761511,0.025007452132819994,-0.0029558670255371363,0.0017661340355715346,0.00033161517660363065,-0.0008687361958076556,-0.008099278995123842,0.004438051316707983
5,1,-0.34342724579824785,-0.13534055415340462,-0.1561283363893488,-0.07986224625375979,-0.10534013768877847,0.10756763304660227,-0.014077131959610075,-0.03199257961900452,0.023375349088279325,0.016172298067357774,5.0371143352184516e-05,-0.003135294048544774,-0.007186873014019932,-0.002848980075819021,0.01089290067318477,0.013225409430146858,0.0026920641480493984,0.020638326879698413,0.004773926425751279,0.01643770335393986,0.00025831636614913,0.0033169571386141928,0.024269159773470432,-0.008607283849551197,-0.00404745849304797,0.005065995263666013,0.006397106021081209,-0.0009197687739527259,-0.004641144228931573,0.009748658172281065
5,2,-0.34366605291574165,-0.10672536319416945,-0.16817034965661073,-0.08010304950079526,-0.1091233808088227,0.09874987741651367,-0.016168689873902627,-0.02912558534539124,0.022533042807387625,0.015683373535087967,-0.002378942030229406,-0.0037080823594947865,-0.007385117564965983,-0.00638131424774671,0.01103580064107173,0.008451678534517304,0.0022234700204320293,0.021187526188809275,0.0018125793576612482,0.017748085117408535,0.0008877618490252677,-0.002503032553453887,0.022385791286496523,-0.012422068285403556,-0.0029081610821345746,0.0038065087789635006,0.004702986014236164,-0.001136350777788342,-0.007761310860768609,2.2365996578453028e-05
5,3,-0.35193956989873504,-0.13676498542774518,-0.16547906083360095,-0.08056067113596002,-0.10480872589531408,0.09472316697995704,-0.01647845972139425,-0.03464850546677323,0.019629417442294583,0.015522349638652577,-0.0024231542029274434,-0.0033068529683336306,-0.007204378386698326,-0.004584003978516942,0.009850484409606038,0.011591958262198098,0.002324712265134003,0.019867632207289005,0.0028506543859787,0.016024091799071175,0.00018213374324185287,-0.002784744825553096,0.01678268445659754,-0.010095332505015878,-0.005556155892932458,0.0036049497819786247,0.0060286837767756975,-0.0015687494843130432,-0.007998093442381263,-0.008145229893919966
5,4,-0.344860382662406,-0.10602301777435427,-0.17473137445547382,-0.08051957114991778,-0.10907784444124943,0.0938634999578472,-0.017622270774516037,-0.03346028797622287,0.020237841935603545,0.01569654707443594,-0.0073055249339550495,-0.003879641279283643,-0.008139715820450588,-0.006428961478767069,0.010400767325818133,0.008466214111269096,0.001964431076287218,0.02026110469636776,0.0014113364934913585,0.015795988778105646,-0.00013410411916117506,-0.008058225362477382,0.020920500472785868,-0.01129061446721482,-0.0036387325330471004,0.003422568352344269,0.0056204921278963735,-0.0016229106542122581,-0.008505503458356257,-0.007001994200771372
