f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_distr.skewness,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,disp.diff_mean_10,nbc.nn_nb.cor,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.lda_mda_25,ic.eps.s,nbc.nb_fitness.cor,ela_level.qda_mda_25,nbc.nn_nb.mean_ratio,disp.diff_mean_02,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_10,disp.diff_median_05,ela_level.lda_mda_50,ela_meta.quad_simple.cond,disp.ratio_median_02,disp.ratio_median_10,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_median_25
11,3,0.0538498948034439,0.13967209924888999,0.35133442341817056,0.03553516446640066,0.342928748999779,-0.029928873831086614,-0.023736957066077105,0.019041703202276196,-0.024923075451120314,-0.014199770236094318,-0.015205046697256511,-0.023418318892983625,-0.02763731871147346,-0.0011855216003524515,-0.01396558249047366,0.05072745233514458,-0.024254756370535795,-0.014362337789750237,-0.0069622774370235235,-0.0016654283108810258,0.0011835199521177276,0.015816267698315768,-0.010977273956919777,-0.021087402192041478,0.008483517028275498,-0.00915215471651293,-0.014488991666231,-0.017021111838986254,-0.0038292237284924826,-0.003470804216976962
12,3,2.009348592506989,0.3202026090007545,0.5325017152344175,0.04472364674468038,0.7341741275050665,0.003975630503441116,0.0015495190308362791,0.016184655295574193,0.027438200458392095,0.021023224132887743,0.02023289413721141,0.05565869977713241,0.06316752227747663,-0.003932422372906552,-0.01840733923295365,0.09547306897093608,0.006892766261329483,0.0019093625930390232,0.026100303187728515,0.02736538004622136,0.0003590248051231451,0.014298649913168777,0.004309984586468045,0.007099209544145318,-0.010279855809797244,0.009872364234114842,0.02850580123185402,0.04895468483322581,0.005023544208512692,0.04472744492286087
13,3,0.1494024939779962,-0.03153667516989918,0.06640455519997152,0.061139615988149196,-0.09401308525384183,0.059691161961940166,0.06714109813276722,0.029038307336277318,0.02989474864055243,0.011941819352104558,0.004337148571453409,0.03307370313073361,0.004993124222680112,0.001523176962105119,-0.03547337134751915,0.022655346556655503,0.01877078231933476,-0.013745734994269202,0.027393111113850274,0.00620410628257717,-0.0003512354054637658,0.00702558654223273,-0.0024418253892206773,0.0007902998742709219,0.008486324245561795,0.0009892222833990522,0.0056924471539619974,0.01190910567584851,-0.00348675649243996,0.010074967094813578
14,3,-0.5826764755826244,-0.06623737156684635,-0.16424724887203257,0.012250070010448486,-0.12043198052772058,-0.08096686013017607,-0.010355078616939156,0.012607545410691104,-0.0075851957540201435,0.0015577868918874795,0.0006060573474576971,0.011205002020768505,-0.012278446672597275,-0.006321957548730785,-0.016851239519051688,-0.0356171282245942,-0.005063527330380229,-0.007357231114586927,0.0014066975118029559,-0.0022205230890965425,0.004810921699407164,0.0020132579472536766,-0.004507792838385174,-0.006015114284212076,0.0003204413946731343,0.0009530303441152901,0.0015426312260484517,0.0013540578900946543,-0.0015857665075276702,0.00382554107710768
15,3,0.056622787455484304,-0.02156775886889465,0.024896104863462977,0.016021958449707153,-0.09841699835735027,-0.042909084089383,-0.03172835944980495,0.02353031257736661,-0.02558057394693457,-0.004842625334747702,0.0020093254256122657,-0.009669586371861336,-0.002776832867281865,-0.007771622325029876,0.01071942736441617,0.01750269419405325,-0.01491063556341918,0.006019857558245057,-0.002958349833427333,-0.004380488244837349,-0.0009048043208677644,0.0060899646952903,-0.008898053509494118,0.010320289248282544,-0.0038724489166693543,0.0005837902572052778,0.003436315261346407,0.008687000223634842,-0.004223792842900939,0.0019777966960733816
16,3,-0.5892575615422714,-0.07118826508261919,-0.1788995421158071,0.008971590045281601,-0.10086537541774532,-0.06670094434244862,-0.01614150794609573,0.010477853381196646,-0.0012581109624871707,-0.004706894798159817,-0.007817355431939073,-0.011111750796215382,-0.013038055114474582,0.002643497883800784,0.005447430255826543,-0.036071775822429666,0.0015196408170506583,-0.0022127559880040955,-0.005074651580527162,-0.002372907319426997,-0.0024417342409270965,0.0077513771516906325,-0.002525341815161976,0.0011750429505663251,-0.0038265377577891757,-0.002507841763934394,-0.005273632669365892,-0.004473026066073959,-0.0038937983066812407,-0.007406352609800264
17,3,-0.6136427761027101,-0.06529906518262028,-0.17848089093696312,0.014469161319304568,-0.11210800260061764,-0.08206546228353133,-0.012631592895937122,0.006820564839811871,-0.005066129209015735,-0.003458027631084659,-0.0013351335296543226,-0.007068113016291817,-0.011765530633936797,0.0026809724767323023,0.00492466367967121,-0.06805022189368076,-0.004528280177888023,-0.0004252674279665439,-0.002335029169197709,-0.0003287546876522286,-0.008015944214353797,0.0031624953246021307,-0.0015000115634631365,-0.000151966773123147,0.00842864516506931,-0.0016620167915469637,0.003146223197084987,-0.002105161815944984,-0.0008092487374836796,-0.004931414125327651
18,3,-0.5840822851096054,-0.04188613598768285,-0.1664095247995708,0.020884048267387365,-0.10377757885549423,-0.07464104530289929,-0.012841342689348306,0.007076828422030079,-0.004186565134394566,-0.003917739167875135,-0.006218927530369835,-0.00708131078476687,-0.013150534257973473,0.003430723507703205,0.005418896927784459,-0.03941953288559625,-0.004785065184769248,-0.0010235259879532417,-0.004090829408010763,-0.002543768858899294,-0.010186903359401804,0.0008352862185119839,-0.001160826478367018,-0.0010337287746639045,0.009179548487793787,-0.0002508691655583802,-0.002111024915544998,-0.002228048325418887,0.00037464495853181646,-0.006550197384742601
19,3,-0.6523185057981954,-0.0687169290010941,-0.2004408833635047,0.014936395744496716,-0.1185729840567983,-0.07383201395340316,0.01836609112353399,0.011199700601394153,0.003120485784612051,0.008200478973390754,0.0038561716273483935,0.01768555487910077,-0.010316580714356809,0.004469980225328019,0.008734508769939742,-0.04054564247683218,0.000830332223968383,0.005870575134349162,0.011071414124192517,0.0005622445284605715,0.004698042096636819,0.007752864457836012,0.003255759698295381,0.0025203646397775267,0.008341320604483077,0.0023323533395248003,0.004051017302875319,0.0032504186229998437,-0.0009343071626221262,0.009058775320798254
20,3,-0.09448852994629717,-0.028227231489392362,-0.0157713449999021,-0.4497657830152331,-0.1111259671576822,-0.03285451808920847,-0.019173507272291376,-0.20520391902610233,-0.011959856276360026,0.0040916087248976645,-0.0011043508976466578,0.005321922738152147,-0.009490829565375064,-0.01017780482069462,-0.03385455721923503,0.00651261293228774,-0.005606296484110686,0.004644606429976945,0.0021256863391194984,-0.0037155910746259763,0.004529226407188132,-0.11183668927300207,-0.008627821685347937,-0.0013918577270204899,-0.0074993868028300405,-0.000131750292594159,0.003646659566413528,0.003153403151156932,-0.0015725896247896268,0.005354761826409658
21,3,-0.5264056737380468,-0.06811718070035722,-0.16086466291168672,0.0063605412186545475,-0.09736905398447841,0.18102244739169684,-0.012293064660351394,0.008842753796188024,0.005712594981322637,-0.006656849660905202,-0.00327004324869387,-0.013210197724353027,-0.007713085971678709,-0.001392427530845468,0.007745486223777356,-0.03232639265896235,-0.0041788713106394116,-0.004719348817301036,0.0011340611880415788,-0.0014681515783355307,0.00013828973270383884,0.006061383279833921,-0.0013697082515296043,0.003930979663251996,0.004147010750278995,-3.188545960720425e-05,-0.0005932574814343355,-0.001107415293836142,-0.00018784423122964594,-0.003128603021893103
