f_id,i_id,ic.eps.max,ic.eps.ratio,ic.eps.s,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_meta.lin_simple.coef.max_by_min,pca.expl_var.cor_init,ela_distr.skewness,ela_level.lda_mda_25,ela_meta.lin_simple.intercept,ela_distr.number_of_peaks,ela_level.lda_qda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ic.h.max
3,5,-0.06367996244339126,-0.03239831547179291,-0.04919212589266565,-0.013220869470071617,-0.0346339552827955,-0.03168066463118603,0.23440689212217428,0.073692673199127,-0.012441796007317124,-0.0268754150854284,0.0011633477923599922,0.10895553944798347,0.1701794482605163,-0.022243303060279856,0.09996794338629578
4,2,-0.0645487361707136,0.02772503186004434,0.019969344520711627,-0.02769347212926443,-0.05368804723300431,0.16188136514876633,-0.0170098168086852,-0.009935845138616423,-0.006166332250986173,-0.022227393358115702,0.07615979091897108,0.005675923584803982,-0.003677569307987523,0.034252564719515946,0.05925892277121193
4,3,-0.06362286739153782,-0.002478431358541665,-0.00942557797236121,-0.027538715057011758,-0.05502152155292471,0.2782111669074028,0.02261006126248638,-0.02046873172392672,-0.0334990615929619,-0.023411577809700983,-0.007823294585127955,0.023781696757886363,-0.00829471676255715,-0.006929309427396432,0.0
4,4,-0.06157262225367573,0.016768042982194798,0.004612946902315937,-0.03148329326423631,-0.044520706759440976,0.12784700625310003,-0.024209412344545583,-0.012347304278115229,-0.009662683094462651,-0.02597062046821713,0.0712956587278537,0.028700342347376437,0.02075094351979452,0.018325476225555908,0.07414583769409908
4,5,-0.06938292613453582,0.006010287544587961,0.01399248019890191,-0.02612489458399625,-0.04895485127266254,0.20952410428331175,0.010052550930113313,-0.009560253893396667,-0.020530387817039086,-0.02622550341149628,0.019203288621825354,0.06113585888022907,0.03694539283688464,0.01061938752637745,0.08241986490890926
5,2,-0.05272648552332021,-0.11926809854338982,-0.12179299251377679,-0.03171379739900049,-0.02976611148287206,-0.044358766711794534,-0.14268917408149295,-0.012156509300992546,-0.07518146821236543,-0.012709303507426994,-0.031068228902035033,0.0736161113356707,-0.009170228723770102,0.020303417387896427,-0.0055096545905288785
5,3,-0.051010210660045685,-0.12199181281118648,-0.10893871981138048,-0.02495439525358678,-0.028489515026137002,-0.04451220371515896,-0.1545990389212285,-0.009186708712582037,-0.10139987139432421,-0.021440659261017403,-0.026373682963329537,0.07278443420936626,-0.028848701155233636,-0.010240555574613924,-0.013170366737722095
5,4,-0.056718737184903,-0.10457542163352068,-0.10035998543596808,-0.028328674594666148,-0.035674511120318664,-0.03934738110476288,-0.1305169048721178,0.0,-0.0857052638311836,-0.028507994713462825,-0.024035728622978925,0.10697575745796567,-0.006566034453180103,-0.1989187569411628,0.008708429987326238
5,5,-0.05625823567236676,-0.11653239244116323,-0.1116816087508653,-0.028327035991478122,-0.025249144567929177,-0.0406027735494115,-0.1494313546838542,-0.009430873447661081,-0.06554881771291426,-0.020932449484726445,-0.029174179415551338,0.08206772090690151,-0.017935071970465954,0.0071901529525355,-0.012345226940248644
6,2,-0.06460725904318254,0.24991644694643306,0.17160732099824366,-0.03574248205806009,-0.04402809991808369,-0.015185198984418204,-0.09300254668807417,-0.008984347388247133,-0.022137219100860403,-0.016181797043868087,-0.061555398752636145,0.006817405946846045,-0.07595537945778902,0.16299399120086414,-0.003678925363642699
6,3,-0.06880657057482403,0.2701833333465231,0.17687413572352864,-0.02907642156961268,-0.03945103780789523,-0.029348192242789492,-0.10538835107245784,-0.004376349816408415,-0.03240970082100051,-0.03189718109833434,-0.13066190993443189,0.0,0.010701652487153879,0.20899081763799748,-0.0014589241009737297
6,4,-0.06567482657046934,0.22365637351283904,0.16155551789216466,-0.03177043859751264,-0.03980432904798044,-0.024234747490158644,-0.08511487913416528,-0.008452978082500368,-0.008955730054606315,-0.033927724890965474,-0.04939103225737193,0.0,0.0,0.15927800871748593,-0.0032879138402842067
6,5,-0.07023184541147148,0.20391366429665003,0.14407870792410457,-0.02491345725577632,-0.03951277270686544,-0.020858822939837304,0.04958335803559883,-0.010382895657858073,-0.039689920063116245,-0.02539112470709244,-0.011749396801567356,0.044792891506271554,-0.14743095850870533,0.018024100235792567,-0.033043871471255426
7,2,-0.06579485227303916,-0.008462679070941004,-0.01413918679458731,-0.03243179337598487,-0.04173078379877185,-0.04839836058286853,-0.17229024039041993,-0.0190565747343846,-0.02437840033606789,-0.02518697503765928,-0.013456844004578555,0.14018570377634268,0.0881906924490785,-0.0904261520612935,-0.010392186546425208
7,3,-0.0661795387312642,-0.06992479466602969,-0.06996974979808168,-0.023421769993092534,-0.03835425627708092,-0.03725013214191086,0.13012505432044394,-0.049242674512062545,-0.03312181929216346,-0.024283292863808092,0.0,0.1525032866929838,0.03901578682049639,-0.08176038220854319,0.019212592539558482
7,4,-0.06430757023325198,-0.07249376555399126,-0.08141498756921126,-0.015125195308477307,-0.038320702207267285,-0.034929760560154566,0.21368426840029558,0.019988620109385506,-0.027164890114590085,-0.023855147358670385,0.007767350841664912,0.21062454957705198,-0.07095962927674411,0.030639489889919456,0.11421807640164239
