f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_25,ic.eps.max,ela_level.lda_qda_25,ela_level.lda_mda_25,pca.expl_var_PC1.cor_init,ela_distr.kurtosis,ic.h.max,ela_meta.quad_simple.adj_r2
3,3,0.019992999261977375,0.0,-0.11792475993542709,0.17883050119222474,0.09281454515781341,0.04057368486497079,0.10378175573664412,-0.24213908552034463,-0.056214633082320185,-0.004268216561840531,0.029108946811537424,0.2957553446866566,-0.05920155061769635,-0.30288577244635884,-0.04969974674175098
3,5,-0.04367518819178381,-0.07156983240147882,0.10280453269552713,-0.05862766412631074,-0.11117195625304033,-0.07436738813299114,0.11804827171520452,0.12223088297038337,-0.047897480406011134,-0.01627449712694992,-0.03164315931013489,0.2606823437316452,-0.04143537785202703,0.07992947096699482,-0.24502546452107932
4,1,0.01018964736935321,0.023071950102896532,-0.14953222019700563,0.13467080197738973,-0.016598603624307554,-0.05047311636453854,0.15166714172065532,0.2850737084758481,-0.053384485011269106,-0.032186328102879566,-0.03821334867752939,0.1367676844058592,-0.03911215510959211,-0.16769276510535033,-0.10104224422503397
4,2,0.07042965662490844,0.0657743970522123,-0.18442358332682468,0.3134752669206131,0.08285695284191769,0.08812897267207159,0.08395337318814158,-0.12592951497193017,-0.05657591088545377,-0.03845924064373339,-0.00884119008864978,0.20740502056338994,-0.046590630311484,-0.11794408349381641,-0.19763962155132492
4,3,-0.02213456620352107,-0.024283473041566736,-0.1460355541183403,0.36932300995606976,-0.02674876605023921,-0.0077728870037940545,0.10324951319157295,0.017173758069029793,-0.051925036651964795,-0.04783288058916181,-0.04447285882346365,0.2942541303890686,-0.03826428897792633,-0.12941671209710354,-0.20955819868140713
4,5,0.006536226525185013,0.03413858075319029,-0.26055033949889717,0.3763841563747105,-0.0059286323567865895,-0.026671230289606468,0.10670091199462214,0.32272191196996486,-0.046791426336840775,-0.025207754232011714,-0.031070389044752622,0.1951597976014876,-0.0314142094779101,-0.1717747129903957,-0.14176271474609148
5,1,-0.12901218522408076,-0.13816396632008193,-0.09059860292479788,-0.036835222684518,-0.10722090720686525,0.023783052692293277,0.14491768732052307,-0.05707952622708978,-0.03944577401171573,-0.18650003709807356,-0.13250841659560225,0.24369793993603567,-0.04211268217620301,0.01094672420023568,-0.07727991388536748
5,2,-0.1325599195214119,-0.1285521755862425,-0.08910575812288551,-0.04007118693119799,-0.10022639633460112,0.024949632627816964,0.15792414462068238,-0.04915346545742061,-0.03867164858425909,-0.17926908974987746,-0.12669240418718758,0.24970368963638317,-0.04383253961275174,0.012942923907608067,-0.07140103646238549
5,3,-0.1265712268836392,-0.12818830126510838,-0.08830404335445668,-0.04575456428995234,-0.11371839319713001,0.025445620842430516,0.14363721508968413,-0.05380715758459331,-0.0380240067347713,-0.18660845842213664,-0.12761999271492863,0.2345519691004269,-0.041405958877604704,0.013668744715851833,-0.0752051451917175
5,5,-0.1226552762073406,-0.1280039526188515,-0.08131775873807778,-0.04486023170591413,-0.10736522847799956,0.028131388858723627,0.17583144413061977,-0.0407410753158674,-0.03284417942649337,-0.18251444834256408,-0.11762922947865179,0.2452507602003413,-0.049137814418713927,0.011339640917858523,-0.07323472256445662
