f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_distr.skewness,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,disp.diff_mean_10,nbc.nn_nb.cor,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.lda_mda_25
3,4,-0.0025895404614101006,-0.0883059930910759,0.10894367730205703,0.057068273527014525,0.029544436572441036,-0.015001359524324102,0.010345557932472261,0.019711471905838874,-0.06892538735057593,-0.010082280793175512,-0.0033403067527898733,-0.017503778167238835,-0.01749033932901455,-0.00043948989903541767,0.019740357535980465
3,5,0.00029471857382725375,-0.10519987313578874,0.06729780466033032,0.04806649149397972,0.010104229643724611,-0.031143473330312362,0.028501914181270262,0.021890518322657128,0.012481904655980371,-0.006966472072072275,0.00852782012933506,0.008546555431656782,0.013263303095223106,0.009428311620821904,0.02745833836093552
4,1,0.01562816702628716,-0.08986796885667357,0.1365050579747085,0.06061303827767251,0.06249546715296447,-0.016812486302934304,0.011684869300601008,0.01956161676803275,-0.07110308593255919,-0.015888322518104053,0.007724129074083326,0.010682890850461797,-0.02325924373437584,0.03967544763232024,0.019897687081382454
4,2,0.023159253182488716,-0.07275606462969073,0.14398978194993386,0.06225522863316494,0.06816937679840376,-0.016548351033928106,0.0015330234916877926,0.016546494353663604,-0.0479300834255486,-0.00575879373877221,-0.01332630243840057,-0.010950570708502192,0.010314969188869476,0.01374725447602093,0.020638377947324305
4,4,0.02993206511648599,-0.068318687141144,0.13374476648675335,0.051096521301802644,0.08127952163387947,-0.007993186871603643,0.0015233650627161444,0.023908795650549423,-0.04734886572775091,-0.005677187087517301,0.012938341068870597,-0.02542428282090017,0.010340324783596769,0.048926024187150474,0.025258191455118782
4,5,0.023679950795937786,-0.07465322413177809,0.13735168087110236,0.0635425828684884,0.06379160051834158,-0.014474719752222394,0.011579960334130788,0.019685582157604065,-0.05729362781755671,-0.014410434501827975,0.004262143153529829,0.008655456735766906,-0.020342478272128022,0.04059934468705822,0.01448829654152069
5,1,-0.33771375375364127,-0.12229595486088682,-0.11413769426408663,-0.15580648151848286,-0.09734707193443885,0.07085766859651009,0.0032857476049635336,0.06525823524023545,-0.02299267590638784,-0.004676191764255459,0.0036326164447276934,-0.008906101988808608,0.07959954931337407,0.017672248083914873,0.013588794938236651
5,2,-0.3260983616156488,-0.09545714050678718,-0.11503383608684264,-0.15579626042063668,-0.1005771076111891,0.06489686924871378,-0.0005580290619349485,0.06227463445590587,-0.02218595512217617,-0.003992067483919575,-0.007121902425242145,-0.013329923916394891,0.07120684648970746,0.010591285445421771,0.00969893424150485
5,4,-0.334535594452499,-0.08385677576240723,-0.11253293578245331,-0.1542129629616958,-0.0998292672662537,0.06692151554234625,-0.0010207678944405174,0.058676266874619167,-0.02578310321555721,-0.011349198614480412,-0.0038319526730149914,-0.02040428563023669,0.07117405540571271,0.013234118868300376,0.0020710690352597518
5,5,-0.34194462329675346,-0.11311740828820685,-0.11927581477531378,-0.15300296375270783,-0.09910623122297647,0.06797709032087675,0.0018383685459892746,0.05950491589143722,-0.019384931185279092,-0.010861378561755262,0.0004891319611886369,-0.023243849979998264,0.07534961499565339,0.015423477573298826,0.010259953874521086
6,1,0.028559525914405103,0.014938808948832212,0.0868563883046097,0.04565551867252661,0.05765589332497885,-0.03579642733714145,-0.0073621143547853915,0.020528799978109028,-0.10352269652461348,-0.027570811298109142,-0.019512980122898125,-0.025748452001907472,0.02263292192832343,-0.010792903409009692,0.002531511586471734
