f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cor_init,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ic.m0,nbc.dist_ratio.coeff_var,ela_level.lda_mda_10,ela_meta.lin_simple.adj_r2,ela_level.qda_mda_50,ela_level.mmce_qda_50,ela_distr.kurtosis,ic.eps.s,ela_level.qda_mda_10,ela_level.mmce_lda_50,ela_level.qda_mda_25,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_50,ela_meta.quad_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_25,pca.expl_var.cor_init,ela_level.lda_mda_25,disp.diff_median_10,disp.diff_median_02
6,1,0.3751057161376157,-0.24161355280045893,0.11290360615555116,0.04354664127135774,-0.00039597491299857475,-0.011064192728975405,-0.03839544715953826,-0.008093663209255988,-0.05407782465055211,-0.02111976157028796,-0.02910910611257399,-0.020857641122221143,-0.012184876517955745,-0.01065422986622222,-0.0012396847854134981,0.037277038760032515,0.004266494027034295,-0.015594712986908003,0.006697611102877345,0.006891411459677221,-0.02139176532301147,-0.0022308284117710507,-0.008812212059644322,-0.010863488456915642,0.00289671122762774,-0.002856306960191402,-0.0005620229173041872,0.0015505379453684663,-0.036780179751225994,-0.049483062026399086
6,2,0.36669835996401845,-0.24909256560403686,0.1129786749908977,0.042252719108506795,0.0004423138022877584,-0.008292615454686854,-0.03527506044627718,-0.009063028324182942,-0.05306569209250545,-0.018892833610867747,-0.019070274876223457,-0.01964644874086091,-0.008285821445659508,-0.010793400464065059,-0.0013126793777230323,0.0326685722364909,0.007814813831585197,-0.016502406844524677,0.0009725565212893498,0.0003820589536183618,-0.02149953477772433,0.00032137951204153526,-0.005738472131110863,-0.010624457929770485,-0.0015616116751100912,-0.002398175656174586,-0.000245073763320015,0.0015515423446573918,-0.00523370463608973,-0.03766984857636258
6,4,0.38476220441653436,-0.2372704742127733,0.12362824022911699,0.041417642938621886,0.0003141536302958052,-0.010994049517680082,-0.02912893010219704,-0.00799838706339026,-0.054404085391794976,-0.020744216504822933,-0.028711644097912385,-0.018670302895702835,-0.00741387485232961,-0.010656641347792182,-0.014855854736323195,0.035313457355528724,-0.018361693994202517,-0.011309293256466062,0.005868432414013065,0.00018211126637431995,-0.020929823759290988,-0.0020950854297249674,0.005518231065298591,-0.010431947033352961,0.025317521258666632,-0.002865295660177261,-0.000245073763320015,0.004141889884363209,-0.019352127464372246,-0.03969550265725867
6,5,0.36249595693487136,-0.24651919350546836,0.12104603660786568,0.04407774548051508,-0.0006475624922871103,-0.009848584690672502,-0.0346204396758377,-0.0029423888503741697,-0.06579712108106815,-0.021203457144567544,-0.021636861199075357,-0.021259844372247167,-0.01449495877642811,-0.010891080425094245,-0.0013209801904851743,0.032610082528646216,0.010564492678775218,-0.02082107485463145,0.009255187801923819,0.009335881909125722,-0.019254922309556218,0.001804952816892246,-0.0035340388867711936,0.0062815727391070855,-0.001228415054437256,-0.0008275635239719907,3.5010537617144845e-05,0.001531191412027829,-0.036966083116721775,-0.04523752525176115
7,1,0.2844214587212104,-0.2663395931395647,-0.2011381104834543,0.02948762228850308,-0.00341827983101954,-0.0069764827275114235,-0.02910711330642579,-0.011616115896185318,-0.05241361963236094,-0.012118473001956401,-0.024182474328317802,-0.02143066071671504,-0.005241332819237636,-0.00928077431209522,0.0008321772847288811,0.022100761608533137,-0.017642935516734664,-0.008702476545694542,-0.03777400280704724,0.004825501075355163,-0.016653975060218127,-0.00206330325510546,-0.014515651954436198,-0.00022762586231695153,0.029299659007740397,-0.0005440558608886883,-0.000245073763320015,-0.00980962127015531,-0.019503921929654302,-0.0447240742461072
7,2,0.3334154877556404,-0.2547528802335548,0.12654391080051902,0.034170999210608705,-0.004000426386069991,-0.00897911611880352,-0.03533121596886004,-0.009032370289198158,-0.06721639614934763,-0.015574481779569722,-0.018231223981264772,-0.020258448429938448,-0.008557488540142075,-0.010317922083149628,-0.0006663821814137891,0.03155077305472925,-0.037923897789712946,-0.022505704611606416,-0.05895353523011781,0.012338218808441511,-0.008778408438483409,-0.002055677404958522,0.02231054640448301,0.010036356939462561,-0.006899948522407048,0.0012243158128771973,-0.000245073763320015,-0.010146075462440252,-0.03423079677234448,-0.04012526496593833
7,4,0.32041043445300676,-0.26669347739558646,0.12252679440219601,0.028696414882909048,-0.004786341595925267,-0.011168045931450469,-0.03795196113107245,-0.010379167298259129,-0.04707799309932988,-0.010188451715570458,-0.031779617952815455,-0.006108003518263243,-0.007538531857468872,-0.010596367539772656,-0.0008992305500800025,0.011690455696540912,-0.03826139859043035,-0.013704041675636821,-0.05901343325785561,0.004336040378311327,-0.014274990884837751,0.0006257242376095929,0.014891852009708976,0.010020088764400503,-0.006935770907310074,0.0011914063168265078,3.5010537617144845e-05,-0.008043163738757509,-0.03995783981755717,-0.05242389473643406
7,5,0.30935632187280193,-0.2643964682414736,0.11281020517662967,0.029083428505826167,-0.00398781618734897,-0.010567868037691842,-0.036031240260421496,-0.016188111677367376,-0.07717702961874276,-0.018219285069538117,-0.033458048965796496,-0.02022128032988132,-0.007429725495971574,-0.010544453999518788,0.00034156654165751286,0.016413472920146985,-0.03776127536308653,-0.02223885407021914,-0.059664029394052166,0.0019265491641155656,-0.01910253249120793,-0.002055677404958522,-0.029564552825653838,0.010034446303850147,-0.004210074529424958,-0.0003672676196205308,-0.000245073763320015,-0.010380757319986509,-0.06865720223928211,-0.05149146100553276
8,1,0.3944200969426501,-0.22250169823311572,0.16568434107143168,0.04584908852474896,0.004256709342860864,-0.006966617919845313,0.01919116535685612,0.003961336833729965,0.010429254907066565,-0.0019363314720908242,-0.008261273163431962,-0.018639667768315816,-0.004570902885847457,-0.013681924895456221,0.001144078831446435,0.02627722228457755,0.015164630661164835,-0.0016760019078067452,0.006804512542166745,-0.01739619937666743,-0.007749941887853628,0.0019458448502834898,-0.007007069432923098,-0.008937968605938908,-0.00464016530085993,-0.0011658068196136737,0.0003484104916039073,0.005760960093712868,0.015314783201549791,0.022749587198525507
8,2,0.39428375052954395,-0.23143691262325217,0.15851684183073242,0.04215314222120045,0.0055322058447627425,-0.006966617919845313,-0.03096666155151841,-0.003527584083502179,0.008255285625066128,0.0015803055890750836,-0.014974616989085301,-0.01953861025137832,-0.005493842920654469,-0.011052720050160416,-0.0005868719805325017,0.03521906593781298,0.01256946026519999,-0.012140862115386283,0.007769106567772825,-0.02020787079164796,-0.01062407350294331,0.0016837770323022382,-0.00878708802653398,-0.019457746069384763,-0.003762422467986246,0.0007091606904419226,-0.0024388734412273544,0.0013686992709588085,0.017715503148991604,0.02446610179277754
