f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ic.eps.s,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,ela_level.lda_mda_10,ic.m0,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_10,ela_level.mmce_lda_50,nbc.nn_nb.mean_ratio,ela_distr.kurtosis,ela_level.qda_mda_50,disp.ratio_mean_02,ela_meta.quad_simple.cond,disp.ratio_median_10,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_25,disp.ratio_median_02,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_50,disp.diff_median_10,nbc.dist_ratio.coeff_var,disp.diff_mean_02,ela_distr.number_of_peaks
11,5,0.482819049838115,-0.11322036432312436,0.13160003060945955,0.03367694814565351,-0.03499874951119161,-0.02013951491261057,-0.025114190670662614,0.1503185140011496,0.03290440444164013,-7.444141855222718e-05,-0.015764049326163057,0.008077967533760937,-0.022303954932488317,0.04049993082107011,-0.01620743964822475,0.01847281240388368,-0.010694544257469256,-0.011943737481666373,-0.007947136642890578,-0.022704423471404275,0.058332414336579264,-0.004595941709430555,-0.0008604274696709674,-0.02748824112015717,0.02360046659978907,-0.008197330647316401,-0.023108755835514052,-0.006986910809437553,-0.008031211431233703,-0.008476460797384074
12,5,0.4715554963489439,1.635290199381039,0.09975402318272329,0.4000715994902434,0.5477520613032438,0.0072964681329839316,0.45225586693844716,-0.005692285288369072,-0.010169416733652624,0.018212453578373165,0.004616171004322907,-0.0007550704873293528,0.0032839303476097466,-0.0013273849631840293,0.008325612729763017,0.03410037047906249,0.004596104555729195,0.029809783595190074,0.0003553402512449629,0.01869568898348351,0.02245295183901909,0.01996352642902168,-0.0006361256283462608,0.03452690443812884,0.01899727305815447,0.0060637241814711414,0.017616828039609324,0.0025784312777685195,0.007097107525781978,0.01656086522837207
13,5,0.5023968798715426,-0.14291006900452535,0.136107483270917,0.02442781214606322,-0.04550102819855272,-0.006349676942190109,-0.03984303306564736,-0.02677097029194336,-0.005169576366985694,-0.007499427625107313,-0.005372507400243357,0.012501705376907679,-0.017216743631850696,-0.007581158252929136,0.03280350767244583,-0.015424136739219172,0.016019898104465368,0.00891868008455414,0.0005056524594460991,0.017709812659974008,-0.012888849914753468,-0.003916393667031921,-0.005208979233470882,0.027003948475678417,-0.006840582430702344,-0.007206586701311643,0.021533485044112618,0.031038085347984943,0.013622749872523016,0.010552808366107357
14,5,-0.551868683372436,-0.1851605856719699,-0.044301751808376796,0.0026819744602847562,-0.06466879815721305,-0.04041641528962283,-0.048789207201658726,-0.020629560371536064,-0.025359364975127915,-0.026339252357644543,-0.0400101332323823,-0.005101051064993442,-0.04442856145413855,-0.009634756765791855,-0.012722341318374504,0.009528971957353203,-0.007475083640555133,-0.004765277812194015,-0.006998105255918296,-0.017385801058728036,-0.01180410900386119,-0.007796528552010745,-0.005673835098038618,-0.01675793636381042,-0.009854886285429736,-0.01665829581380934,-0.017092592503075918,-0.01077639319123322,-0.009050667198156392,-0.0013236800247609112
15,5,0.41723771434334866,-0.13744512110093202,0.16169108534039572,0.014286634830905068,-0.05225245712735644,-0.009451161861544257,-0.04356800218334495,-0.03300844029104333,-0.007025501514832786,-0.020428635375262915,-0.0005008577422057322,-0.0031032799917728856,4.7400852147070935e-06,-0.010194546033028875,0.010828536770256398,0.002196462668676931,0.01867398011995121,0.0073136406608539425,0.0073333823437072305,0.01830678092277183,-0.012282840711819513,-0.005047226120857771,-0.005084936917150827,0.027165359235858416,-0.006106986198842435,-0.007809133811082652,0.02173354693440832,0.018050778615909542,0.013471559922700676,-0.011905833764774776
16,5,-0.5172341079735819,-0.14437738717394674,0.10979297285526121,-0.10150255364550419,-0.04725038832493049,0.03008287349484971,-0.04498633287194372,0.05618670142114795,0.02253422963613911,0.004572216573838244,0.021254034333343615,-0.021051131176647038,0.03349189463664239,0.014891717068104096,0.0005061584287178052,0.020363007845386923,-0.01881541745979176,-0.004711730126391453,-0.011063370099922082,-0.013421161723535363,0.022056517016470094,0.007934108329943134,0.005917629604048861,-0.029009784641787873,0.0018051089944468933,0.018650046770349867,-0.019988106955983114,-0.001353455630447948,-0.003592899461690926,-0.00019241361716547373
17,5,-0.5181886329127772,-0.160876879224041,0.11104774504666283,-0.09606934485423535,-0.055581299004923805,0.027258231352649324,-0.045690922671650404,0.05823965470523373,0.023135443932048392,0.016783026835777436,0.020349501073011582,-0.014331530568088625,0.03206372842516025,-0.007595835384252365,0.006299013831359115,0.020195950613336622,-0.003534050254266642,-0.0026835612782888296,-0.009952841550104199,-0.009788506788281337,-0.004445250842346785,-0.002097956328629076,0.003803679956640931,-0.007971571340802841,-0.001037368977807453,0.014594800790197916,-0.012742691854687271,-0.009761452747026242,-0.0056945227127266065,-0.0014305191236653376
18,5,-0.5040618440088358,-0.15880079383646017,0.11516329756409012,-0.09574249957415616,-0.05423462320688836,0.02844619925458886,-0.045146654136816955,0.058581248378478196,0.02256181858683967,0.018091763789743354,0.021601566594145322,-0.019599177011212117,0.033176269207592056,-0.007696452724541289,0.007180259746408826,0.017461927339065104,0.011502577795363208,-0.003384389510180257,-0.011533225504674827,-0.011727623782269487,-0.003731692579022449,-0.0023659067794339177,0.0028775983303150226,-0.01029716836465621,-0.0012830727919590614,0.0143729979941425,-0.012107819710363697,-0.0024673587260898777,-0.0034655550711100535,-0.0014066786926105657
19,5,-0.644788833853117,-0.16073577045225396,0.125008777020833,-0.12077569242204408,-0.05410239364635821,0.027906510482177266,-0.04434022876848068,0.04594341594390945,0.021730111185920803,-0.005778002514779774,0.018939421763547577,0.013012989450271822,0.03500305191761565,0.011059950332516215,-0.005622865311422511,0.017292091541479822,0.012912124213259355,0.0026193884655855097,0.00998063447434897,0.003997858378219854,0.018624379326048913,0.006089964818537907,0.0059208285180133565,0.007324594462325929,0.011358515156933993,0.007190016064777058,0.00754558886940515,0.002670620276641597,0.0008914282044470638,0.0004284011416231462
20,5,0.25864977987711507,-0.16261725967998783,-0.7669235622440927,-0.0030829947477515676,-0.05314500343498817,-0.023621209639399024,-0.041136059766897846,-0.014192783108649328,-0.0024329065923380014,-0.018622733274111108,-0.010692290441767787,-0.0032027374451609613,-0.0191704714152346,-0.0056554709655674915,-0.005632074181145572,0.0019063395562369891,0.0020285915249406952,0.0030889471050382883,-0.002542924644089319,0.006914875231687331,-0.007535852394322493,-0.0064730448977786265,-0.0050717797654123735,0.009398003453454979,-0.0035598058962608508,-0.009820463130270681,0.008146902867600829,-0.00549005201890719,0.002913015688129076,-0.0009985803231924916
21,5,-0.5219000678767248,-0.15841970199653654,0.12407589104565848,-0.10655948825285914,-0.05487683809577003,0.03175681871515578,-0.045057573363002895,0.05482561796651594,0.02559514613714081,0.014821526183063163,0.022160266653571105,0.023780783814570567,0.03842882939250271,0.013226728848705103,0.004615989408169227,0.022639588199517044,0.017187189567633144,-0.0023121374759664855,0.009827757945538586,-0.008906131505873193,0.02239419493875807,0.008548244254162913,0.003363208147620773,-0.008468242418099271,0.013551037562269308,0.017698752206647152,-0.012710049792197331,0.0033524284734311365,-0.0015785211816254155,0.0001855140473880631
22,5,-0.5608067819727595,-0.16210435362660658,0.11526255095966823,-0.11136260891445922,-0.05495195691656066,0.024993390715134203,-0.04575065474556924,0.05525709519780687,0.023931822387451597,-0.0052240532377993785,0.020109111367034246,-0.011003664505214058,0.031039989098089776,0.014262046906302266,-0.020470998114485207,0.014724934393798862,0.020319680923110248,-0.0019268912794967522,-0.004064936260308563,-0.01041166755092936,0.02120121470785817,0.005950241604946791,0.003622989776184956,-0.009443484142192007,0.012725295509362886,0.014066322786547337,-0.013828703321038261,-0.01108261727805096,-0.0021719485325935174,-0.002397267801682199
