f_id,i_id,pca.expl_var.cor_init,ic.eps.ratio,ela_level.lda_qda_10,ic.eps.s,ela_meta.quad_simple.cond,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_mda_25,ela_level.lda_qda_50,ela_level.qda_mda_50,ela_level.mmce_lda_10,ela_level.qda_mda_10,ela_level.mmce_mda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,pca.expl_var.cov_init,ela_level.lda_mda_50,ela_level.lda_qda_25,ela_level.lda_mda_10,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,disp.diff_mean_25,disp.ratio_median_25,ela_distr.kurtosis,disp.diff_mean_02,disp.diff_median_25,disp.ratio_mean_25,disp.diff_mean_10,ic.eps.max,ela_meta.quad_simple.adj_r2,disp.ratio_mean_05
11,1,0.09727312142868627,0.1678515135803449,0.021878892160581254,0.21716336794827817,0.014901529879055131,0.04637412163048982,0.24641711085290308,0.43047389243137135,-0.3991392141729641,0.03782118339393248,0.11721544162353381,0.007388093165372478,0.0,0.07508384489778841,0.0632834217174213,-0.5286139808421678,0.12338493815705764,0.07802969515772373,0.0,0.029201524084997876,0.0906565739533266,0.0,0.0,0.0,0.05404953222001907,0.005795060600383206,0.04363257750994398,-0.06915259967656334,0.0,0.11434532318078516
12,1,0.03517456454959228,-0.039168308771156735,-0.02922451374937227,-0.06229084160905075,0.0043177809024192194,0.01440242319660796,0.016508731462857765,-0.023630529667751192,0.026667994968027325,0.004464482210752969,0.011855528355616395,0.006375237713731982,0.048217760810730675,0.006903388891804849,-0.005370649609308924,0.009523463775142571,-0.01296713925857654,0.032159685114918846,0.02155054496272263,0.0,-0.00800807743757511,0.0,0.08704193962866544,-0.00818126620584363,0.0,0.004098548566389151,0.0,-0.08444379219022292,0.01938704846249141,0.0
13,1,-0.2329259180096137,-0.024464300838532405,-0.04717356525848759,-0.027185909347035908,0.010274043332384408,-0.005179607496259786,-0.007169440698793217,-0.019507051600703484,0.014074286106471712,-0.05363621172548405,-0.011445648176155676,-0.05830457143532969,-0.02331420360112721,0.008047399461986071,-0.0028072515458635316,0.019258086465313268,-0.004590214548514715,-0.01045075956921973,0.006386959843824841,-0.021498277149778144,0.00400402187113949,0.006194832798508854,-0.015724801203233885,-0.007316489943829885,0.006725385331927958,0.00928296912048826,0.0030254184335878342,0.0,0.014713028086347002,-0.0027842115905867826
14,1,-0.08037902793561197,-0.04367774442359773,-0.04931930462662368,-0.04115669929593441,0.006873261442853329,-0.01698797380515027,-0.012892111304724063,-0.004083324800416732,0.03168338948057575,0.0,-0.01702713980378623,-0.0028299398213640636,-0.03041805148883675,0.027907114533007343,-0.005607284617926422,0.028528556585957793,-0.019574718970375993,0.03058357221714253,-0.010144459002527695,-0.043676863214747064,-0.020154579133940198,-0.03930796382567028,-0.03700932906470489,-0.011197336278730846,-0.030388875613815758,-0.039258886006659666,-0.031778154176158396,0.014123941052262334,-0.0073195608121356115,-0.01860443201614681
15,1,0.16014211612629387,-0.008953380745174155,-0.019328002570459524,-0.019300330572989965,0.013558887676344833,0.0007880344515021065,-0.016290111874028845,-0.007473905251847823,0.03191804430594469,0.015531113763576965,0.030026486995659907,0.004564387760798039,0.021070624134869154,0.024425439694514717,0.0008130236918779121,0.01304702514624334,0.006649699755920224,0.02832518738458545,0.07614561730342678,-0.008395933566876457,0.060140742802070934,0.06654419700990921,-0.006876289566895455,0.011590548203666451,0.06511807258571756,0.07877547863018947,0.03641312897822446,0.007542271676453549,0.024773309214353667,0.03338997403838451
16,1,0.026722602978772325,-0.047793696480498894,-0.05088595524256461,-0.03550671360019114,0.014211615820586415,0.0031924386942317473,-0.0037536633159486466,-0.02611608876201532,0.006167453318303401,0.001978014612081039,-0.04020064307050336,0.030002291038313894,-0.005233140344130055,-0.00453374969329387,0.05475102314422742,0.03188090701356247,-0.015314947952967214,0.008017782009083638,0.0,0.05678653423315903,0.01916012315586635,0.028286871615393568,-0.010342035573116942,0.05201479162225256,0.017426906860547695,0.015562734156492952,0.01864727861705684,0.0047601001778996566,0.01932943221776398,0.05133848677787933
17,1,0.06364867399253696,-0.056583511438599465,-0.0369016527436134,-0.04139442672672261,0.005514990747324144,-0.016964059772850593,-0.003912940663351183,-0.022097076077376987,-0.012347710282151092,-0.01888270479206322,0.017236720396047123,-0.01598058937761726,0.008551181035457461,-0.15786312159925253,-0.005247671389142061,0.021055799433001676,-0.0064897181913941004,0.005528873112929877,-0.07950878119814891,-0.02040954166746184,-0.045652358920925284,-0.06153031724135527,0.006109183384187367,-0.030314606151298884,-0.053204230825820154,-0.051022608036980444,-0.030564043923994144,0.003985513256303308,-0.023077598169100877,-0.026677135137816888
18,1,0.10441056565911119,-0.026232937251244738,-0.03373365490674007,0.024906329779573147,0.005451302514852589,-0.02521812964349588,-0.005558052419425058,-0.041819642474803305,0.01698735133711249,0.06064061476872498,0.03298997476234985,0.05964349744382801,0.08299694321382496,0.013931361110284785,-0.0051351857152724875,0.01965413696024368,0.015236840050305456,0.03925774568025011,-0.06056101226635371,0.033216270220628036,-0.04326830741521979,-0.032173562516939896,0.007518343465266988,-0.023915508106700643,-0.05441831047823244,-0.06461912856850574,-0.04229372270125384,0.030166268210792102,0.010057596224513632,-0.025515427944217794
19,1,0.07438908041275274,-0.05689886413652237,-0.04853234797488776,-0.04492916159873911,0.012239854733802485,-0.0008027023091903007,-0.016942919724620434,-0.03242093540344047,0.04552718739219777,0.026890965663385225,-0.06587227955462116,0.009200759962373017,-0.05255091699053921,-0.006838870749436982,0.005773314922233763,0.012991889740784204,-0.0042132965982456805,-0.07535659666186931,0.03498857637869782,-0.0850799194748737,0.014764132102623673,0.012446139958252403,0.0016857882584330464,-0.006778986389792782,0.007496987937712349,0.011315163114958282,0.011402013522239712,0.0022974904668457558,-0.023285421038645365,-0.0057219030517518255
20,1,-0.2738289839404442,-0.020432727491390912,-0.06376833153264905,-0.01406868156592267,0.014938697073609064,-0.00047289954439544424,-0.01657556896328355,-0.02015108678717714,0.010470478459055826,-0.05085050774151295,-0.03812550101386608,-0.045159289475656894,-0.019258951705549254,-0.00877802573856351,0.004966287426005189,0.013456546515553225,-0.005859741510868488,-0.026414355355901004,0.005910908581253649,-0.020306866024327075,-0.005931364410900142,-0.008768069291259506,-0.003137368592481593,-0.014135338778077766,-0.0012591172966663344,-0.00281342194165235,-0.007989951340935553,0.0,-0.013308475119475915,-0.010997006707606283
