f_id,i_id,pca.expl_var.cor_init,ela_level.lda_qda_10,ic.eps.ratio,ela_meta.lin_simple.coef.max_by_min,ic.eps.s,ela_meta.quad_simple.cond,ela_level.mmce_lda_10,ela_level.qda_mda_50,ela_level.qda_mda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_10,pca.expl_var.cov_init,ic.eps.max,ic.h.max,ela_level.lda_qda_25,ela_level.lda_mda_25,disp.ratio_mean_25,ela_distr.skewness,disp.diff_median_25,nbc.nn_nb.sd_ratio,disp.diff_mean_25,ela_level.lda_mda_50,ela_meta.quad_simple.adj_r2,disp.ratio_median_25,nbc.nb_fitness.cor,ela_level.mmce_lda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.diff_mean_10,disp.diff_median_02
11,5,0.012743754271025143,0.05651950941319772,0.15242356838083804,-0.03981600354851189,0.11674936602968056,0.020695808419381123,0.058328820951146776,0.0,0.05738143266318496,0.07839711755088408,0.04050792591313285,0.013252667055877132,0.0,0.02566365852984498,0.12249351122216612,0.20445374880249367,0.0538859536854831,0.017958431733691604,0.02829580458926506,0.012788789395224598,0.024445622568136982,-0.27341517152627437,0.03230029107774579,0.04362676239436569,-0.02191607250621319,-0.029250041991174203,0.16769776979907525,0.06881974720557515,0.0915050056249398,0.058759966523573626
12,5,0.0157215136161947,0.0,-0.018607649487687714,0.011316294243828594,-0.01426736249155515,0.024861046518855207,-0.005591951177579664,0.0,0.007307971404095295,-0.007455036362993689,0.007444701666915986,0.005968696593481294,-0.25321903442777993,-0.017441216701948717,0.003410157466464156,-0.012712328942301898,-0.015312639615166546,0.12211732678492872,-0.01025646696409735,0.015580518497655516,-0.0040191570150513445,0.01414547270395608,-0.008625868392766925,-0.013435659594717209,0.011309280390290943,0.0,-0.002243974684651859,-0.009302511287820489,-0.013027907679408923,0.0
13,5,0.14000575290416928,-0.012146792136067786,-0.014771839297890832,0.009011539788308681,-0.008609522206386722,0.03448291315239971,0.018494473031198083,0.001091281970143465,-0.02945657573653987,0.06632966289299996,0.016150009363683993,0.0117439837047012,0.017171794893620862,0.016091411070514705,-0.02329457911531091,-0.02171283385556405,0.041301603209185606,0.004462437393931651,0.036171337147771876,0.03895680473611901,0.04563663914087834,0.020317861331844544,0.021250223643978827,0.036599009612060085,-0.03541637138707282,0.004576977876937283,-0.01918677378631886,0.023396137143327278,0.03501041326755314,0.01978234774899512
14,5,-0.1289054608190132,-0.008715356694970644,-0.03716006923449322,-0.008580197862181671,-0.019440964031540886,0.023189959986525732,-0.003550408195063859,-0.031781717935825904,-0.0008796248985419863,-0.026895178104123063,-0.011712284737199763,0.0,0.003618214394297492,-0.10183827757126165,0.00021280730412237547,-0.017613721867201504,-0.041325129530690674,-0.04089533993831923,-0.03540512972113874,0.00626033323622921,-0.045975447608873066,-0.004110765058307819,-0.006921922714580808,-0.03836185395331437,-0.03837240386341123,0.0,-0.024357086101637504,-0.029123766768149595,-0.02903118736385535,-0.028676588516239443
15,5,0.1410270657624948,0.042285126985491306,0.0005573746391485113,0.016664063948747754,0.006582827156039528,0.02401279375553994,0.002489461893939615,0.038977959846181576,0.043336176829402384,-0.004668090116303425,0.006448204586268158,0.03433253308870682,0.02588484400308161,0.03902377238305099,0.0,-0.01568774647007659,0.050162706740780605,0.016450777744909884,0.05920753253841016,0.09255033647298605,0.05570158139191633,0.019716327977086112,0.06953883539355865,0.04890365806100616,0.02188527605289653,0.011523156798093681,-0.026799768848511096,0.021957362806918457,0.04216550191266044,0.016498539074009444
16,5,0.020021306352572404,-0.006134609394094825,-0.02485241140067848,0.014528672451507213,-0.023705302941597145,0.0468730501821821,0.013228141451244346,-0.015355910303683967,-0.007864121689910075,0.006559964044162037,0.012286162492211677,0.06704235365120265,0.0,0.022991117723815346,-0.01547479015074299,0.010411884865246357,0.022116115174147438,0.0031211787407438296,0.02631030852241928,-0.013714532366015608,0.019591931540510088,0.0,-0.014166372312378786,0.038988143205353654,0.04580140162467736,0.017555785599292634,-0.014184612422975473,0.03867607770762385,0.031182805707349492,0.04185587907082017
17,5,0.04612383802925049,-0.038070717006785465,-0.05746802114080779,-0.013651559462703466,-0.032345443919334,0.019331320510664773,-0.007092142735225626,-0.014878286124271667,-0.0447877256016406,0.008177213156508323,-0.01011711066084392,0.003919954435269879,0.0020219450128024785,-0.028540221637265606,-0.013536791508259538,-0.013818745229736557,-0.021864756735163776,-0.020389092946984683,-0.018677879503928213,-0.07219333016819063,-0.016264882623241023,0.004323377285936292,-0.027922988723280695,-0.02132651181050582,-0.04804239181771064,-0.005270083648440477,-0.025472833896762526,-0.011074826850481473,-0.01609811620310858,-0.04010704062592213
18,5,0.041202257468320014,-0.03504579086388149,-0.060413025362521466,-0.020767187057740333,-0.03648877901191236,0.022619600298356357,-0.004750874497347235,-0.0034906028996480876,-0.059991348144379564,0.020110476164457214,-0.019089467542590055,0.017864750978545813,0.011239390394742754,-0.011384151345307014,-0.018571024172644945,-0.026145379451731232,-0.030934206290304356,-0.012630359408792702,-0.027352992116692953,-0.06276555332650513,-0.022720213843065606,0.003174954210843156,-0.030093630287831852,-0.022208061059671325,-0.04410080338847827,-0.009898215761084656,-0.012629525825426036,-0.019340101602744464,-0.03585216172231759,-0.02466182668280914
19,5,0.055927714265173394,0.0020038428613366813,-0.043570896226260536,0.0,-0.031795911175925465,0.019914639833548273,0.018138643299275288,0.03752044180536475,-0.018656034695283402,-0.025830325869725695,0.004165045063899732,0.017358760716703364,0.011186997572652256,-0.01358121296466127,-0.005441180840092458,-0.010914431948746132,0.012661294500572517,-0.023406152412673423,0.014268307396826163,0.017652266830616173,0.013124671412664234,0.012524150325800096,-0.006257390957013248,0.012663366854733647,-0.04897037058992314,-0.10407476138381197,-0.01141867819241106,0.0,0.006850993883217277,-0.001803517460142623
20,5,-0.27792274880653206,-0.030828225563702655,-0.012183065522917258,0.006275321247986243,-0.016242103510909878,0.026350771346463353,-0.022809045901165476,-0.020214159408798227,-0.0166686505366212,0.0,-0.015736176314511435,0.011695159009168066,0.0028227619539776816,-0.016138269405765793,-0.016407672633052456,-0.022854855069564306,-0.014302212463487451,-0.013236780533784215,-0.007131280789639705,0.0,-0.007198903201306589,0.02510777545903542,-0.006587149620145005,-0.00937245019288957,-0.0069742895623388645,0.008190549575084471,-0.018343896981333346,-0.012753565379587328,-0.00929757151583549,-0.012137092649022185
