f_id,i_id,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ic.eps.ratio,ela_meta.quad_simple.cond,ic.eps.s,ela_level.lda_qda_10,ela_level.lda_mda_25,ela_level.lda_qda_50,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_level.mmce_lda_10,pca.expl_var.cov_init,ela_level.mmce_mda_10,ela_level.lda_mda_10,ela_level.lda_mda_50,ela_level.qda_mda_10,nbc.nn_nb.cor,ela_level.lda_qda_25,nbc.nn_nb.sd_ratio,disp.ratio_mean_25,disp.diff_median_25,ela_level.qda_mda_25,disp.diff_mean_25,disp.ratio_mean_10,ela_meta.lin_simple.adj_r2,ic.h.max,disp.ratio_median_25,nbc.nb_fitness.cor,disp.ratio_median_10,disp.ratio_mean_05
3,4,-0.1442904138661725,0.08514206910204355,-0.013817554593038454,0.02208642409428773,-0.016510354471756486,-0.023875438059177148,-0.016296504757992776,-0.014470679483153226,-0.00866247280404861,-0.0020383530650882192,0.04219399800677813,-0.008750640923743433,0.021716776953677783,-0.013209687690227193,0.0036373361568803053,-0.004423437145741227,0.023378397436483095,0.009206578888570308,0.02879713118910837,0.027857753989024014,0.017018021231329932,0.013825800907125978,0.015222729936126791,0.012473361477071135,-0.003898424780577489,0.008731352274696944,0.017785924844558723,-0.005633223080302785,0.01142886802545895,-0.0014846685006135174
3,5,0.15476299617161085,0.01717908586734481,-0.012836094606444675,0.01849776236315897,-0.0109312406447421,-0.013305137341094207,-0.01616731427337442,-0.014749620805443328,-0.14458699984925033,-0.0015061753717723406,0.020878144529570142,0.0,0.007755282810552291,0.007667452087149798,0.004810337310189456,0.0,0.03718015085494429,-0.008118899087719606,0.027150167921983076,-0.00625866385222996,-0.008636740704714756,0.00879772955028773,0.0025088482945338705,0.0056961466110416635,0.005710218912442482,-0.022059545398786504,0.0009926365344775992,-0.04488292864225579,-0.006680745712076041,0.0019261164329422657
4,1,0.12241352032738834,0.012134657450237063,0.0,0.018325995287810204,0.0023544820403686717,-0.023506714571854798,-0.02506706772377998,-0.022893886711576494,0.07275947875124766,0.03746058047793821,0.022131634498151642,0.006763112782249392,0.01319581292821198,-0.01136887446679527,0.002361320492219543,-0.011394111246432748,0.05764388110302332,-0.00908146757071665,0.059754741477552054,0.024986114034668216,0.02504937714347172,0.024930923158195117,0.0247511273529471,0.016167594812846575,0.019718185549773448,-0.008111371743287743,0.028772105894809663,-0.005633133566553261,0.010964173219699141,0.015033935746636917
4,3,-0.1344263178836532,0.08930916519916311,-0.007085823030876674,0.01973177685949965,-0.008788100685005018,-0.019672393804697236,-0.014226440930881525,-0.02142584300649669,0.0179819052056863,0.0014318113025788906,0.01784228072146682,0.001162239442574424,0.015268062132657662,0.0,0.009420871420551834,0.004390420806683108,0.022617783285108634,-0.002930636799961757,0.034124246520762236,0.010900574707892498,0.008488046006166955,0.019530500936998256,0.01242112952162535,0.007343858105485365,-0.0017581684796491026,0.011706814164697443,0.0031895715798458193,-0.011177539725329817,0.0,-0.002229122281304702
4,4,-0.052773726694659615,0.07635783185246735,-0.009201421646391122,0.020969554375968202,-0.012917692483890547,-0.014962001819885926,-0.01220295115616915,-0.019921187414699254,-0.02171260032500369,0.003755498623268322,0.020730156610543893,0.0035552272739249116,0.02871074058180592,0.01739596569862574,0.010156022907871959,0.011451893898306933,0.020060807881581613,0.0032845693460239744,0.01974881339271363,0.01155214675746774,0.005478631132640965,0.00940945619132616,0.00415474731968038,-0.0019451573205202244,-0.004427976811268254,0.06789264727729714,0.0057552901453316735,-0.01850451781473475,0.0012987013848820145,-0.0020243679713112805
4,5,0.050915944947355934,0.05393215543352989,-0.010717336926444776,0.017479974843555207,-0.010804606676511022,-0.01663958928629007,-0.018239963661148217,-0.022986353716957342,-0.041803218062017714,0.014182406243249679,0.020804660167190223,0.005448042891026711,0.02068873407559438,0.009318707402688933,0.007973569769634536,-0.004417627821424491,0.02639098611517099,-0.004930092064856222,0.019922720366402025,0.010141608187964543,0.0050673778587870255,0.01601192534007223,0.008876956943042927,-0.0017310530750755115,0.0030743859819645086,0.02662810403445802,0.004102157502218914,-0.018388942666206817,-0.0012683586572336258,0.002091825692216387
5,1,-0.0723223347167215,0.013292198134957356,-0.051670320728034236,0.023717843545052797,-0.0641861452325207,-0.03416023198628171,-0.012916146232519354,-0.006942309585192374,0.021761981299682542,-0.016719584698288104,-0.16104275753585318,0.008250473907741251,-0.12135078450870951,-0.007328678312927384,0.010363113819295333,-0.012985726261334596,0.0,-0.03435788592881611,-0.008113211996917002,-0.02753287339151822,-0.03337241984198869,-0.008537232830838515,-0.0252195772260585,-0.02381647422350991,-0.04369463883699565,-0.005995558174412718,-0.037291617076043115,-0.020734022124398732,-0.03027457915824594,-0.01699143592415764
5,3,-0.06397503852308006,0.014021646201198834,-0.05130243440548932,0.019202988472878546,-0.045454482038836064,-0.03569613908605246,-0.03485781216884731,-0.01632375667594732,0.010677867067994617,-0.008614157708388914,-0.16299792131263235,-0.0037418985079902267,-0.12999384701536643,-0.018763728692625714,0.0,-0.017556559398767768,0.009439915555842171,-0.020644597983554502,-0.030138250905510477,-0.022357798181524058,-0.024381705824521482,-0.012340061135919567,-0.02998041458103695,-0.017677678483291326,-0.024062498134281185,-0.010877847966424437,-0.04715543822045687,-0.00822439764762406,0.0,-0.016394888525299467
5,4,-0.06313715807308601,0.014809900767203232,-0.04814397901428924,0.015541410381587295,-0.060791195320680114,-0.038583175587221075,-0.030231684435243655,-0.027883839361964036,-0.011369292757518246,-0.02285922143462432,-0.1608973358595559,0.007076223378958746,-0.1151107029978009,0.009970879022766999,0.0,-0.01508661165487829,0.0,-0.03443723379070629,-0.020298020973090247,-0.033246543207050394,-0.01484362741551093,0.005273406626267685,-0.020399001436955888,-0.017214312299963175,-0.022127574126274974,-0.014769123596952483,-0.03137614217305701,-0.016656500169311528,-0.009265846547975354,-0.02410891082572597
5,5,-0.053189671972285246,0.018662017640231288,-0.04733158477447119,0.018768683135765685,-0.042458972928219596,-0.03259507875938106,-0.03254823384587929,-0.02602106568277912,0.004716695502367196,-0.005736518227784426,-0.18154943446888766,0.007146554262911664,-0.11391600123964751,-0.00696500320312432,0.0043956349162181385,-0.018770574930664974,-0.002869177894175179,-0.01002171927563078,-0.012450562627693118,-0.032661972404166684,-0.03510544985384173,-0.004692945235820922,-0.019612829296403067,-0.0176721787922981,-0.03891301315416518,-0.011560087926531515,-0.02085904230529967,-0.018206517407281686,-0.038124729851221395,-0.028684081717730514
