f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_level.lda_qda_10,ela_level.mmce_qda_50,disp.diff_median_25,disp.diff_mean_05,ic.eps.max,disp.ratio_median_02,ela_level.lda_mda_10,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_25,ic.eps.s,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_init,ela_meta.quad_w_interact.adj_r2,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_level.mmce_mda_10,pca.expl_var.cor_init,ela_meta.lin_simple.adj_r2,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_25,ela_level.qda_mda_10,ela_level.qda_mda_50,ela_level.mmce_lda_25,ela_meta.lin_simple.intercept,disp.ratio_mean_02,disp.diff_median_10,disp.ratio_mean_10
11,5,-0.024636442659449517,0.25530258891787355,0.032370381429164326,0.10439976630358977,-0.00835211818797728,-0.0005473882104086098,0.025845993457667003,0.014628283890401397,0.06404229854511242,0.09949097091802046,0.005115676228936688,0.025753519323915515,0.054026026928830316,0.04615973709021492,0.046315986598915566,0.008350797777623719,0.0006376959023027856,0.026109441309321958,0.012523715506115569,0.004011080961710833,0.052288127285848425,0.07319481034322164,-0.018258902358802124,-0.004301552442969268,0.03628540561482382,-0.0004135647863654788,0.0001910485300126802,0.04274115261994899,0.013121522048906821,-0.00038752484898538567
12,5,0.007964336012514757,0.10817894333140494,-0.08087728173268928,0.005301924967381185,0.02181087905470546,0.017564847732662786,0.02979945814750609,0.023522771311803307,-0.06501550320741434,-0.0016696232614523483,-0.010899468409015147,-0.03216346418679514,0.06627774598680333,-0.0094878428098932,0.021815579105989535,-0.001408005082473724,0.00894727852289879,-0.02199155951799402,-0.06438470896308097,0.012814134671448147,0.03189086474300102,0.00467922276321427,-0.012373882001561526,-0.04230338839253719,-0.04001169777361754,-0.013778697553092105,0.0029633710223326342,0.011490522229017235,0.031277197565244594,0.011533626550864436
13,5,0.004490949445257438,-0.04033504615069407,-0.03238625425111009,-0.014264722106205665,0.021358336703052164,0.005207220316806483,-0.001854298913007918,0.01979840516782605,-0.012591702352960647,-0.005071807532762275,-0.011540396592057255,-0.008570640289720335,-0.013524437690838277,-0.01522724654272804,0.03311245774072925,0.011016308115983245,0.0007993179960855458,-0.0033595281891353923,-0.0007081626569915673,0.008605761510971123,0.024692779464608614,-0.009623462027137358,-0.014824063352025203,0.023190024698737176,0.0020230903950931908,-0.015270237474976201,0.00856640965869745,0.015025012619548346,0.07642452518667747,0.012394468129486443
14,5,0.0015849171155846637,-0.04128050922574761,-0.029636600533527378,-0.01399229548410507,-0.029300748421526468,-0.01770785699427728,-0.03364991314622468,-0.03597444575785891,-0.045194056831644736,0.01265204519434336,-0.013050307403643036,-0.05833799929429147,-0.06638527990593568,-0.07994761680937174,-0.011288989976963515,0.028279607872652986,-0.009738948594062564,-0.009304201294714372,-0.010617504271113203,-0.0032154393064978827,0.01564102259079669,0.019052682713205003,-0.03692138274074164,0.02515151935561874,-0.015715706222933046,-0.039110952801464795,-0.00404658130975683,-0.02970589345178609,-0.05828867850447212,-0.034715567918196175
15,5,0.001646054978253129,-0.03827600565312363,-0.024078594939754852,0.0014369418392819128,0.027521748211243795,0.0077544618935015235,0.06826876650750328,0.023822765516906364,-0.005682217686957804,0.0009492626631162336,-0.021651773077737062,-0.016882031298800008,-0.011384424896171754,-0.00871170050236786,0.004723077466883493,0.021638743319692254,0.0037572979871670475,-0.012777567735328222,-0.0017747527807322407,0.00887467280185172,0.0346871675043094,0.0313509547697851,-0.030729506469054074,-0.0365650536751441,0.002962376004161531,-0.012910042084128107,-0.01359133325550871,0.011723702188680457,0.1075484906040436,0.00931051134646807
16,5,0.021445242720556146,-0.04296527987080672,-0.030811056014058383,0.005930092653181915,-0.021349002022857652,0.010432972448791092,0.012772465776393285,-0.018756184050698715,0.019748285847918857,0.003498600572217505,-0.028875806396067422,0.02523252545839181,-0.014108969830330182,0.023974992515946435,0.0558385937505878,0.009573338124191963,-0.009422366153886029,0.0015365231516575471,-0.0010072786246983177,0.001735963446786225,0.033301051769132395,0.033064608247258015,0.02802530520388281,-0.07409799722493622,-0.005257183050995459,0.009118684636407876,0.0004499535776088492,0.004647210838562295,-0.0032661336050393212,0.015770184762599348
17,5,-0.030459529013428275,-0.04700028834598591,-0.03534098657594327,-0.0003712897701024183,0.01731720418965165,-0.015623286180868137,-0.05305899253862288,-0.029798133278372354,0.0074627722394250764,-0.004732911480706203,-0.025441516629502482,-0.04561579278612157,-0.047596187810374516,-0.00015941540075276988,0.028554066732979933,0.0034399506462444544,0.00023209237986991952,0.022411975468189668,-3.6762439812524804e-05,0.0017168782121771942,0.031974521169920854,0.009448678964623963,0.014165350626258507,-0.0711565704053773,-0.003056922148272386,0.004822748679577877,-0.006736157691664944,-0.017740907827059872,-0.035503298194652165,-0.02825754812735351
18,5,-0.03052424230430328,-0.051544790290720705,-0.03307620023663211,0.0033955114300713465,-0.011743672426192718,-0.019351908424151614,-0.051126033498599496,-0.026801218565819844,0.010290922977207842,-0.004764899385640704,-0.02431152469270534,-0.05587678837501724,-0.03580218479661215,0.014430880589513567,0.032839736482614394,0.003162654078828166,-0.0005636154669180097,0.023749394667104972,0.001088402254355302,0.0016264964254160143,0.03223866409722829,0.016630344703242827,0.027531757612143024,-0.0569666986185007,-0.0031930850999553114,0.006219652574097013,-0.006285576020002626,-0.016551079409923543,-0.03834206473305875,-0.031878234384419835
19,5,-0.03684613589959585,-0.051239355528316446,-0.030372713266614882,-0.0011999698455790232,0.038263978149271745,0.007101962153118079,-0.08279790608727024,0.0030800157661958765,-0.00437750528668844,0.005368181269215895,-0.015176464290977994,0.01365107788963607,-0.049642995743956586,0.007223891969974858,0.02808962669773653,-0.0015682146871092149,-0.0027519711876241473,-0.001312234566526396,-0.0025707603689784815,0.0031269357003530906,0.020623157368197368,0.01936643231455342,-0.008239879359692476,-0.05755442169253916,0.0020273288778539507,0.003504474525102968,-0.00577159146812642,0.005049309064868565,0.030700682798029656,0.00877309878529507
20,5,0.0064550934971763195,-0.05149409009913888,-0.013438076240762944,-0.010815722770559578,0.014374241696450678,0.0074437528271863555,0.0005940410608602039,0.006780235783791292,-0.029692720789407396,-0.004535389939498372,-0.016317555685491147,-0.031641731294360265,0.00022888571574643693,-0.021499786636888635,-0.127424051406165,-0.08200727836862483,0.003173760079725579,-0.0022456084781603126,0.027527673753656636,-0.0056638451310064165,-0.12292650992448521,-0.001722591122746519,-0.020472623125063046,-0.08317142688651522,-0.0017531877805022932,-0.019803800454319165,-0.005022406960538861,0.004245954354812475,0.019853839335316155,0.011463327441500495
