f_id,i_id,ela_level.qda_mda_10,ela_level.lda_qda_10,ela_meta.lin_w_interact.adj_r2,disp.diff_median_02,disp.ratio_mean_25,ela_meta.quad_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ic.eps.max,ic.eps.ratio,ela_level.mmce_mda_50,ela_level.lda_mda_25,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_50,ela_level.mmce_mda_10,disp.ratio_mean_05,ela_level.mmce_mda_25,ela_level.lda_mda_50,ela_meta.quad_simple.cond,disp.ratio_median_02,ela_level.qda_mda_25,disp.ratio_median_05,nbc.nn_nb.cor,disp.ratio_median_10,nbc.nb_fitness.cor,ela_distr.skewness,ela_level.mmce_lda_50,ela_meta.lin_simple.adj_r2,disp.diff_median_05,ela_level.qda_mda_50
3,4,-0.036336942129831344,-0.030267275117970983,0.010650865737734555,0.011892191718139997,0.011101363816802986,0.024132738956581547,0.009551989152237988,0.0046199695594334594,0.008352891581533258,-0.020114016646699005,0.005354522364378153,0.01256225742534282,-0.007533980447681587,-0.004200914942916184,0.013454731150620245,0.01709820328626338,0.0021190724293604335,-0.010222436688542258,-0.012873448283702894,0.022074033369503376,-0.0057417566283299235,0.02155836517532957,0.008416620803328447,0.00884720858736523,-0.01377661477909558,0.010572737350386597,-0.01732346577702297,-0.009958138989705146,0.0004173190094585147,-0.014844390735829183
3,5,-0.026715424698784535,-0.02804915229034262,0.007723803717483766,0.022527990719728986,0.011716618119298519,0.03212110440936044,-0.010321384795411627,0.025992862490662814,0.020990920009574067,-0.010844468529502674,0.0012664386136577773,0.013822803539313689,-0.007079610384464385,-0.0037791238413451105,0.009442058141721275,0.013645346419500137,0.0028733531165035056,-0.006728286107020408,-0.019951585684489525,0.026427451889881347,-0.0036875110268040474,0.029550089279532534,0.011911646295150066,0.009532370900626622,-0.010044503031361415,-0.013131062718082847,0.002200173718247695,0.010679829507436931,0.011550954249611802,-0.004497622015088594
4,1,-0.028566368113674873,-0.02649693271310556,0.006813784865165849,0.016282739597618504,0.01381497707291864,0.02395704634364215,0.014694083228266416,0.008731457033642642,0.010823262380276647,-0.006598008386487069,-0.0020845773929965426,0.009526285284555652,-0.005002885401966007,-0.0039942640059123955,0.017503525545420118,0.02124126833649522,0.006229873781927111,-0.008237959370800452,-0.004159899040879429,0.02615920020306412,-0.011258403934034225,0.02348063425219265,0.007826134664693844,0.011734193417537144,-0.009496421751487466,0.01788132454283209,0.012927106731937772,0.020853478107390716,0.010583830992910824,-0.006573104975588715
4,2,-0.01783945974336386,-0.025011513346097247,0.017457775741157165,0.008546359398755424,0.010514937743049744,0.022768490283895368,0.0037255029817280733,0.006573291864135676,0.011794959515937184,0.004682876576355851,0.010706433592490483,0.014726670075562127,-0.002723199259142808,-0.0022006244768336485,0.02800705130182086,0.02343448148184322,0.001409823990806568,-0.0033380467683898725,-0.004099800791109112,0.032234554952264155,-0.0003074283947008329,0.02820556974458151,0.008791601494907077,0.011672317164230181,0.004934946921106703,-0.0017263174505844636,-0.020699079857827166,-0.0058869044004578085,0.009103622081280467,-0.012920763621928127
4,4,-0.02321721311633681,-0.0196259522777737,0.007480969139129572,0.015940326875202568,0.011301851273552405,0.027072735009645046,0.00984600387952249,0.00832024934763044,0.012152688566900573,-0.01601089454252423,0.012925027399062367,0.01092976247426305,-0.0032636871629748597,-0.0013409695365802624,0.01929672168310245,0.022713714445378088,0.004806929933728544,-0.002004704716455856,-0.002627426465237671,0.02621206234896694,-0.010530840341504087,0.029953021106051483,0.00970627680718706,0.012459002475610693,0.005864627837879593,0.0020625456185692616,0.002933061409475718,0.005764093157075456,0.016189081861420915,-0.013577622024879107
4,5,-0.023440125491341852,-0.029514465415200933,0.005763131376953361,0.016490736744333385,0.013909901941279156,0.02615159251809423,0.012377523875395069,0.012318310378757844,0.012817617952975697,-0.006628554068433614,-0.0013871390456272562,0.012214342912095683,-0.002901971264349505,-0.0018897472097017928,0.0162575522555404,0.019153876423699465,0.004868874435412114,-0.004317684523047078,-0.004324788291143185,0.030665110292155615,-0.006063397358476274,0.0269429601558635,0.009718253639640483,0.01238239148439274,0.007429065022765905,0.015247422793444508,0.00580633448562049,0.013855875803947008,0.010225224584916847,-0.021144638103260647
5,1,-0.06630509717705531,-0.03312313140664277,0.09736051693243862,-0.00479479608498786,-0.01805775577514067,-0.1501609897004659,-0.07136620585345338,-0.04904306552261814,-0.035891520772138925,0.04508840732634212,-0.021072759241912018,-0.012341345934467719,-0.001207512900172048,-0.010555435630186065,-0.08834549966213918,-0.03740063559280007,0.014582972068379777,0.0062972503779200485,-0.012658441731620179,-0.023333172365590633,-0.004779790104056979,-0.01198619460787573,0.009992056156507658,-0.008054522558937438,-0.011754959025079581,-0.03400001956618906,0.0062776213900365,-0.07619060035757098,-0.03642455565534769,-0.019181767889378955
5,2,-0.06840199498188199,-0.036485229105982224,0.0628029594184565,-0.04765242097699794,-0.018266801687333932,-0.14724488026178084,-0.07130758265514434,-0.04680388398972696,-0.033519557182209156,0.02607956504562996,-0.021518481472968424,-0.012367173674024172,-0.0028059233943109603,-0.010383454247067549,-0.08881535322680895,-0.03735474876683207,0.014618243966762316,0.0052391713192599465,-0.008650838987446563,-0.029365948575332493,-0.004968556734280982,-0.030659419149812392,0.004786520535197033,-0.009985753013665433,-0.011672417293683632,-0.03400315400342099,0.006371873316979055,-0.06421812671840323,-0.03748135153134079,-0.01930884609399832
5,4,-0.06764913567334234,-0.03086720466051937,0.06283014377019584,-0.04782604558526522,-0.01810130049867107,-0.1470903145131667,-0.07403954099805088,-0.04865468919963244,-0.03507565204552796,0.04114841092185673,-0.021537151550763266,-0.01131400169814344,-0.00118498888340686,-0.010343969709091233,-0.08819709462079628,-0.0378180472097714,0.014656713606112533,0.004884370593927619,-0.012872365644970471,-0.03093683994745159,-0.004951880929410895,-0.012185213396997548,0.003699561952773097,-0.00837691208131454,-0.012006950611841972,-0.03408316067378558,0.0060859067019811575,-0.06560249414374399,-0.0364327572869611,-0.019156233055173024
5,5,-0.06837466469925026,-0.034431650882286086,0.06249705371297792,-0.047796792943664665,-0.011056865250989945,-0.14650955306516047,-0.07456038975381127,-0.04848506086064805,-0.03742842697528174,0.041215695271163595,-0.021499938013393338,-0.011259728422914839,-0.0011901154192598658,-0.010227676316565572,-0.08699114035400066,-0.03773435135300749,0.014775679413013092,0.005097403409156037,0.0028668789796273304,-0.030658761947236768,-0.004837854053766438,-0.016260347306189547,0.0042957346727686575,-0.00754356704622888,-0.011948106979229923,-0.03368246473493948,0.006510245522348915,-0.06347354740536014,-0.036683901147556784,-0.01913406723139677
