budget,f_id,i_id,log_precision
500,1,2,0.8059884648171718
500,1,3,0.9398629298306305
500,1,4,1.0668321789971338
500,1,5,1.1011710270679922
500,2,1,4.325877916146982
500,2,2,4.273378480826054
500,2,3,4.325089607674236
500,2,4,4.162464238445649
500,2,5,4.148617536949757
500,3,1,2.0984768481638447
500,3,2,2.0657405169460588
500,3,3,1.9919602999652843
500,3,4,1.9985737855852617
500,3,5,2.0510379020975438
500,4,1,2.3047948075312905
500,4,2,2.2471661079984813
500,4,3,2.2747300988962285
500,4,4,2.3051595782727765
500,4,5,2.324647735362525
500,5,1,0.12397050233008253
500,5,2,0.13797586819693558
500,5,3,0.1780651656911641
500,5,4,0.1609502761442354
500,5,5,0.21254895641615837
500,6,1,2.0735896404085046
500,6,2,2.0465883405135803
500,6,3,2.18053084647312
500,6,4,1.8700045059448374
500,6,5,2.109757203108308
500,7,1,1.8418608945573747
500,7,2,1.9350308825400464
500,7,3,1.9334328547039688
500,7,4,1.7598882577940413
500,7,5,1.810641939920667
500,8,1,3.691335388271182
500,8,2,3.618139483778094
500,8,3,3.4955995178490977
500,8,4,3.66012744016355
500,8,5,3.7136258364431254
500,9,1,3.855156604870297
500,9,2,3.8271722079547876
500,9,3,3.7920865834785307
500,9,4,3.854342963600845
500,9,5,3.950264129574554
500,10,1,5.143258121796387
500,10,2,5.0158672561758175
500,10,3,5.17707065302758
500,10,4,5.164524219828141
500,10,5,5.1478885667106695
500,11,1,2.2828433737013385
500,11,2,2.3178291115749365
500,11,3,2.32222675963101
500,11,4,2.4175625161629175
500,11,5,2.394683569918076
500,12,1,7.13185399157182
500,12,2,7.110910995772442
500,12,3,7.017178532683271
500,12,4,7.137961259829426
500,12,5,7.044600909019954
500,13,1,2.744767010503288
500,13,2,2.6791285269449507
500,13,3,2.708376880197594
500,13,4,2.763556693748761
500,13,5,2.8465901476964417
500,14,1,0.9142904654105412
500,14,2,0.8906141325173562
500,14,3,0.9657747962519748
500,14,4,0.9247233495101824
500,14,5,0.7881277441126464
500,15,1,2.0417784165246546
500,15,2,2.1240414313159257
500,15,3,2.095163467886692
500,15,4,2.19313118121887
500,15,5,2.2199747941225123
500,16,1,1.2980802985326192
500,16,2,1.2613176775895514
500,16,3,1.3100073357770412
500,16,4,1.308612552589062
500,16,5,1.259003350761544
500,17,1,0.7770657317456401
500,17,2,0.9058371503673706
500,17,3,0.8412707496719171
500,17,4,0.7926864707643864
500,17,5,0.9115957573951521
500,18,1,1.3435878288623442
500,18,2,1.458242740689787
500,18,3,1.3148140063310458
500,18,4,1.2897020430397759
500,18,5,1.4315935406103084
500,19,1,1.045565408764763
500,19,2,1.064014887750302
500,19,3,1.0478621771691827
500,19,4,1.0937278000423616
500,19,5,1.0331034660862062
500,20,1,3.480363804263641
500,20,2,3.4289423754079236
500,20,3,3.4129705221366415
500,20,4,3.4941711489184053
500,20,5,3.3629771973417664
500,21,1,1.6077313926407644
500,21,2,1.6049515748424983
500,21,3,1.6656039124978086
500,21,4,1.5660608752907523
500,21,5,1.7055927466099519
500,22,1,1.7166652109327745
500,22,2,1.7153684708305434
500,22,3,1.5691723962232984
500,22,4,1.5940431296550401
500,22,5,1.6505033117119787
500,23,1,0.5872918404552924
500,23,2,0.5728341680206248
500,23,3,0.5801675471704607
500,23,4,0.5794314251562626
500,23,5,0.609797655216052
500,24,1,2.1835735842771564
500,24,2,2.1499224827288628
500,24,3,2.156190487071239
500,24,4,2.142632075190853
500,24,5,2.187702325154177
1000,1,1,0.736533165357129
1000,1,2,0.5083896515658511
1000,1,3,0.56937148756341
1000,1,4,0.6688355982838504
1000,1,5,0.7376282421818153
1000,2,1,3.3581287923433014
1000,2,2,3.4952954524953865
1000,2,3,3.438814403974514
1000,2,4,3.2355637927457557
1000,2,5,3.3825585810235532
1000,3,1,1.962961868864674
