f_id,i_id,ic.eps.s,ic.eps.ratio,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_qda_10,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,nbc.nb_fitness.cor,ela_distr.kurtosis,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_level.qda_mda_10,ela_distr.skewness
3,4,0.01372296130039552,0.022453497337509263,0.0712552085797089,0.04270655131533966,-0.26629199432480993,-0.062067816818097574,-0.002004157324654296,-0.024886114373421364,0.011872926989135921,-0.05902642324163601,-0.023243540546803346,0.07338115546120186,0.09778663650618358,0.017783957788645346,-0.02273733345780314
3,5,-0.031888162018268745,-0.0010401324428566255,0.01976611238387746,0.0025820424119899904,0.006893680638491592,0.0025911412103686304,0.030705771429737183,0.11971928216611952,0.009619228925152393,-0.016780410564664158,-0.02879405283659897,0.08401694553776066,-0.016595598323244837,0.0012783698138104926,-0.05720765872788913
4,2,0.05081640240295507,0.047362621134525884,0.09296980745382138,0.03464287603106114,-0.2479103342944216,-0.046382775863237774,0.07199495197597458,-0.030028884082320184,0.040498745567008554,-0.06168994936778738,-0.017277266542986364,0.06834949882504443,0.308603063288722,-0.001683429487006588,-0.020560618747296422
4,3,0.029779676325066617,0.03855836286835668,0.071075552295362,0.03197081023656387,-0.15644526675122403,-0.021236546637988504,-0.005424815252920878,0.0047779509587846936,0.015853030188050954,-0.049700211118720236,-0.01797522423230108,0.0761992257387446,0.30955146416989293,0.003799721239853726,-0.01898251733994294
4,4,0.0523416402291525,0.05259417221879291,0.032792498267976616,0.034700542423115543,-0.24959209172087982,-0.033979832884899995,0.06327994699084728,0.012550075578623823,0.044561287077359193,-0.08115602969282876,-0.022998167137906943,0.07058224570919482,0.19429068379642495,-0.01676974272546089,-0.023297237418804184
4,5,0.03395893406136444,0.030906349430253985,0.033892818928944544,0.034432723110559865,-0.23809526665212533,-0.02956856290358202,-0.02933541507850388,0.06529416911984218,0.019736672715191084,-0.0797124583878831,-0.020231194270242996,0.050113417543928576,0.4851257549769448,-0.23368000450375576,-0.010824111588065899
5,2,-0.1599511906912217,-0.1253596220671644,0.03337327340106372,0.22659948393169416,-0.25285061641041423,-0.029291109353809408,0.02187466589575282,-0.2507222348651483,0.0026707410716696744,-0.06423322760711175,-0.02413955134968082,0.0038950063495780674,-0.035785197361772325,0.03363146592807112,-0.06143496860139963
5,3,-0.16229808469353185,-0.1262854395697801,0.040654945311269564,0.21285092373859416,-0.23390128351298228,-0.03161976876997963,0.010325632241916738,-0.2509413498344826,0.002296480875322582,-0.0626085494251436,-0.024835139954988206,0.0041861186708953,-0.03595794281849313,0.03960810570913756,-0.06275024259504458
5,4,-0.1657793535198656,-0.1345824067675041,0.03202157415168694,0.21147290799239796,-0.2751175740014219,-0.011183569200465426,0.027224041141075794,-0.24198009514196483,0.0,-0.05859900706156684,-0.02464382212598748,0.0030107154643966294,-0.03473556378222348,0.04966329654208679,-0.06071222478590066
5,5,-0.16330048605233277,-0.12764849008153095,0.03387100983607794,0.20363659673305293,-0.27318980708232987,-0.028055191154892467,0.02213236685871567,-0.2508578961066325,0.0015403999682856162,-0.06416644887317252,-0.024990515108136768,0.004818122407446557,-0.03484718999899605,0.04537747057378522,-0.060496817517440626
6,2,0.08083306699533904,0.045776370623957674,-0.015758179229456437,-0.008957382255890989,-0.02254381133569644,-0.10642392134463488,-0.13038246703588457,-0.2483439408126092,0.006237811854733266,-0.06949083127020578,-0.026664862538507417,0.04546297635248914,-0.01395476051491551,-0.01283136665434495,-0.05639592555079154
6,3,0.08075135875373331,0.04923317424056031,0.033590512270777,-0.008518776374888487,-0.04722536661085974,-0.10228419001192901,-0.08985702021785177,-0.24777282736527667,0.005430474141697672,-0.06729725647751386,-0.02478028639179508,0.04831351615262908,-0.017049990597772458,-0.021625456217501005,-0.05968939667340284
6,4,0.09751474767060501,0.07221283107373018,-0.006875102787992998,-0.0031410977665103784,-0.040224305315823605,-0.023718245962717585,-0.18709564160580158,-0.2052510357369052,0.010413397411256298,-0.05441159260403816,-0.02248513421872024,0.04853382741108926,0.0,0.06318687710244694,-0.06369603139164326
6,5,0.09456331553465236,0.052449540235705805,0.06127285858532247,0.004992771497758841,-0.16407087249603158,-0.07944533241710067,0.020596864178420715,-0.18553879396918538,0.005679780938868617,-0.07489453434533169,-0.030021199088208828,0.04985419081708353,-0.04793604332268542,-0.07594952689107826,-0.05975951976254146
